time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55391.480,R,,,,,21.76,AB,p48,2,,MJD,True
55392.319,R,,,,,21.77,AB,p48,2,,MJD,True
55392.367,R,,,,,21.86,AB,p48,2,,MJD,True
55397.468,R,,,,,20.179,AB,p48,2,,MJD,
55398.290,R,,,,,20.009,AB,p48,2,,MJD,
55398.334,R,,,,,19.867,AB,p48,2,,MJD,
55409.415,R,,,,,18.5809,AB,p48,2,,MJD,
55409.459,R,,,,,18.5178,AB,p48,2,,MJD,
55412.469,R,,,,,18.5796,AB,p48,2,,MJD,
55413.176,R,,,,,18.4714,AB,p48,2,,MJD,
55413.219,R,,,,,18.5982,AB,p48,2,,MJD,
55416.198,R,,,,,18.6528,AB,p48,2,,MJD,
55416.241,R,,,,,18.6549,AB,p48,2,,MJD,
55420.304,R,,,,,18.8589,AB,p48,2,,MJD,
55420.347,R,,,,,18.8498,AB,p48,2,,MJD,
55423.377,R,,,,,19.0754,AB,p48,2,,MJD,
55423.421,R,,,,,19.1020,AB,p48,2,,MJD,
55426.431,R,,,,,19.1764,AB,p48,2,,MJD,
55426.474,R,,,,,19.2636,AB,p48,2,,MJD,
55429.441,R,,,,,19.3256,AB,p48,2,,MJD,
55429.489,R,,,,,19.3583,AB,p48,2,,MJD,
55435.273,R,,,,,19.3953,AB,p48,2,,MJD,
55435.316,R,,,,,19.638,AB,p48,2,,MJD,True
55438.324,R,,,,,19.4111,AB,p48,2,,MJD,
55438.368,R,,,,,19.515,AB,p48,2,,MJD,
55441.359,R,,,,,19.615,AB,p48,2,,MJD,
55441.418,R,,,,,19.566,AB,p48,2,,MJD,
55445.173,R,,,,,19.818,AB,p48,2,,MJD,
55445.216,R,,,,,19.747,AB,p48,2,,MJD,
55448.175,R,,,,,19.902,AB,p48,2,,MJD,
55448.219,R,,,,,19.914,AB,p48,2,,MJD,
55452.169,R,,,,,20.645,AB,p48,2,,MJD,
55452.212,R,,,,,20.026,AB,p48,2,,MJD,
55456.136,R,,,,,20.270,AB,p48,2,,MJD,
55456.179,R,,,,,20.688,AB,p48,2,,MJD,
55463.230,R,,,,,20.329,AB,p48,2,,MJD,
55463.273,R,,,,,20.981,AB,p48,2,,MJD,True
55467.114,R,,,,,20.983,AB,p48,2,,MJD,
55467.157,R,,,,,19.447,AB,p48,2,,MJD,True
55471.122,R,,,,,20.679,AB,p48,2,,MJD,
55471.165,R,,,,,20.929,AB,p48,2,,MJD,
55480.211,R,,,,,20.916,AB,p48,2,,MJD,
55484.180,R,,,,,20.978,AB,p48,2,,MJD,
55484.228,R,,,,,21.412,AB,p48,2,,MJD,True
55499.105,R,,,,,21.549,AB,p48,2,,MJD,
55499.149,R,,,,,21.220,AB,p48,2,,MJD,True
55758.453,R,,,,,20.718,AB,p48,2,,MJD,True
55790.461,R,,,,,20.95,AB,p48,2,,MJD,True
55790.505,R,,,,,20.685,AB,p48,2,,MJD,True
55794.167,R,,,,,21.60,AB,p48,2,,MJD,True
55794.228,R,,,,,21.818,AB,p48,2,,MJD,True
55812.362,R,,,,,20.996,AB,p48,2,,MJD,True
55812.409,R,,,,,21.275,AB,p48,2,,MJD,True
55820.322,R,,,,,21.19,AB,p48,2,,MJD,True
55820.381,R,,,,,21.02,AB,p48,2,,MJD,True
55823.317,R,,,,,21.545,AB,p48,2,,MJD,True
55823.355,R,,,,,21.509,AB,p48,2,,MJD,True
55850.204,R,,,,,21.513,AB,p48,2,,MJD,True
55850.247,R,,,,,21.454,AB,p48,2,,MJD,True
