time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55431.271,R,,,,,20.661,,P48,2,,MJD,True
55431.315,R,,,,,21.09,,P48,2,,MJD,True
55440.493,R,,,,,21.28,,P48,2,,MJD,True
55444.457,R,,,,,21.193,,P48,2,,MJD,True
55444.502,R,,,,,21.335,,P48,2,,MJD,True
55450.242,R,,,,,21.07,,P48,2,,MJD,True
55450.284,R,,,,,21.26,,P48,2,,MJD,True
55453.241,R,,,,,21.435,,P48,2,,MJD,True
55453.285,R,,,,,21.14,,P48,2,,MJD,True
55456.244,R,,,,,21.278,,P48,2,,MJD,True
55456.311,R,,,,,21.226,,P48,2,,MJD,True
55459.376,R,,,,,20.696,,P48,2,,MJD,True
55459.420,R,,,,,20.96,,P48,2,,MJD,True
55465.418,R,,,,,20.418,,P48,2,,MJD,True
55465.463,R,,,,,20.090,,P48,2,,MJD,True
55469.465,R,,,,,19.4255,,P48,2,,MJD,
55473.235,R,,,,,18.8080,,P48,2,,MJD,
55473.280,R,,,,,18.7917,,P48,2,,MJD,
55479.294,R,,,,,18.6261,,P48,2,,MJD,
55479.337,R,,,,,18.6562,,P48,2,,MJD,
55483.130,R,,,,,18.7396,,P48,2,,MJD,
55483.177,R,,,,,18.7600,,P48,2,,MJD,
55486.334,R,,,,,19.0294,,P48,2,,MJD,
55486.378,R,,,,,19.0886,,P48,2,,MJD,
55497.120,R,,,,,19.3193,,P48,2,,MJD,
55497.166,R,,,,,19.4194,,P48,2,,MJD,
