time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55497.537,R,,,,,17.5849,AB,P48,2,,MJD,
55498.532,R,,,,,18.3070,AB,P48,2,,MJD,True
55503.536,R,,,,,17.1608,AB,P48,2,,MJD,
55504.519,R,,,,,17.1285,AB,P48,2,,MJD,
55505.518,R,,,,,17.1009,AB,P48,2,,MJD,
55515.486,R,,,,,17.3896,AB,P48,2,,MJD,
55515.529,R,,,,,17.3898,AB,P48,2,,MJD,
55516.497,R,,,,,17.4669,AB,P48,2,,MJD,
55516.540,R,,,,,17.4659,AB,P48,2,,MJD,
55517.519,R,,,,,17.5445,AB,P48,2,,MJD,
55518.492,R,,,,,17.5852,AB,P48,2,,MJD,
55518.548,R,,,,,17.5890,AB,P48,2,,MJD,
55519.504,R,,,,,17.6644,AB,P48,2,,MJD,
55519.548,R,,,,,17.6367,AB,P48,2,,MJD,
55525.528,R,,,,,17.7876,AB,P48,2,,MJD,
55525.547,R,,,,,17.7984,AB,P48,2,,MJD,
55526.517,R,,,,,17.8288,AB,P48,2,,MJD,
55526.551,R,,,,,17.7866,AB,P48,2,,MJD,
55527.511,R,,,,,17.8260,AB,P48,2,,MJD,
55527.554,R,,,,,17.8728,AB,P48,2,,MJD,
55530.447,R,,,,,17.8454,AB,P48,2,,MJD,
55531.447,R,,,,,17.8658,AB,P48,2,,MJD,
55531.495,R,,,,,17.8491,AB,P48,2,,MJD,
55532.452,R,,,,,17.9004,AB,P48,2,,MJD,
55532.498,R,,,,,17.8837,AB,P48,2,,MJD,
55540.552,R,,,,,18.3126,AB,P48,2,,MJD,
55541.504,R,,,,,18.3773,AB,P48,2,,MJD,
55541.522,R,,,,,18.3655,AB,P48,2,,MJD,
55542.489,R,,,,,18.4260,AB,P48,2,,MJD,
55542.505,R,,,,,18.5732,AB,P48,2,,MJD,
55554.563,R,,,,,18.8985,AB,P48,2,,MJD,
55557.491,R,,,,,18.9659,AB,P48,2,,MJD,
55557.546,R,,,,,19.0704,AB,P48,2,,MJD,
55561.539,R,,,,,19.0772,AB,P48,2,,MJD,
55572.331,R,,,,,18.4119,AB,P48,2,,MJD,True
55574.457,R,,,,,19.4944,AB,P48,2,,MJD,
55574.501,R,,,,,19.584,AB,P48,2,,MJD,
55575.485,R,,,,,19.714,AB,P48,2,,MJD,
55575.530,R,,,,,19.673,AB,P48,2,,MJD,
55576.498,R,,,,,19.565,AB,P48,2,,MJD,
55577.497,R,,,,,19.760,AB,P48,2,,MJD,
55577.542,R,,,,,19.767,AB,P48,2,,MJD,
55578.510,R,,,,,19.786,AB,P48,2,,MJD,
55578.564,R,,,,,19.682,AB,P48,2,,MJD,
55579.519,R,,,,,19.650,AB,P48,2,,MJD,
55579.568,R,,,,,19.705,AB,P48,2,,MJD,
55580.528,R,,,,,19.752,AB,P48,2,,MJD,
55580.571,R,,,,,19.922,AB,P48,2,,MJD,
55581.550,R,,,,,19.3867,AB,P48,2,,MJD,
55582.303,R,,,,,20.044,AB,P48,2,,MJD,True
55582.348,R,,,,,20.036,AB,P48,2,,MJD,
55583.315,R,,,,,19.775,AB,P48,2,,MJD,
55583.359,R,,,,,19.823,AB,P48,2,,MJD,
55585.516,R,,,,,19.985,AB,P48,2,,MJD,
55585.559,R,,,,,20.015,AB,P48,2,,MJD,
55586.514,R,,,,,20.064,AB,P48,2,,MJD,
55586.558,R,,,,,20.160,AB,P48,2,,MJD,
55587.527,R,,,,,19.694,AB,P48,2,,MJD,True
55587.573,R,,,,,19.985,AB,P48,2,,MJD,
55589.327,R,,,,,19.968,AB,P48,2,,MJD,
55589.370,R,,,,,20.068,AB,P48,2,,MJD,
55590.332,R,,,,,20.012,AB,P48,2,,MJD,
55590.379,R,,,,,20.214,AB,P48,2,,MJD,
55591.345,R,,,,,18.8423,AB,P48,2,,MJD,True
55591.389,R,,,,,19.298,AB,P48,2,,MJD,True
55597.457,R,,,,,20.245,AB,P48,2,,MJD,
55597.501,R,,,,,20.290,AB,P48,2,,MJD,
55598.454,R,,,,,20.390,AB,P48,2,,MJD,
55599.495,R,,,,,20.287,AB,P48,2,,MJD,
55601.522,R,,,,,20.958,AB,P48,2,,MJD,True
55603.247,R,,,,,20.422,AB,P48,2,,MJD,
55604.381,R,,,,,20.258,AB,P48,2,,MJD,
55604.424,R,,,,,20.179,AB,P48,2,,MJD,
55605.413,R,,,,,20.851,AB,P48,2,,MJD,
55605.458,R,,,,,20.596,AB,P48,2,,MJD,
55606.488,R,,,,,20.492,AB,P48,2,,MJD,
55606.532,R,,,,,20.409,AB,P48,2,,MJD,
55608.242,R,,,,,20.067,AB,P48,2,,MJD,True
55608.286,R,,,,,19.820,AB,P48,2,,MJD,True
55614.494,R,,,,,20.715,AB,P48,2,,MJD,
55614.538,R,,,,,20.894,AB,P48,2,,MJD,
55633.169,R,,,,,20.085,AB,P48,2,,MJD,True
55633.213,R,,,,,20.956,AB,P48,2,,MJD,
55634.247,R,,,,,21.29,AB,P48,2,,MJD,True
55636.159,R,,,,,19.953,AB,P48,2,,MJD,True
55636.182,R,,,,,20.399,AB,P48,2,,MJD,True
55637.158,R,,,,,20.762,AB,P48,2,,MJD,True
55637.169,R,,,,,20.662,AB,P48,2,,MJD,True
55638.154,R,,,,,18.874,AB,P48,2,,MJD,True
55639.156,R,,,,,19.186,AB,P48,2,,MJD,True
55639.200,R,,,,,19.6766,AB,P48,2,,MJD,True
55643.258,R,,,,,21.448,AB,P48,2,,MJD,True
55643.305,R,,,,,20.997,AB,P48,2,,MJD,
55651.262,R,,,,,21.440,AB,P48,2,,MJD,
55651.306,R,,,,,21.80,AB,P48,2,,MJD,True
55652.236,R,,,,,21.639,AB,P48,2,,MJD,
55652.280,R,,,,,21.356,AB,P48,2,,MJD,
55663.189,R,,,,,21.71,AB,P48,2,,MJD,True
55663.233,R,,,,,21.420,AB,P48,2,,MJD,
55664.454,R,,,,,21.694,AB,P48,2,,MJD,True
55664.498,R,,,,,21.618,AB,P48,2,,MJD,True
55665.455,R,,,,,21.048,AB,P48,2,,MJD,
55666.443,R,,,,,21.240,AB,P48,2,,MJD,True
55666.489,R,,,,,21.59,AB,P48,2,,MJD,True
55667.392,R,,,,,21.490,AB,P48,2,,MJD,True
55667.436,R,,,,,21.44,AB,P48,2,,MJD,True
55668.368,R,,,,,20.662,AB,P48,2,,MJD,True
55668.417,R,,,,,19.9686,AB,P48,2,,MJD,True
55669.433,R,,,,,20.722,AB,P48,2,,MJD,True
55669.476,R,,,,,20.487,AB,P48,2,,MJD,True
55671.263,R,,,,,21.42,AB,P48,2,,MJD,True
55671.306,R,,,,,21.28,AB,P48,2,,MJD,True
55674.265,R,,,,,21.93,AB,P48,2,,MJD,True
55674.308,R,,,,,21.38,AB,P48,2,,MJD,True
55678.330,R,,,,,21.680,AB,P48,2,,MJD,
55678.383,R,,,,,21.43,AB,P48,2,,MJD,True
55679.290,R,,,,,21.754,AB,P48,2,,MJD,
55679.334,R,,,,,22.16,AB,P48,2,,MJD,True
55680.268,R,,,,,21.476,AB,P48,2,,MJD,True
55680.313,R,,,,,21.45,AB,P48,2,,MJD,True
55682.298,R,,,,,21.179,AB,P48,2,,MJD,True
55682.342,R,,,,,21.188,AB,P48,2,,MJD,
55683.341,R,,,,,21.240,AB,P48,2,,MJD,True
55683.384,R,,,,,21.149,AB,P48,2,,MJD,True
55692.383,R,,,,,21.75,AB,P48,2,,MJD,True
55692.427,R,,,,,21.646,AB,P48,2,,MJD,True
55693.337,R,,,,,21.397,AB,P48,2,,MJD,True
55693.383,R,,,,,21.42,AB,P48,2,,MJD,True
55694.323,R,,,,,21.309,AB,P48,2,,MJD,True
55694.366,R,,,,,21.10,AB,P48,2,,MJD,True
55695.283,R,,,,,20.974,AB,P48,2,,MJD,True
55695.327,R,,,,,20.836,AB,P48,2,,MJD,True
55696.267,R,,,,,20.94,AB,P48,2,,MJD,True
55696.313,R,,,,,20.882,AB,P48,2,,MJD,True
55697.301,R,,,,,20.96,AB,P48,2,,MJD,True
55698.286,R,,,,,20.1726,AB,P48,2,,MJD,True
55702.278,R,,,,,21.49,AB,P48,2,,MJD,True
55702.321,R,,,,,21.25,AB,P48,2,,MJD,True
55703.266,R,,,,,20.808,AB,P48,2,,MJD,True
55703.309,R,,,,,18.9042,AB,P48,2,,MJD,True
55704.281,R,,,,,21.72,AB,P48,2,,MJD,True
55704.325,R,,,,,21.402,AB,P48,2,,MJD,True
55707.258,R,,,,,21.84,AB,P48,2,,MJD,True
55707.260,R,,,,,22.00,AB,P48,2,,MJD,True
55707.303,R,,,,,21.496,AB,P48,2,,MJD,True
55708.279,R,,,,,21.84,AB,P48,2,,MJD,True
55708.322,R,,,,,21.547,AB,P48,2,,MJD,True
55709.293,R,,,,,21.505,AB,P48,2,,MJD,True
55709.336,R,,,,,21.36,AB,P48,2,,MJD,True
55721.310,R,,,,,21.16,AB,P48,2,,MJD,True
55721.353,R,,,,,21.66,AB,P48,2,,MJD,True
55722.283,R,,,,,21.17,AB,P48,2,,MJD,True
55722.328,R,,,,,21.28,AB,P48,2,,MJD,True
55723.353,R,,,,,20.9559,AB,P48,2,,MJD,True
55724.255,R,,,,,20.968,AB,P48,2,,MJD,True
55724.300,R,,,,,21.08,AB,P48,2,,MJD,True
55725.204,R,,,,,21.224,AB,P48,2,,MJD,True
55725.286,R,,,,,20.93,AB,P48,2,,MJD,True
55730.195,R,,,,,21.93,AB,P48,2,,MJD,True
55730.240,R,,,,,21.51,AB,P48,2,,MJD,True
55731.207,R,,,,,21.67,AB,P48,2,,MJD,True
55731.254,R,,,,,21.4309,AB,P48,2,,MJD,True
55732.189,R,,,,,21.91,AB,P48,2,,MJD,True
55732.232,R,,,,,21.40,AB,P48,2,,MJD,True
55733.192,R,,,,,21.84,AB,P48,2,,MJD,True
55733.235,R,,,,,22.10,AB,P48,2,,MJD,True
55734.195,R,,,,,21.86,AB,P48,2,,MJD,True
55734.228,R,,,,,21.66,AB,P48,2,,MJD,True
55735.187,R,,,,,21.75,AB,P48,2,,MJD,True
55735.231,R,,,,,21.64,AB,P48,2,,MJD,True
55750.185,R,,,,,21.24,AB,P48,2,,MJD,True
55750.228,R,,,,,21.22,AB,P48,2,,MJD,True
55751.195,R,,,,,21.369,AB,P48,2,,MJD,True
55751.239,R,,,,,21.44,AB,P48,2,,MJD,True
55753.197,R,,,,,21.57,AB,P48,2,,MJD,True
55753.240,R,,,,,21.547,AB,P48,2,,MJD,True
55754.196,R,,,,,21.367,AB,P48,2,,MJD,True
55754.240,R,,,,,21.34,AB,P48,2,,MJD,True
55755.188,R,,,,,21.358,AB,P48,2,,MJD,True
55755.231,R,,,,,20.94,AB,P48,2,,MJD,True
