time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55663.189,R,,,,,21.321,,P48,2,,MJD,True
55663.233,R,,,,,21.36,,P48,2,,MJD,True
55664.454,R,,,,,21.38,,P48,2,,MJD,True
55664.498,R,,,,,21.38,,P48,2,,MJD,True
55665.455,R,,,,,20.84,,P48,2,,MJD,True
55666.443,R,,,,,21.008,,P48,2,,MJD,True
55666.489,R,,,,,21.47,,P48,2,,MJD,True
55667.392,R,,,,,21.20,,P48,2,,MJD,True
55667.436,R,,,,,21.16,,P48,2,,MJD,True
55668.368,R,,,,,19.9868,,P48,2,,MJD,True
55668.417,R,,,,,19.685,,P48,2,,MJD,True
55669.433,R,,,,,20.6460,,P48,2,,MJD,True
55669.476,R,,,,,20.218,,P48,2,,MJD,True
55671.263,R,,,,,21.06,,P48,2,,MJD,True
55671.306,R,,,,,21.154,,P48,2,,MJD,
55674.265,R,,,,,21.45,,P48,2,,MJD,True
55674.308,R,,,,,21.148,,P48,2,,MJD,True
55678.330,R,,,,,21.802,,P48,2,,MJD,True
55678.383,R,,,,,21.53,,P48,2,,MJD,True
55679.290,R,,,,,21.506,,P48,2,,MJD,
55679.334,R,,,,,21.90,,P48,2,,MJD,True
55680.268,R,,,,,21.48,,P48,2,,MJD,True
55680.313,R,,,,,21.40,,P48,2,,MJD,True
55682.298,R,,,,,21.295,,P48,2,,MJD,True
55682.342,R,,,,,21.114,,P48,2,,MJD,True
55683.341,R,,,,,21.242,,P48,2,,MJD,True
55683.384,R,,,,,21.28,,P48,2,,MJD,True
55692.383,R,,,,,21.472,,P48,2,,MJD,True
55692.427,R,,,,,21.43,,P48,2,,MJD,True
55693.337,R,,,,,21.44,,P48,2,,MJD,True
55693.383,R,,,,,21.304,,P48,2,,MJD,True
55694.323,R,,,,,21.28,,P48,2,,MJD,True
55694.366,R,,,,,21.24,,P48,2,,MJD,True
55695.283,R,,,,,20.690,,P48,2,,MJD,True
55695.327,R,,,,,20.9350,,P48,2,,MJD,True
55696.267,R,,,,,20.90,,P48,2,,MJD,True
55696.313,R,,,,,20.644,,P48,2,,MJD,True
55698.286,R,,,,,20.260,,P48,2,,MJD,True
55702.278,R,,,,,21.29,,P48,2,,MJD,True
55702.321,R,,,,,21.2799,,P48,2,,MJD,True
55703.266,R,,,,,20.192,,P48,2,,MJD,True
55703.309,R,,,,,18.886,,P48,2,,MJD,True
55704.281,R,,,,,21.54,,P48,2,,MJD,True
55704.325,R,,,,,21.43,,P48,2,,MJD,True
55707.258,R,,,,,21.463,,P48,2,,MJD,
55707.260,R,,,,,21.486,,P48,2,,MJD,True
55707.303,R,,,,,21.237,,P48,2,,MJD,
55708.279,R,,,,,20.682,,P48,2,,MJD,
55708.322,R,,,,,20.491,,P48,2,,MJD,
55709.293,R,,,,,19.820,,P48,2,,MJD,
55709.336,R,,,,,19.959,,P48,2,,MJD,
55721.310,R,,,,,17.6108,,P48,2,,MJD,
55721.353,R,,,,,17.6296,,P48,2,,MJD,
55722.283,R,,,,,17.5722,,P48,2,,MJD,
55722.328,R,,,,,17.5979,,P48,2,,MJD,
55723.353,R,,,,,17.5192,,P48,2,,MJD,
55724.255,R,,,,,17.5553,,P48,2,,MJD,
55724.300,R,,,,,17.5240,,P48,2,,MJD,
55725.204,R,,,,,17.5614,,P48,2,,MJD,
55725.286,R,,,,,17.4993,,P48,2,,MJD,
55730.195,R,,,,,17.7230,,P48,2,,MJD,
55730.240,R,,,,,17.8816,,P48,2,,MJD,
55731.207,R,,,,,17.9623,,P48,2,,MJD,
55731.254,R,,,,,17.9858,,P48,2,,MJD,
55732.189,R,,,,,18.0315,,P48,2,,MJD,
55732.232,R,,,,,18.0443,,P48,2,,MJD,
55733.192,R,,,,,17.7250,,P48,2,,MJD,
55733.235,R,,,,,17.7371,,P48,2,,MJD,
55734.195,R,,,,,17.8018,,P48,2,,MJD,
55734.228,R,,,,,17.9011,,P48,2,,MJD,
55735.187,R,,,,,18.1822,,P48,2,,MJD,
55735.231,R,,,,,17.9144,,P48,2,,MJD,
55750.185,R,,,,,18.7550,,P48,2,,MJD,
55750.228,R,,,,,18.9191,,P48,2,,MJD,
55751.195,R,,,,,18.8979,,P48,2,,MJD,
55751.239,R,,,,,19.0163,,P48,2,,MJD,
55753.197,R,,,,,18.9538,,P48,2,,MJD,
55753.240,R,,,,,19.0236,,P48,2,,MJD,
55754.196,R,,,,,19.1284,,P48,2,,MJD,
55754.240,R,,,,,19.0858,,P48,2,,MJD,
55755.188,R,,,,,19.3009,,P48,2,,MJD,
55755.231,R,,,,,19.2248,,P48,2,,MJD,
55757.209,R,,,,,19.1515,,P48,2,,MJD,
55757.253,R,,,,,19.3576,,P48,2,,MJD,
55758.232,R,,,,,19.3388,,P48,2,,MJD,
55759.201,R,,,,,19.3862,,P48,2,,MJD,
55759.245,R,,,,,19.3404,,P48,2,,MJD,
55761.183,R,,,,,19.543,,P48,2,,MJD,
55761.232,R,,,,,19.716,,P48,2,,MJD,
55762.217,R,,,,,19.4932,,P48,2,,MJD,
55763.183,R,,,,,19.607,,P48,2,,MJD,
55763.226,R,,,,,19.528,,P48,2,,MJD,
