time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55696.286,R,,,,,20.791,,P48,2,,MJD,True
55696.303,R,,,,,20.760,,P48,2,,MJD,True
55703.352,R,,,,,20.084,,P48,2,,MJD,True
55703.396,R,,,,,21.74,,P48,2,,MJD,True
55707.447,R,,,,,21.49,,P48,2,,MJD,True
55708.375,R,,,,,21.32,,P48,2,,MJD,True
55708.439,R,,,,,21.538,,P48,2,,MJD,True
55711.417,R,,,,,21.4252,,P48,2,,MJD,True
55711.467,R,,,,,21.306,,P48,2,,MJD,True
55722.209,R,,,,,21.448,,P48,2,,MJD,True
55722.254,R,,,,,21.34,,P48,2,,MJD,True
55725.216,R,,,,,20.835,,P48,2,,MJD,True
55725.261,R,,,,,20.858,,P48,2,,MJD,True
55731.314,R,,,,,20.956,,P48,2,,MJD,
55731.364,R,,,,,20.327,,P48,2,,MJD,True
55734.264,R,,,,,20.458,,P48,2,,MJD,
55734.316,R,,,,,20.478,,P48,2,,MJD,
55750.259,R,,,,,20.661,,P48,2,,MJD,
55750.303,R,,,,,20.815,,P48,2,,MJD,
55753.212,R,,,,,20.566,,P48,2,,MJD,
55753.255,R,,,,,21.125,,P48,2,,MJD,True
55757.311,R,,,,,20.344,,P48,2,,MJD,
55757.355,R,,,,,20.633,,P48,2,,MJD,True
55760.313,R,,,,,21.012,,P48,2,,MJD,True
55763.307,R,,,,,21.188,,P48,2,,MJD,True
55763.367,R,,,,,21.098,,P48,2,,MJD,True
55769.217,R,,,,,21.407,,P48,2,,MJD,
55769.261,R,,,,,21.406,,P48,2,,MJD,
55779.210,R,,,,,21.229,,P48,2,,MJD,True
55779.254,R,,,,,21.124,,P48,2,,MJD,
55784.190,R,,,,,20.982,,P48,2,,MJD,True
55784.233,R,,,,,20.760,,P48,2,,MJD,True
55791.203,R,,,,,21.51,,P48,2,,MJD,True
55791.246,R,,,,,21.63,,P48,2,,MJD,True
