time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55751.283,R,,,,,21.558,,P48,2,,MJD,True
55751.326,R,,,,,22.10,,P48,2,,MJD,True
55755.182,R,,,,,21.87,,P48,2,,MJD,True
55755.227,R,,,,,21.55,,P48,2,,MJD,True
55758.217,R,,,,,21.36,,P48,2,,MJD,True
55758.262,R,,,,,21.68,,P48,2,,MJD,True
55761.292,R,,,,,21.80,,P48,2,,MJD,True
55769.201,R,,,,,22.15,,P48,2,,MJD,True
55769.245,R,,,,,22.352,,P48,2,,MJD,True
55779.239,R,,,,,21.736,,P48,2,,MJD,True
55779.282,R,,,,,21.78,,P48,2,,MJD,True
55782.196,R,,,,,21.860,,P48,2,,MJD,
55782.239,R,,,,,21.354,,P48,2,,MJD,
55790.174,R,,,,,21.523,,P48,2,,MJD,
55790.218,R,,,,,21.178,,P48,2,,MJD,
55794.263,R,,,,,20.584,,P48,2,,MJD,
55794.310,R,,,,,20.636,,P48,2,,MJD,
55809.152,R,,,,,20.784,,P48,2,,MJD,
55809.195,R,,,,,20.706,,P48,2,,MJD,
55813.165,R,,,,,21.161,,P48,2,,MJD,
55813.209,R,,,,,21.030,,P48,2,,MJD,
55817.162,R,,,,,19.7188,,P48,2,,MJD,True
55817.212,R,,,,,20.2349,,P48,2,,MJD,True
55820.165,R,,,,,21.274,,P48,2,,MJD,
55844.133,R,,,,,21.57,,P48,2,,MJD,True
55844.178,R,,,,,20.88,,P48,2,,MJD,True
55852.122,R,,,,,21.57,,P48,2,,MJD,True
55852.166,R,,,,,21.49,,P48,2,,MJD,True
