time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55764.204,R,,,,,21.5426,,P48,2,,MJD,True
55764.249,R,,,,,21.58,,P48,2,,MJD,True
55765.170,R,,,,,22.162,,P48,2,,MJD,True
55766.172,R,,,,,21.810,,P48,2,,MJD,True
55766.217,R,,,,,22.111,,P48,2,,MJD,True
55768.170,R,,,,,22.054,,P48,2,,MJD,True
55768.213,R,,,,,22.27,,P48,2,,MJD,True
55769.168,R,,,,,21.61,,P48,2,,MJD,True
55769.212,R,,,,,22.0929,,P48,2,,MJD,True
55770.167,R,,,,,21.872,,P48,2,,MJD,True
55770.210,R,,,,,22.28,,P48,2,,MJD,True
55771.166,R,,,,,21.60,,P48,2,,MJD,True
55771.277,R,,,,,22.610,,P48,2,,MJD,True
55772.187,R,,,,,22.004,,P48,2,,MJD,True
55772.237,R,,,,,21.994,,P48,2,,MJD,True
55774.164,R,,,,,21.80,,P48,2,,MJD,True
55774.208,R,,,,,22.352,,P48,2,,MJD,True
55775.164,R,,,,,22.174,,P48,2,,MJD,True
55775.208,R,,,,,22.28,,P48,2,,MJD,True
55779.162,R,,,,,21.400,,P48,2,,MJD,True
55779.207,R,,,,,21.399,,P48,2,,MJD,True
55780.160,R,,,,,21.188,,P48,2,,MJD,True
55780.204,R,,,,,21.643,,P48,2,,MJD,True
55781.169,R,,,,,20.999,,P48,2,,MJD,True
55781.216,R,,,,,21.04,,P48,2,,MJD,True
55782.159,R,,,,,20.755,,P48,2,,MJD,True
55782.203,R,,,,,21.40,,P48,2,,MJD,True
55783.157,R,,,,,21.21,,P48,2,,MJD,True
55783.200,R,,,,,21.49,,P48,2,,MJD,True
55784.156,R,,,,,21.205,,P48,2,,MJD,True
55784.200,R,,,,,20.891,,P48,2,,MJD,True
55789.152,R,,,,,21.450,,P48,2,,MJD,True
55789.195,R,,,,,21.69,,P48,2,,MJD,True
55790.150,R,,,,,21.2485,,P48,2,,MJD,True
55790.193,R,,,,,21.757,,P48,2,,MJD,True
55791.151,R,,,,,21.69,,P48,2,,MJD,True
55792.150,R,,,,,21.91,,P48,2,,MJD,True
55792.248,R,,,,,21.653,,P48,2,,MJD,True
55793.177,R,,,,,21.16,,P48,2,,MJD,True
55793.221,R,,,,,21.32,,P48,2,,MJD,True
55794.149,R,,,,,21.714,,P48,2,,MJD,True
55794.193,R,,,,,21.35,,P48,2,,MJD,True
55809.132,R,,,,,18.9926,,P48,2,,MJD,
55809.176,R,,,,,18.9756,,P48,2,,MJD,
55811.131,R,,,,,18.9322,,P48,2,,MJD,
55811.174,R,,,,,18.8572,,P48,2,,MJD,
55812.130,R,,,,,19.1479,,P48,2,,MJD,
55812.173,R,,,,,18.8516,,P48,2,,MJD,
55813.129,R,,,,,18.9701,,P48,2,,MJD,
55813.173,R,,,,,18.8536,,P48,2,,MJD,
55817.124,R,,,,,19.4160,,P48,2,,MJD,
55817.166,R,,,,,19.4828,,P48,2,,MJD,
55819.125,R,,,,,19.3088,,P48,2,,MJD,
55820.124,R,,,,,19.4075,,P48,2,,MJD,
55820.167,R,,,,,19.3474,,P48,2,,MJD,
55822.122,R,,,,,19.786,,P48,2,,MJD,
55822.165,R,,,,,19.3770,,P48,2,,MJD,
55823.119,R,,,,,19.4431,,P48,2,,MJD,
55823.163,R,,,,,19.4245,,P48,2,,MJD,
55824.118,R,,,,,19.621,,P48,2,,MJD,
55824.160,R,,,,,19.523,,P48,2,,MJD,
