time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55559.222,R,,,,,21.5884,,P48,2,,MJD,True
55574.128,R,,,,,21.063,,P48,2,,MJD,True
55574.171,R,,,,,21.221,,P48,2,,MJD,True
55575.157,R,,,,,20.620,,P48,2,,MJD,True
55575.203,R,,,,,21.34,,P48,2,,MJD,True
55576.178,R,,,,,19.7702,,P48,2,,MJD,True
55576.222,R,,,,,19.088,,P48,2,,MJD,True
55577.235,R,,,,,19.8526,,P48,2,,MJD,True
55578.187,R,,,,,19.346,,P48,2,,MJD,True
55578.274,R,,,,,20.439,,P48,2,,MJD,True
55580.122,R,,,,,19.837,,P48,2,,MJD,
55580.166,R,,,,,20.513,,P48,2,,MJD,
55582.120,R,,,,,19.791,,P48,2,,MJD,
55582.173,R,,,,,19.751,,P48,2,,MJD,
55583.203,R,,,,,19.4249,,P48,2,,MJD,
55583.249,R,,,,,19.518,,P48,2,,MJD,
55584.200,R,,,,,19.2640,,P48,2,,MJD,
55584.243,R,,,,,19.2184,,P48,2,,MJD,
55585.212,R,,,,,19.2396,,P48,2,,MJD,
55585.264,R,,,,,19.2625,,P48,2,,MJD,
55587.125,R,,,,,19.1150,,P48,2,,MJD,
55587.169,R,,,,,19.0765,,P48,2,,MJD,
55588.147,R,,,,,18.9632,,P48,2,,MJD,
55588.218,R,,,,,18.8397,,P48,2,,MJD,
55590.134,R,,,,,19.0140,,P48,2,,MJD,
55590.178,R,,,,,18.8994,,P48,2,,MJD,
55591.214,R,,,,,18.8864,,P48,2,,MJD,
55591.262,R,,,,,18.9438,,P48,2,,MJD,
55604.119,R,,,,,19.508,,P48,2,,MJD,
55604.165,R,,,,,19.3592,,P48,2,,MJD,
55605.177,R,,,,,19.4911,,P48,2,,MJD,
55605.221,R,,,,,19.590,,P48,2,,MJD,
55607.133,R,,,,,19.591,,P48,2,,MJD,
