time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56025.409,R,,,,,20.229,,,2,,MJD,True
56025.444,R,,,,,19.733,,,2,,MJD,True
56027.380,R,,,,,21.3893,,,2,,MJD,True
56027.410,R,,,,,20.389,,,2,,MJD,True
56027.441,R,,,,,18.955,,,2,,MJD,True
56033.188,R,,,,,21.098,,,2,,MJD,True
56033.231,R,,,,,21.11,,,2,,MJD,True
56035.155,R,,,,,20.78,,,2,,MJD,True
56035.197,R,,,,,21.528,,,2,,MJD,True
56035.248,R,,,,,21.34,,,2,,MJD,True
56037.180,R,,,,,20.58,,,2,,MJD,True
56037.212,R,,,,,20.8236,,,2,,MJD,True
56037.243,R,,,,,20.86,,,2,,MJD,True
56037.263,R,,,,,20.988,,,2,,MJD,True
56037.291,R,,,,,20.94,,,2,,MJD,True
56037.321,R,,,,,20.809,,,2,,MJD,True
56039.231,R,,,,,21.52,,,2,,MJD,True
56039.260,R,,,,,21.90,,,2,,MJD,True
56039.297,R,,,,,21.619,,,2,,MJD,True
56041.173,R,,,,,20.88,,,2,,MJD,True
56041.204,R,,,,,20.50,,,2,,MJD,True
56041.235,R,,,,,20.90,,,2,,MJD,True
56045.258,R,,,,,21.21,,,2,,MJD,True
56045.290,R,,,,,21.574,,,2,,MJD,True
56045.319,R,,,,,21.306,,,2,,MJD,True
56048.410,R,,,,,19.6739,,,2,,MJD,True
56048.412,R,,,,,20.206,,,2,,MJD,True
56048.415,R,,,,,20.103,,,2,,MJD,True
56049.190,R,,,,,20.4523,,,2,,MJD,True
56049.225,R,,,,,20.922,,,2,,MJD,True
56049.255,R,,,,,20.2311,,,2,,MJD,True
56058.184,R,,,,,20.980,,,2,,MJD,True
56058.215,R,,,,,20.844,,,2,,MJD,True
56058.246,R,,,,,21.24,,,2,,MJD,True
56060.184,R,,,,,21.06,,,2,,MJD,True
56060.218,R,,,,,20.908,,,2,,MJD,True
56060.258,R,,,,,21.06,,,2,,MJD,True
56062.235,R,,,,,21.323,,,2,,MJD,True
56062.282,R,,,,,21.12,,,2,,MJD,True
56062.311,R,,,,,20.86,,,2,,MJD,True
56064.188,R,,,,,20.419,,,2,,MJD,
56064.220,R,,,,,20.140,,,2,,MJD,
56064.265,R,,,,,20.496,,,2,,MJD,
56066.295,R,,,,,19.158,,,2,,MJD,
56066.339,R,,,,,19.1421,,,2,,MJD,
56066.370,R,,,,,19.2801,,,2,,MJD,
56068.337,R,,,,,18.3400,,,2,,MJD,
56068.339,R,,,,,18.3768,,,2,,MJD,
56068.343,R,,,,,18.3822,,,2,,MJD,
56069.170,R,,,,,18.1305,,,2,,MJD,
56069.202,R,,,,,18.1123,,,2,,MJD,
56069.231,R,,,,,18.1702,,,2,,MJD,
56071.191,R,,,,,17.6916,,,2,,MJD,
56071.193,R,,,,,17.6972,,,2,,MJD,
56071.225,R,,,,,17.7054,,,2,,MJD,
56075.214,R,,,,,17.2368,,,2,,MJD,
56075.261,R,,,,,17.2527,,,2,,MJD,
56075.295,R,,,,,17.2242,,,2,,MJD,
