time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56077.186,R,,,,,21.09,,PTF48,1,,MJD,True
56077.233,R,,,,,21.16,,PTF48,1,,MJD,True
56077.264,R,,,,,21.29,,PTF48,1,,MJD,True
56079.191,R,,,,,20.69,,PTF48,1,,MJD,True
56079.221,R,,,,,20.69,,PTF48,1,,MJD,True
56081.228,R,,,,,20.11,,PTF48,1,,MJD,True
56081.259,R,,,,,20.04,,PTF48,1,,MJD,True
56081.29,R,,,,,20.42,,PTF48,1,,MJD,True
56083.267,R,,,,,20.59,,PTF48,1,,MJD,True
56083.334,R,,,,,20.47,,PTF48,1,,MJD,True
56085.304,R,,,,,21.05,,PTF48,1,,MJD,True
56085.334,R,,,,,20.99,,PTF48,1,,MJD,True
56085.385,R,,,,,20.47,,PTF48,1,,MJD,True
56087.345,R,,,,,21.39,,PTF48,1,,MJD,True
56087.347,R,,,,,21.41,,PTF48,1,,MJD,True
56087.376,R,,,,,21.21,,PTF48,1,,MJD,True
56087.405,R,,,,,21.1,,PTF48,1,,MJD,True
56089.351,R,,,,,21.4,,PTF48,1,,MJD,True
56089.38,R,,,,,21.29,,PTF48,1,,MJD,True
56091.326,R,,,0.17,,20.68,,PTF48,1,,MJD,
56091.359,R,,,0.21,,20.86,,PTF48,1,,MJD,
56093.295,R,,,0.11,,20.29,,PTF48,1,,MJD,
56093.336,R,,,0.11,,20.24,,PTF48,1,,MJD,
56093.368,R,,,0.11,,20.14,,PTF48,1,,MJD,
56095.292,R,,,0.1,,20.03,,PTF48,1,,MJD,
56095.321,R,,,0.12,,20.06,,PTF48,1,,MJD,
56097.287,R,,,0.11,,19.96,,PTF48,1,,MJD,
56097.317,R,,,0.11,,20.03,,PTF48,1,,MJD,
56097.35,R,,,0.14,,19.9,,PTF48,1,,MJD,
56099.288,R,,,0.08,,19.93,,PTF48,1,,MJD,
56099.324,R,,,0.1,,20.14,,PTF48,1,,MJD,
56099.353,R,,,0.09,,19.97,,PTF48,1,,MJD,
56101.317,R,,,0.1,,19.79,,PTF48,1,,MJD,
56101.347,R,,,0.11,,19.95,,PTF48,1,,MJD,
56103.29,R,,,0.1,,20.01,,PTF48,1,,MJD,
56103.338,R,,,0.11,,19.96,,PTF48,1,,MJD,
56103.369,R,,,0.16,,20.04,,PTF48,1,,MJD,
56105.305,R,,,0.13,,20.17,,PTF48,1,,MJD,
56105.334,R,,,0.13,,20.05,,PTF48,1,,MJD,
56105.366,R,,,0.13,,20.04,,PTF48,1,,MJD,
56107.27,R,,,0.19,,20.18,,PTF48,1,,MJD,
56107.301,R,,,0.17,,20.02,,PTF48,1,,MJD,
56107.331,R,,,0.19,,20.0,,PTF48,1,,MJD,
56109.235,R,,,0.17,,19.8,,PTF48,1,,MJD,
56109.265,R,,,,,18.58,,PTF48,1,,MJD,True
56109.299,R,,,,,19.05,,PTF48,1,,MJD,True
56111.203,R,,,0.15,,19.59,,PTF48,1,,MJD,
56111.238,R,,,0.15,,19.73,,PTF48,1,,MJD,
56111.268,R,,,0.19,,19.98,,PTF48,1,,MJD,
56113.204,R,,,0.17,,19.88,,PTF48,1,,MJD,
56113.25,R,,,0.17,,19.97,,PTF48,1,,MJD,
56113.279,R,,,0.21,,20.0,,PTF48,1,,MJD,
56115.216,R,,,0.12,,20.13,,PTF48,1,,MJD,
56115.246,R,,,0.13,,20.02,,PTF48,1,,MJD,
56115.297,R,,,0.18,,20.05,,PTF48,1,,MJD,
56117.229,R,,,0.08,,19.9,,PTF48,1,,MJD,
56117.259,R,,,0.11,,20.1,,PTF48,1,,MJD,
56117.288,R,,,0.13,,19.97,,PTF48,1,,MJD,
56119.198,R,,,0.11,,20.09,,PTF48,1,,MJD,
56119.199,R,,,0.1,,19.98,,PTF48,1,,MJD,
56119.228,R,,,0.1,,19.94,,PTF48,1,,MJD,
56119.258,R,,,0.11,,20.01,,PTF48,1,,MJD,
56123.189,R,,,0.11,,20.28,,PTF48,1,,MJD,
56123.219,R,,,0.09,,20.07,,PTF48,1,,MJD,
56123.249,R,,,0.08,,19.93,,PTF48,1,,MJD,
56125.186,R,,,0.11,,20.12,,PTF48,1,,MJD,
56125.216,R,,,0.09,,20.0,,PTF48,1,,MJD,
56125.264,R,,,0.11,,20.24,,PTF48,1,,MJD,
56126.201,R,,,0.1,,19.93,,PTF48,1,,MJD,
56126.261,R,,,0.13,,20.15,,PTF48,1,,MJD,
56126.291,R,,,0.17,,20.31,,PTF48,1,,MJD,
56127.239,R,,,,,19.55,,PTF48,1,,MJD,True
56127.295,R,,,0.17,,20.36,,PTF48,1,,MJD,
56127.325,R,,,0.24,,20.46,,PTF48,1,,MJD,
56129.265,R,,,0.16,,20.27,,PTF48,1,,MJD,
56129.295,R,,,0.14,,20.08,,PTF48,1,,MJD,
56129.324,R,,,0.16,,20.14,,PTF48,1,,MJD,
56131.227,R,,,0.12,,20.12,,PTF48,1,,MJD,
56131.261,R,,,0.17,,20.33,,PTF48,1,,MJD,
56131.295,R,,,0.16,,20.2,,PTF48,1,,MJD,
56133.196,R,,,0.16,,20.38,,PTF48,1,,MJD,
56133.259,R,,,0.13,,20.24,,PTF48,1,,MJD,
56133.288,R,,,0.15,,20.37,,PTF48,1,,MJD,
56135.19,R,,,0.11,,20.11,,PTF48,1,,MJD,
56135.247,R,,,0.16,,20.45,,PTF48,1,,MJD,
56135.278,R,,,0.16,,20.2,,PTF48,1,,MJD,
56138.193,R,,,0.21,,20.13,,PTF48,1,,MJD,
56138.246,R,,,0.28,,20.42,,PTF48,1,,MJD,
56138.276,R,,,0.2,,19.79,,PTF48,1,,MJD,
56258.563,r,,,,,20.24,,PTF60,1,,MJD,True
56268.545,r,,,,,20.9,,PTF60,1,,MJD,True
56269.541,r,,,,,20.88,,PTF60,1,,MJD,True
56270.531,r,,,,,20.89,,PTF60,1,,MJD,True
56271.528,r,,,,,20.72,,PTF60,1,,MJD,True
56272.533,r,,,,,20.93,,PTF60,1,,MJD,True
56273.53,r,,,,,20.77,,PTF60,1,,MJD,True
56281.509,r,,,,,20.6,,PTF60,1,,MJD,True
56283.495,r,,,,,20.85,,PTF60,1,,MJD,True
