time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56077.384,R,,,,,21.77,AB,p48,2,,MJD,True
56077.415,R,,,,,21.70,AB,p48,2,,MJD,True
56077.444,R,,,,,21.625,AB,p48,2,,MJD,True
56079.403,R,,,,,21.033,AB,p48,2,,MJD,True
56081.405,R,,,,,20.446,AB,p48,2,,MJD,True
56081.435,R,,,,,20.334,AB,p48,2,,MJD,True
56081.469,R,,,,,20.0961,AB,p48,2,,MJD,True
56085.402,R,,,,,20.6470,AB,p48,2,,MJD,True
56085.432,R,,,,,20.596,AB,p48,2,,MJD,True
56085.461,R,,,,,20.462,AB,p48,2,,MJD,True
56087.394,R,,,,,21.46,AB,p48,2,,MJD,True
56087.431,R,,,,,21.15,AB,p48,2,,MJD,True
56088.272,R,,,,,21.78,AB,p48,2,,MJD,True
56088.313,R,,,,,21.744,AB,p48,2,,MJD,True
56088.343,R,,,,,21.64,AB,p48,2,,MJD,True
56090.288,R,,,,,21.88,AB,p48,2,,MJD,True
56090.318,R,,,,,21.88,AB,p48,2,,MJD,True
56090.348,R,,,,,21.76,AB,p48,2,,MJD,True
56092.304,R,,,,,21.87,AB,p48,2,,MJD,True
56092.377,R,,,,,21.79,AB,p48,2,,MJD,True
56094.328,R,,,,,21.786,AB,p48,2,,MJD,True
56094.374,R,,,,,21.185,AB,p48,2,,MJD,
56096.339,R,,,,,20.548,AB,p48,2,,MJD,
56096.369,R,,,,,21.669,AB,p48,2,,MJD,True
56096.399,R,,,,,20.664,AB,p48,2,,MJD,
56098.348,R,,,,,20.765,AB,p48,2,,MJD,
56098.377,R,,,,,20.136,AB,p48,2,,MJD,
56099.200,R,,,,,19.580,AB,p48,2,,MJD,
56099.251,R,,,,,20.093,AB,p48,2,,MJD,
56099.281,R,,,,,20.445,AB,p48,2,,MJD,
56099.284,R,,,,,20.537,AB,p48,2,,MJD,
56101.203,R,,,,,19.856,AB,p48,2,,MJD,
56101.248,R,,,,,20.028,AB,p48,2,,MJD,
56101.278,R,,,,,19.802,AB,p48,2,,MJD,
56103.192,R,,,,,19.811,AB,p48,2,,MJD,
56103.221,R,,,,,19.618,AB,p48,2,,MJD,
56103.265,R,,,,,20.253,AB,p48,2,,MJD,
56105.215,R,,,,,19.919,AB,p48,2,,MJD,
56105.281,R,,,,,20.132,AB,p48,2,,MJD,
56107.254,R,,,,,19.546,AB,p48,2,,MJD,
56107.284,R,,,,,19.578,AB,p48,2,,MJD,
56107.329,R,,,,,19.508,AB,p48,2,,MJD,
56109.314,R,,,,,18.632,AB,p48,2,,MJD,True
56111.322,R,,,,,19.2173,AB,p48,2,,MJD,
56111.363,R,,,,,19.629,AB,p48,2,,MJD,
56113.302,R,,,,,19.914,AB,p48,2,,MJD,
56113.378,R,,,,,19.3101,AB,p48,2,,MJD,
56115.308,R,,,,,19.511,AB,p48,2,,MJD,
56115.347,R,,,,,19.602,AB,p48,2,,MJD,
56115.375,R,,,,,19.727,AB,p48,2,,MJD,
56118.204,R,,,,,19.585,AB,p48,2,,MJD,
56118.234,R,,,,,20.007,AB,p48,2,,MJD,
56118.266,R,,,,,19.514,AB,p48,2,,MJD,
56123.297,R,,,,,20.209,AB,p48,2,,MJD,
56123.326,R,,,,,19.903,AB,p48,2,,MJD,
56123.356,R,,,,,19.867,AB,p48,2,,MJD,
56125.289,R,,,,,19.912,AB,p48,2,,MJD,
56125.322,R,,,,,19.972,AB,p48,2,,MJD,
56125.352,R,,,,,19.831,AB,p48,2,,MJD,
56128.284,R,,,,,20.006,AB,p48,2,,MJD,
56128.314,R,,,,,20.070,AB,p48,2,,MJD,
56129.281,R,,,,,20.620,AB,p48,2,,MJD,
56129.310,R,,,,,20.161,AB,p48,2,,MJD,
56129.340,R,,,,,20.146,AB,p48,2,,MJD,
56131.277,R,,,,,20.381,AB,p48,2,,MJD,
56131.312,R,,,,,21.028,AB,p48,2,,MJD,
56132.274,R,,,,,20.346,AB,p48,2,,MJD,
56132.303,R,,,,,20.144,AB,p48,2,,MJD,
56132.333,R,,,,,20.610,AB,p48,2,,MJD,
56136.293,R,,,,,20.254,AB,p48,2,,MJD,
56136.322,R,,,,,20.335,AB,p48,2,,MJD,
