time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54346.319320,r',SDSS,1.160e+00,1.189,1.743e-01,24.585,SDSS,SDSS,2,μJy,MJD,True
54346.320150,i',SDSS,1.622e+00,1.021,-1.117e+00,25.215,SDSS,SDSS,2,μJy,MJD,True
54346.320979,u',SDSS,2.729e+00,1.810,-5.330e-01,25.195,SDSS,SDSS,2,μJy,MJD,True
54346.321808,z',SDSS,5.060e+00,0.701,6.116e+00,21.761,SDSS,SDSS,2,μJy,MJD,True
54346.322638,g',SDSS,1.062e+00,1.319,-4.837e-01,25.876,SDSS,SDSS,2,μJy,MJD,True
54348.349572,r',SDSS,8.785e-01,0.698,1.134e+00,23.627,SDSS,SDSS,2,μJy,MJD,True
54348.350401,i',SDSS,1.279e+00,0.596,2.077e+00,22.997,SDSS,SDSS,2,μJy,MJD,True
54348.351230,u',SDSS,1.701e+00,1.052,1.695e+00,23.303,SDSS,SDSS,2,μJy,MJD,True
54348.352060,z',SDSS,4.098e+00,0.739,-2.162e+00,23.265,SDSS,SDSS,2,μJy,MJD,True
54348.352889,g',SDSS,6.760e-01,0.993,-1.233e-01,25.326,SDSS,SDSS,2,μJy,MJD,True
54358.305727,r',SDSS,1.053e+00,0.217,5.266e+00,22.084,SDSS,SDSS,2,μJy,MJD,True
54358.306556,i',SDSS,1.636e+00,0.459,3.831e+00,22.395,SDSS,SDSS,2,μJy,MJD,True
54358.307386,u',SDSS,2.044e+00,1.533,2.760e-01,24.384,SDSS,SDSS,2,μJy,MJD,True
54358.308215,z',SDSS,5.340e+00,0.552,9.651e+00,21.355,SDSS,SDSS,2,μJy,MJD,True
54358.309044,g',SDSS,6.607e-01,0.195,3.680e+00,22.457,SDSS,SDSS,2,μJy,MJD,
54359.299694,r',SDSS,1.638e+00,0.227,7.868e+00,21.652,SDSS,SDSS,2,μJy,MJD,True
54359.300523,i',SDSS,2.442e+00,0.226,1.177e+01,21.202,SDSS,SDSS,2,μJy,MJD,True
54359.301353,u',SDSS,2.570e+00,0.437,6.902e+00,21.864,SDSS,SDSS,2,μJy,MJD,True
54359.302182,z',SDSS,7.833e+00,1.267,1.849e+00,22.461,SDSS,SDSS,2,μJy,MJD,True
