time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
29350.5,pg,,,,,15.4,,,"13,14,22",,MJD,
29362.5,pg,,,,,13.8,,,"13,14,22",,MJD,
29366.5,pg,,,,,13.6,,,"13,14,22",,MJD,
29375.5,pg,,,,,13.9,,,"9,15,22",,MJD,
29376.0,pg,,,,,13.6,,,"12,22",,MJD,
29378.5,pg,,,,,12.7,,,"9,15,22",,MJD,
29379.0,pg,,,,,12.7,,,"12,22",,MJD,
29389.0,pg,,,,,12.1,,,"12,22",,MJD,
29389.0,pg,,,,,12.2,,,"12,22",,MJD,
29390.0,pg,,,,,12.6,,,"12,22",,MJD,
29390.5,pg,,,,,12.2,,,"9,15,22",,MJD,
29391.0,pg,,,,,12.9,,,"12,22",,MJD,
29391.5,pg,,,,,12.6,,,"9,15,22",,MJD,
29392.5,pg,,,,,13.0,,,"9,15,22",,MJD,
29393.0,pg,,,,,13.5,,,"12,22",,MJD,
29394.0,pg,,,,,13.2,,,"12,22",,MJD,
29394.5,pg,,,,,13.5,,,"9,15,22",,MJD,
29394.5,pg,,,,,13.8,,,"9,15,22",,MJD,
29395.0,pg,,,,,13.3,,,"12,22",,MJD,
29395.0,pg,,,,,13.6,,,"12,22",,MJD,
29396.0,pg,,,,,13.7,,,"12,22",,MJD,
29396.0,pg,,,,,14.0,,,"12,22",,MJD,
29396.5,pg,,,,,14.2,,,"9,15,22",,MJD,
29397.0,pg,,,,,13.9,,,"12,22",,MJD,
29397.5,pg,,,,,14.1,,,"9,15,22",,MJD,
29398.0,pg,,,,,13.8,,,"12,22",,MJD,
29399.0,pg,,,,,13.7,,,"12,22",,MJD,
29399.0,pg,,,,,13.8,,,"12,22",,MJD,
29401.5,pg,,,,,15.3,,,"9,15,22",,MJD,
29402.5,pg,,,,,15.0,,,"13,14,22",,MJD,
29402.5,pg,,,,,15.2,,,"9,15,22",,MJD,
29405.5,pg,,,,,15.3,,,"9,15,22",,MJD,
29423.5,pg,,,,,15.9,,,"9,15,22",,MJD,
29426.5,pg,,,,,16.2,,,"9,15,22",,MJD,
29427.5,pg,,,,,16.1,,,"9,15,22",,MJD,
29429.5,pg,,,,,16.2,,,"9,15,22",,MJD,
29431.5,pg,,,,,16.2,,,"9,15,22",,MJD,
29434.5,pg,,,,,16.1,,,"9,15,22",,MJD,
29436.5,pg,,,,,16.3,,,"9,15,22",,MJD,
29457.5,pg,,,,,16.3,,,"9,15,22",,MJD,
29457.5,pg,,,,,16.4,,,"9,15,22",,MJD,
29611.5,pg,,,,,18.8,,,"9,15,22",,MJD,
