time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
30000.17379,pg,,,,,15.38795,,,6,,MJD,
30014.82960,pg,,,,,13.86193,,,6,,MJD,
30016.00003,pg,,,,,13.75671,,,6,,MJD,
30019.07083,pg,,,,,13.49368,,,6,,MJD,
30021.97693,pg,,,,,13.39625,,,6,,MJD,
30026.77705,pg,,,,,13.19371,,,6,,MJD,
30028.51090,pg,,,,,13.21656,,,6,,MJD,
30029.82242,pg,,,,,13.14148,,,6,,MJD,
30045.09051,pg,,,,,13.73850,,,6,,MJD,
30046.24006,pg,,,,,13.80643,,,6,,MJD,
30049.11076,pg,,,,,14.00260,,,6,,MJD,
30051.66479,pg,,,,,14.42456,,,6,,MJD,
30054.15309,pg,,,,,14.19156,,,6,,MJD,
30057.58358,pg,,,,,14.54591,,,6,,MJD,
30058.55483,pg,,,,,14.89235,,,6,,MJD,
30060.41252,pg,,,,,15.08837,,,6,,MJD,
30061.12248,pg,,,,,15.20140,,,6,,MJD,
30062.58325,pg,,,,,15.08869,,,6,,MJD,
30068.03521,pg,,,,,15.48098,,,6,,MJD,
30069.03642,pg,,,,,15.57900,,,6,,MJD,
30071.20715,pg,,,,,15.57933,,,6,,MJD,
30081.32849,pg,,,,,16.85312,,,6,,MJD,
30082.07386,pg,,,,,16.67256,,,6,,MJD,
30100.77008,pg,,,,,18.84350,,,6,,MJD,
30102.76885,pg,,,,,19.06965,,,6,,MJD,
30104.21056,pg,,,,,19.11503,,,6,,MJD,
30133.20570,pg,,,,,19.88728,,,6,,MJD,True
