time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
42574.0,pg,,,,,14.5,,,"8,16",,MJD,
42576.91,B,,,,,14.65,,,"7,12",,MJD,
42576.91,B,,,,,14.95,,,"7,16",,MJD,
42581.84,B,,,,,15.3,,,"7,16",,MJD,
42582.04,B,,,,,15.01,,,"7,12",,MJD,
42596.97,B,,,,,16.78,,,"7,12",,MJD,
42596.97,B,,,,,16.9,,,"7,16",,MJD,
42605.95,B,,,,,17.42,,,"7,12",,MJD,
42605.95,B,,,,,17.45,,,"7,16",,MJD,
42605.98,B,,,,,17.42,,,"7,12",,MJD,
42605.98,B,,,,,17.45,,,"7,16",,MJD,
42607.93,V,,,,,16.35,,,"7,12",,MJD,
42607.93,V,,,,,16.7,,,"7,16",,MJD,
42624.96,B,,,,,17.97,,,"7,12",,MJD,
42624.96,B,,,,,18.0,,,"7,16",,MJD,
42632.89,B,,,,,18.05,,,"7,16",,MJD,
42632.89,B,,,,,18.11,,,"7,12",,MJD,
42632.9,B,,,,,18.07,,,"7,12",,MJD,
42632.9,B,,,,,18.1,,,"7,16",,MJD,
42632.9,V,,,,,16.9,,,"7,12",,MJD,
42632.91,V,,,,,17.15,,,"7,16",,MJD,
42658.85,B,,,,,18.46,,,"7,12",,MJD,
42658.85,V,,,,,17.35,,,"7,12",,MJD,
42658.85,V,,,,,17.7,,,"7,16",,MJD,
42658.87,B,,,,,18.35,,,"7,16",,MJD,
