time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
46566.5,,,,,,14.0,,,"10,12",,MJD,
46579.5,I,,,,,14.14,,,"8,13",,MJD,
46579.5,R,,,,,14.57,,,"8,13",,MJD,
46579.5,V,,,,,14.47,,,"8,13",,MJD,
46580.5,I,,,,,14.11,,,"8,13",,MJD,
46580.5,R,,,,,14.57,,,"8,13",,MJD,
46580.5,V,,,,,14.28,,,"8,13",,MJD,
46580.8,B,,,,,14.22,,,"9,13",,MJD,
46581.8,V,,,,,13.85,,,"9,13",,MJD,
46585.5,I,,,,,14.14,,,"8,13",,MJD,
46585.5,R,,,,,14.57,,,"8,13",,MJD,
46585.5,V,,,,,14.45,,,"8,13",,MJD,
46590.5,I,,,,,13.98,,,"8,13",,MJD,
46590.5,R,,,,,14.65,,,"8,13",,MJD,
46590.5,V,,,,,14.42,,,"8,13",,MJD,
46590.8,B,,,,,15.12,,,"9,13",,MJD,
46590.8,V,,,,,14.05,,,"9,13",,MJD,
46591.5,I,,,,,13.96,,,"8,13",,MJD,
46591.5,R,,,,,14.6,,,"8,13",,MJD,
46591.5,V,,,,,14.5,,,"8,13",,MJD,
46598.5,I,,,,,14.01,,,"8,13",,MJD,
46598.5,R,,,,,14.65,,,"8,13",,MJD,
46598.5,V,,,,,14.53,,,"8,13",,MJD,
46601.5,I,,,,,13.96,,,"8,13",,MJD,
46601.5,V,,,,,14.56,,,"8,13",,MJD,
46610.5,R,,,,,14.7,,,"8,13",,MJD,
46610.5,V,,,,,14.64,,,"8,13",,MJD,
46614.5,I,,,,,14.01,,,"8,13",,MJD,
46614.5,R,,,,,14.76,,,"8,13",,MJD,
46614.5,V,,,,,14.5,,,"8,13",,MJD,
46618.5,I,,,,,14.14,,,"8,13",,MJD,
46618.5,R,,,,,14.65,,,"8,13",,MJD,
46618.5,V,,,,,14.42,,,"8,13",,MJD,
46620.5,I,,,,,14.11,,,"8,13",,MJD,
46620.5,R,,,,,14.62,,,"8,13",,MJD,
46620.5,V,,,,,14.56,,,"8,13",,MJD,
46628.5,I,,,,,14.25,,,"8,13",,MJD,
46628.5,R,,,,,14.81,,,"8,13",,MJD,
46628.5,V,,,,,15.15,,,"8,13",,MJD,
46631.5,R,,,,,14.88,,,"8,13",,MJD,
46631.5,V,,,,,14.81,,,"8,13",,MJD,
46642.5,V,,,,,14.68,,,"8,13",,MJD,
46645.5,I,,,,,13.96,,,"8,13",,MJD,
46645.5,V,,,,,14.64,,,"8,13",,MJD,
46647.5,I,,,,,14.01,,,"8,13",,MJD,
46647.5,R,,,,,14.6,,,"8,13",,MJD,
46647.5,V,,,,,14.93,,,"8,13",,MJD,
46653.5,I,,,,,14.55,,,"8,13",,MJD,
46653.5,V,,,,,14.64,,,"8,13",,MJD,
46728.5,I,,,,,16.25,,,"8,13",,MJD,
46728.5,R,,,,,16.4,,,"8,13",,MJD,
46728.5,V,,,,,15.93,,,"8,13",,MJD,
46746.5,I,,,,,16,,,"8,13",,MJD,
46746.5,R,,,,,16.61,,,"8,13",,MJD,
46746.5,V,,,,,16.88,,,"8,13",,MJD,
46764.5,I,,,,,16.21,,,"8,13",,MJD,
46764.5,V,,,,,16.89,,,"8,13",,MJD,
46771.5,I,,,,,16.21,,,"8,13",,MJD,
46771.5,R,,,,,16.73,,,"8,13",,MJD,
46771.5,V,,,,,17.07,,,"8,13",,MJD,
47178.5,V,,,,,23.4,,,"7,13",,MJD,
