time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
48039.5,,,,,,15.9,,,"13,15",,MJD,
48040.91,B,,,0.05,,15.89,,3.6m,9,,MJD,
48040.91,B,,,,,15.89,,,"10,16",,MJD,
48040.91,V,,,0.03,,14.99,,3.6m,9,,MJD,
48040.91,V,,,,,14.99,,,"10,16",,MJD,
48041.89,B,,,0.02,,16.03,,NTT,9,,MJD,
48041.89,B,,,,,16.03,,,"10,16",,MJD,
48041.89,R,,,0.02,,14.57,,NTT,9,,MJD,
48041.89,R,,,,,14.57,,,"10,16",,MJD,
48041.89,V,,,0.02,,15.05,,NTT,9,,MJD,
48041.89,V,,,,,15.05,,,"10,16",,MJD,
48042.89,B,,,0.03,,16.13,,NTT,9,,MJD,
48042.89,B,,,,,16.13,,,"10,16",,MJD,
48042.89,R,,,0.03,,14.63,,NTT,9,,MJD,
48042.89,R,,,,,14.63,,,"10,16",,MJD,
48042.89,V,,,0.03,,15.13,,NTT,9,,MJD,
48042.89,V,,,,,15.13,,,"10,16",,MJD,
48043.92,B,,,0.05,,16.21,,NTT,9,,MJD,
48043.92,B,,,,,16.21,,,"10,16",,MJD,
48043.92,R,,,0.04,,14.64,,NTT,9,,MJD,
48043.92,R,,,,,14.64,,,"10,16",,MJD,
48043.92,V,,,0.04,,15.13,,NTT,9,,MJD,
48043.92,V,,,,,15.13,,,"10,16",,MJD,
48059.90,B,,,0.02,,16.79,,Danish 1.5m,9,,MJD,
48059.9,B,,,,,16.79,,,"10,16",,MJD,
48059.90,R,,,0.02,,14.94,,Danish 1.5m,9,,MJD,
48059.9,R,,,,,14.94,,,"10,16",,MJD,
48059.90,V,,,0.02,,15.52,,Danish 1.5m,9,,MJD,
48059.9,V,,,,,15.52,,,"10,16",,MJD,
48062.92,B,,,0.02,,16.85,,Danish 1.5m,9,,MJD,
48062.92,B,,,,,16.85,,,"10,16",,MJD,
48062.92,R,,,0.02,,14.97,,Danish 1.5m,9,,MJD,
48062.92,R,,,,,14.97,,,"10,16",,MJD,
48062.92,V,,,0.02,,15.52,,Danish 1.5m,9,,MJD,
48062.92,V,,,,,15.52,,,"10,16",,MJD,
48065.92,B,,,0.04,,16.92,,Danish 1.5m,9,,MJD,
48065.92,B,,,,,16.92,,,"10,16",,MJD,
48065.92,I,,,0.06,,14.69,,Danish 1.5m,9,,MJD,
48065.92,I,,,,,14.69,,,"10,16",,MJD,
48065.92,R,,,0.03,,15.02,,Danish 1.5m,9,,MJD,
48065.92,R,,,,,15.02,,,"10,16",,MJD,
48065.92,V,,,0.03,,15.62,,Danish 1.5m,9,,MJD,
48065.92,V,,,,,15.62,,,"10,16",,MJD,
48066.92,B,,,0.02,,16.97,,Danish 1.5m,9,,MJD,
48066.92,B,,,,,16.97,,,"10,16",,MJD,
48066.92,I,,,0.02,,14.84,,Danish 1.5m,9,,MJD,
48066.92,I,,,,,14.84,,,"10,16",,MJD,
48066.92,R,,,0.02,,15.04,,Danish 1.5m,9,,MJD,
48066.92,R,,,,,15.04,,,"10,16",,MJD,
48066.92,V,,,0.03,,15.72,,Danish 1.5m,9,,MJD,
48066.92,V,,,,,15.72,,,"10,16",,MJD,
48095.71,B,,,0.03,,19.17,,NTT,9,,MJD,
48095.71,B,,,,,19.17,,,"10,16",,MJD,
48095.71,V,,,0.02,,17.72,,NTT,9,,MJD,
48095.71,V,,,,,17.72,,,"10,16",,MJD,
48097.82,B,,,0.05,,19.06,,3.6m,9,,MJD,
48097.82,B,,,,,19.06,,,"10,16",,MJD,
48097.82,R,,,0.05,,16.75,,3.6m,9,,MJD,
48097.82,R,,,,,16.75,,,"10,16",,MJD,
48097.82,V,,,0.02,,17.73,,3.6m,9,,MJD,
48097.82,V,,,,,17.73,,,"10,16",,MJD,
48114.86,B,,,0.04,,19.46,,Danish 1.5m,9,,MJD,
48114.86,B,,,,,19.46,,,"10,16",,MJD,
48114.86,R,,,0.03,,17.02,,Danish 1.5m,9,,MJD,
48114.86,R,,,,,17.02,,,"10,16",,MJD,
48114.86,V,,,0.03,,18.06,,Danish 1.5m,9,,MJD,
48114.86,V,,,,,18.06,,,"10,16",,MJD,
48131.62,B,,,0.04,,19.80,,3.6m,9,,MJD,
48131.62,B,,,,,19.8,,,"10,16",,MJD,
48131.62,R,,,0.02,,17.67,,3.6m,9,,MJD,
48131.62,R,,,,,17.67,,,"10,16",,MJD,
48131.62,V,,,0.03,,18.67,,3.6m,9,,MJD,
48131.62,V,,,,,18.67,,,"10,16",,MJD,
48176.73,B,,,0.05,,20.15,,Danish 1.5m,9,,MJD,
48176.73,B,,,,,20.15,,,"10,16",,MJD,
48176.73,R,,,0.04,,17.76,,Danish 1.5m,9,,MJD,
48176.73,R,,,,,17.76,,,"10,16",,MJD,
48176.73,V,,,0.04,,18.89,,Danish 1.5m,9,,MJD,
48176.73,V,,,,,18.89,,,"10,16",,MJD,
48178.73,B,,,0.05,,20.05,,3.6m,9,,MJD,
48178.73,B,,,,,20.05,,,"10,16",,MJD,
48178.73,R,,,0.04,,17.89,,3.6m,9,,MJD,
48178.73,R,,,,,17.89,,,"10,16",,MJD,
48178.73,V,,,0.04,,18.98,,3.6m,9,,MJD,
48178.73,V,,,,,18.98,,,"10,16",,MJD,
48189.72,B,,,0.10,,20.08,,3.6m,9,,MJD,
48189.72,B,,,,,20.08,,,"10,16",,MJD,
48189.72,R,,,0.02,,18.02,,3.6m,9,,MJD,
