time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
50019.62,R,,,,,23.054,,,8,,MJD,True
50040.56,R,,,,,22.544,,,8,,MJD,
50041.6,R,,,,,22.626,,,8,,MJD,
50043.34,R,,,,,22.651,,,8,,MJD,
50045.61,R,,,,,22.812,,,8,,MJD,
50045.63,I,,,,,22.664,,,8,,MJD,
50048.69,R,,,,,22.812,,,8,,MJD,
50053.35,R,,,,,22.174,,,8,,MJD,True
50071.69,R,,,,,23.844,,,8,,MJD,True
50074.36,R,,,,,24.635,,,8,,MJD,
50082.6,R,,,,,23.30,,,8,,MJD,True
50362.4,R,,,,,24.36,,,8,,MJD,True
50394.8,R,,,,,23.56,,,8,,MJD,True
50395.67,R,,,,,23.96,,,8,,MJD,True
50755.72,I,,,,,23.37,,,8,,MJD,True
