time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
50840.5,,,,,,15.6,,,"13,16",,MJD,
50873.54,B,Standard,,0.028,,18.588,,,"11,15",,MJD,
50873.54,I,Standard,,0.024,,16.571,,,"11,15",,MJD,
50873.54,R,Standard,,0.020,,16.971,,,"11,15",,MJD,
50873.54,U,Standard,,0.057,,18.902,,,"11,15",,MJD,
50873.54,V,Standard,,0.013,,17.433,,,"11,15",,MJD,
50893.43,B,Standard,,0.032,,19.094,,,"11,15",,MJD,
50893.43,I,Standard,,0.031,,17.558,,,"11,15",,MJD,
50893.43,R,Standard,,0.048,,17.801,,,"11,15",,MJD,
50893.43,U,Standard,,0.079,,19.445,,,"11,15",,MJD,
50893.43,V,Standard,,0.022,,18.156,,,"11,15",,MJD,
50925.39,B,Standard,,0.037,,19.703,,,"11,15",,MJD,
50925.39,I,Standard,,0.045,,18.797,,,"11,15",,MJD,
50925.39,R,Standard,,0.036,,19.096,,,"11,15",,MJD,
50925.39,V,Standard,,0.021,,19.081,,,"11,15",,MJD,
50980.30,B,Standard,,0.082,,20.604,,,"11,15",,MJD,
50980.30,I,Standard,,0.198,,20.134,,,"11,15",,MJD,
50980.30,R,Standard,,0.086,,20.692,,,"11,15",,MJD,
50980.30,V,Standard,,0.059,,20.494,,,"11,15",,MJD,
50987.28,B,Standard,,0.083,,20.809,,,"11,15",,MJD,
50987.28,V,Standard,,0.060,,20.590,,,"11,15",,MJD,
