time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
51294.5,,,,,,17.0,,,"12,16",,MJD,
51295.55,R,,,,,17,,,"13,17",,MJD,
51298.51,C,,,,,17,,,"13,17",,MJD,
51305.0,B,,,,,16.75,,,"11,17",,MJD,
51305.00,B,,,0.013,,16.755,Landolt,ESO-NTT,2,,MJD,
51305.0,I,,,,,15.31,,,"11,17",,MJD,
51305.00,I,,,0.016,,15.315,Landolt,ESO-NTT,2,,MJD,
51305.00,R,,,0.015,,15.537,Landolt,ESO-NTT,2,,MJD,
51305.0,R,,,,,15.54,,,"11,17",,MJD,
51305.00,U,,,0.016,,17.107,Landolt,ESO-NTT,2,,MJD,
51305.0,U,,,,,17.11,,,"11,17",,MJD,
51305.00,V,,,0.015,,15.959,Landolt,ESO-NTT,2,,MJD,
51305.00,V,Swope,,0.015,,15.959,Swope,,4,,MJD,
51305.0,V,,,,,15.96,,,"11,17",,MJD,
51305.00,Z,,,0.015,,15.171,Landolt,ESO-NTT,2,,MJD,
51308.06,B,,,,,17,,,"11,17",,MJD,
51308.06,B,,,0.017,,17.001,Landolt,CTIO-1.0m,2,,MJD,
51308.06,I,,,0.016,,15.379,Landolt,CTIO-1.0m,2,,MJD,
51308.06,I,,,,,15.38,,,"11,17",,MJD,
51308.06,R,,,0.012,,15.639,Landolt,CTIO-1.0m,2,,MJD,
51308.06,R,,,,,15.64,,,"11,17",,MJD,
51308.06,U,,,,,17.75,,,"11,17",,MJD,
51308.06,U,,,0.034,,17.754,Landolt,CTIO-1.0m,2,,MJD,
51308.06,V,Swope,,0.015,,16.067,Swope,,4,,MJD,
51308.06,V,,,,,16.07,,,"11,17",,MJD,
51308.06,V,,,0.015,,16.076,Landolt,CTIO-1.0m,2,,MJD,
51309.0,B,,,,,17.08,,,"11,17",,MJD,
51309.0,I,,,,,15.4,,,"11,17",,MJD,
51309.0,R,,,,,15.64,,,"11,17",,MJD,
51309.0,U,,,,,17.66,,,"11,17",,MJD,
51309.0,V,,,,,16.1,,,"11,17",,MJD,
51309.01,B,,,0.017,,17.083,Landolt,ESO-1.54m,2,,MJD,
51309.01,I,,,0.015,,15.399,Landolt,ESO-1.54m,2,,MJD,
51309.01,R,,,0.015,,15.641,Landolt,ESO-1.54m,2,,MJD,
51309.01,U,,,,,17.63,,,"11,17",,MJD,
51309.01,U,,,0.019,,17.647,Landolt,ESO-1.54m,2,,MJD,
51309.01,V,,,0.008,,16.108,Landolt,ESO-1.54m,2,,MJD,
51309.01,V,Swope,,0.008,,16.108,Swope,,4,,MJD,
51309.01,V,,,,,16.11,,,"11,17",,MJD,
51309.01,V,,,,,16.12,,,"11,17",,MJD,
51309.05,V,,,,,16.11,,,"11,17",,MJD,
51312.97,B,,,0.017,,17.359,Landolt,CTIO-1.0m,2,,MJD,
51312.97,B,,,,,17.36,,,"11,17",,MJD,
51312.97,I,,,,,15.46,,,"11,17",,MJD,
51312.97,I,,,0.016,,15.465,Landolt,CTIO-1.0m,2,,MJD,
51312.97,R,,,0.012,,15.768,Landolt,CTIO-1.0m,2,,MJD,
51312.97,R,,,,,15.77,,,"11,17",,MJD,
51312.97,U,,,0.054,,18.298,Landolt,CTIO-1.0m,2,,MJD,
51312.97,U,,,,,18.3,,,"11,17",,MJD,
51312.97,V,,,,,16.24,,,"11,17",,MJD,
51312.97,V,,,0.015,,16.244,Landolt,CTIO-1.0m,2,,MJD,
51312.97,V,Swope,,0.015,,16.244,Swope,,4,,MJD,
51317.02,B,,,0.017,,17.565,Landolt,CTIO-1.0m,2,,MJD,
51317.02,B,,,,,17.57,,,"11,17",,MJD,
51317.02,I,,,0.016,,15.576,Landolt,CTIO-1.0m,2,,MJD,
51317.02,I,,,,,15.58,,,"11,17",,MJD,
51317.02,R,,,0.012,,15.869,Landolt,CTIO-1.0m,2,,MJD,
51317.02,R,,,,,15.87,,,"11,17",,MJD,
51317.02,U,,,,,18.62,,,"11,17",,MJD,
51317.02,U,,,0.074,,18.621,Landolt,CTIO-1.0m,2,,MJD,
51317.02,V,,,,,16.37,,,"11,17",,MJD,
51317.02,V,,,0.015,,16.371,Landolt,CTIO-1.0m,2,,MJD,
51317.02,V,Swope,,0.015,,16.371,Swope,,4,,MJD,
51317.04,B,,,0.013,,17.527,Landolt,ESO-NTT,2,,MJD,
51317.04,B,,,,,17.53,,,"11,17",,MJD,
51317.04,I,,,0.016,,15.580,Landolt,ESO-NTT,2,,MJD,
51317.04,I,,,,,15.58,,,"11,17",,MJD,
51317.04,R,,,,,15.83,,,"11,17",,MJD,
51317.04,R,,,0.015,,15.832,Landolt,ESO-NTT,2,,MJD,
51317.04,U,,,,,18.38,,,"11,17",,MJD,
51317.04,U,,,0.016,,18.382,Landolt,ESO-NTT,2,,MJD,
