time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
51486.5,,,,,,19.7,,,"7,10",,MJD,
51492.14,B,,,0.01,,18.84,,,"5,11",,MJD,
51492.14,I,,,0.01,,16.16,,,"5,11",,MJD,
51492.14,R,,,0.01,,16.65,,,"5,11",,MJD,
51492.14,U,,,0.08,,20.73,,,"5,11",,MJD,
51492.14,V,,,0.01,,17.29,,,"5,11",,MJD,
51496.29,B,,,0.01,,18.87,,,"5,11",,MJD,
51496.29,I,,,0.01,,16.21,,,"5,11",,MJD,
51496.29,R,,,0.01,,16.67,,,"5,11",,MJD,
51496.29,U,,,0.06,,21.23,,,"5,11",,MJD,
51496.29,V,,,0.01,,17.34,,,"5,11",,MJD,
51505.82,C,,,,,17.2,,,"8,11",,MJD,
51507.88,C,,,,,17.7,,,"8,11",,MJD,
51509.38,C,,,,,17.7,,,"8,11",,MJD,
51511.87,C,,,,,19.1,,,"8,11",,MJD,
51515.16,B,,,0.13,,23.06,,,"5,11",,MJD,
51515.16,B,,,0.23,,23.09,,,"5,11",,MJD,
51515.16,R,,,0.04,,19.01,,,"5,11",,MJD,
51515.16,V,,,0.13,,20.5,,,"5,11",,MJD,
51517.26,B,,,0.33,,23.13,,,"5,11",,MJD,
51517.26,I,,,0.18,,18.41,,,"5,11",,MJD,
51517.26,R,,,0.05,,19.16,,,"5,11",,MJD,
51517.26,V,,,0.05,,20.56,,,"5,11",,MJD,
51522.98,B,,,0.19,,23.21,,,"5,11",,MJD,
51522.98,I,,,0.12,,18.78,,,"5,11",,MJD,
51522.98,R,,,0.02,,19.52,,,"5,11",,MJD,
51522.98,V,,,0.07,,20.98,,,"5,11",,MJD,
51523.14,B,,,0.17,,23.17,,,"5,11",,MJD,
51523.14,R,,,0.02,,19.63,,,"5,11",,MJD,
51523.14,V,,,0.09,,21.05,,,"5,11",,MJD,
51527.0,B,,,0.23,,23.29,,,"5,11",,MJD,
51527.0,R,,,0.02,,19.92,,,"5,11",,MJD,
51527.0,V,,,0.06,,21.27,,,"5,11",,MJD,
51530.23,B,,,0.39,,23.3,,,"5,11",,MJD,
51530.23,I,,,0.03,,19.04,,,"5,11",,MJD,
51530.23,R,,,0.04,,20.08,,,"5,11",,MJD,
51530.23,V,,,0.12,,21.28,,,"5,11",,MJD,
51530.23,V,,,0.13,,21.31,,,"5,11",,MJD,
51540.15,R,,,0.21,,20.59,,,"5,11",,MJD,
51540.15,V,,,0.61,,21.8,,,"5,11",,MJD,
51541.03,B,,,0.17,,23.53,,,"5,11",,MJD,
51541.03,I,,,0.01,,19.36,,,"5,11",,MJD,
51541.03,R,,,0.02,,20.59,,,"5,11",,MJD,
51541.03,V,,,0.12,,21.81,,,"5,11",,MJD,
51547.89,B,,,0.18,,23.58,,,"5,11",,MJD,
51547.89,I,,,0.19,,19.45,,,"5,11",,MJD,
51547.89,R,,,0.03,,20.93,,,"5,11",,MJD,
51547.89,V,,,0.08,,22.05,,,"5,11",,MJD,
51753.42,B,,,0.17,,23.78,,,"5,11",,MJD,
51753.42,I,,,0.03,,20.68,,,"5,11",,MJD,
51753.42,R,,,0.08,,21.23,,,"5,11",,MJD,
51753.42,V,,,0.1,,22.2,,,"5,11",,MJD,
51788.35,B,,,0.4,,24,,,"5,11",,MJD,
51788.35,I,,,0.11,,21.28,,,"5,11",,MJD,
51788.35,R,,,0.16,,21.74,,,"5,11",,MJD,
51788.35,V,,,0.25,,22.54,,,"5,11",,MJD,
51866.21,V,,,0.1,,23.04,,,"5,11",,MJD,
51941.04,R,,,0.1,,23.46,,,"5,11",,MJD,
51941.04,V,,,0.13,,23.46,,,"5,11",,MJD,
52263.18,R,,,0.17,,23.88,,,"5,11",,MJD,
52441.37,V,,,0.4,,24.15,,,"5,11",,MJD,
