time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
51994.5,,,,,,18.1,,,"16,20",,MJD,
51997.30,B,,,0.04300,,17.98300,,kait2,"9,23",,MJD,
51997.30,I,,,0.37300,,18.19200,,kait2,"9,23",,MJD,
51997.30,R,,,0.08500,,17.97100,,kait2,"9,23",,MJD,
51997.30,V,,,0.07700,,18.10300,,kait2,"9,23",,MJD,
51999.30,B,,,0.04500,,17.73800,,kait2,"9,23",,MJD,
51999.30,I,,,0.12300,,17.94500,,kait2,"9,23",,MJD,
51999.30,R,,,0.07800,,17.93700,,kait2,"9,23",,MJD,
51999.30,V,,,0.09900,,18.00500,,kait2,"9,23",,MJD,
52001.84491,B,,,0.022,,17.702,,,"11,21",,MJD,
52001.84855,V,,,0.017,,17.683,,,"11,21",,MJD,
52001.85127,R,,,0.023,,17.712,,,"11,21",,MJD,
52001.85378,I,,,0.041,,17.916,,,"11,21",,MJD,
52001.86223,B,,,0.027,,17.727,,,"11,21",,MJD,
52002.94,R,,,,,17.3,,,"17,21",,MJD,
52003.31,B,,,0.06000,,17.62700,,kait2,"9,23",,MJD,
52003.31,I,,,0.18000,,17.82900,,kait2,"9,23",,MJD,
52003.31,R,,,0.07600,,17.58500,,kait2,"9,23",,MJD,
52003.31,V,,,0.06400,,17.72100,,kait2,"9,23",,MJD,
52005.0,C,,,,,16.8,,,"17,21",,MJD,
52009.25,B,,,0.06900,,17.79200,,kait2,"9,23",,MJD,
52009.25,I,,,0.14100,,18.06200,,kait2,"9,23",,MJD,
52009.25,R,,,0.05100,,17.55300,,kait2,"9,23",,MJD,
52009.25,V,,,0.05200,,17.69800,,kait2,"9,23",,MJD,
52009.9,C,,,,,17.2,,,"17,21",,MJD,
52011.30,B,,,0.08400,,17.81500,,kait2,"9,23",,MJD,
52011.30,I,,,0.39500,,18.25900,,kait2,"9,23",,MJD,
52011.30,R,,,0.10400,,17.70200,,kait2,"9,23",,MJD,
52011.30,V,,,0.09200,,17.81200,,kait2,"9,23",,MJD,
52013.29,I,,,0.14600,,18.13900,,kait2,"9,23",,MJD,
52013.29,R,,,0.06100,,17.76700,,kait2,"9,23",,MJD,
52013.29,V,,,0.07900,,17.84300,,kait2,"9,23",,MJD,
52015.26,B,,,0.06700,,17.95500,,kait2,"9,23",,MJD,
52015.26,I,,,0.37000,,18.39800,,kait2,"9,23",,MJD,
52015.26,R,,,0.10500,,17.71600,,kait2,"9,23",,MJD,
52015.26,V,,,0.06500,,17.93000,,kait2,"9,23",,MJD,
52017.29,B,,,0.05600,,18.12600,,kait2,"9,23",,MJD,
52017.29,I,,,0.10900,,18.51800,,kait2,"9,23",,MJD,
52017.29,R,,,0.05400,,17.83500,,kait2,"9,23",,MJD,
52017.29,V,,,0.04300,,17.94100,,kait2,"9,23",,MJD,
52019.92,C,,,,,17.4,,,"17,21",,MJD,
52021.21,B,,,0.09200,,18.49500,,kait2,"9,23",,MJD,
52021.21,I,,,0.24400,,18.57200,,kait2,"9,23",,MJD,
52021.21,R,,,0.11700,,18.06200,,kait2,"9,23",,MJD,
52021.21,V,,,0.08400,,18.30200,,kait2,"9,23",,MJD,
52021.88,C,,,,,17.8,,,"17,21",,MJD,
52023.24,I,,,0.14500,,18.93300,,kait2,"9,23",,MJD,
52023.24,R,,,0.05700,,18.08500,,kait2,"9,23",,MJD,
52023.24,V,,,0.05200,,18.25500,,kait2,"9,23",,MJD,
52025.21,R,,,0.14800,,18.28900,,kait2,"9,23",,MJD,
52025.21,V,,,0.11000,,18.37500,,kait2,"9,23",,MJD,
52028.21,R,,,0.12100,,18.11200,,kait2,"9,23",,MJD,
52028.21,V,,,0.14400,,18.79200,,kait2,"9,23",,MJD,
52028.89,C,,,,,18,,,"17,21",,MJD,
52030.21,R,,,0.15500,,18.29800,,kait2,"9,23",,MJD,
52030.21,V,,,0.13400,,18.60100,,kait2,"9,23",,MJD,
52031.64931,B,,,0.056,,19.781,,,"11,21",,MJD,
52031.65295,V,,,0.025,,18.675,,,"11,21",,MJD,
