time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52249.5,,,,,,17.4,,,"13,16",,MJD,
52256.66216,B,,,0.044,,18.67,,,"8,17",,MJD,
52256.66536,V,,,0.034,,17.984,,,"8,17",,MJD,
52256.66785,R,,,0.04,,17.899,,,"8,17",,MJD,
52257.59845,I,,,0.11,,18.556,,,"8,17",,MJD,
52265.6481,B,,,0.137,,19.832,,,"8,17",,MJD,
52265.65127,V,,,0.063,,18.627,,,"8,17",,MJD,
52265.65554,I,,,0.095,,18.354,,,"8,17",,MJD,
52266.64606,B,,,0.14,,20.051,,,"8,17",,MJD,
52266.64924,V,,,0.053,,18.72,,,"8,17",,MJD,
