time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52342.85,R,,,,,16.1,,,"6,9",,MJD,
52343.8,R,,,,,16,,,"6,9",,MJD,
52344.0,C,,,,,16.8,,,"6,9",,MJD,
52346.98,R,,,,,16.2,,,"6,9",,MJD,
52348.71,R,,,,,16.2,,,"6,9",,MJD,
52351.75,R,,,,,16.3,,,"6,9",,MJD,
52355.29,R,,,,,16.7,,,"6,9",,MJD,
52361.77,R,,,,,16.6,,,"6,9",,MJD,
52364.72,R,,,,,16.7,,,"6,9",,MJD,
52365.37,R,,,,,16.8,,,"6,9",,MJD,
52370.39,R,,,,,17,,,"6,9",,MJD,
52370.76,R,,,,,17,,,"6,9",,MJD,
52377.39,R,,,,,17.2,,,"6,9",,MJD,
52384.69,R,,,,,17.3,,,"6,9",,MJD,
52392.69,R,,,,,17.3,,,"6,9",,MJD,
52400.69,R,,,,,17.8,,,"6,9",,MJD,
52406.78,R,,,,,17.9,,,"6,9",,MJD,
