time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52344.73,C,,,,,15.5,,,"10,14",,MJD,
52356.73,C,,,,,14.1,,,"10,14",,MJD,
52359.67,V,,,,,14.1,,,"10,14",,MJD,
52368.01,C,,,,,14.4,,,"10,14",,MJD,
52368.32,C,,,,,14,,,"10,14",,MJD,
52371.25,C,,,,,14.1,,,"10,14",,MJD,
52372.97,C,,,,,13.9,,,"10,14",,MJD,
52380.91,R,,,,,14.5,,,"10,14",,MJD,
52387.9,R,,,,,14.6,,,"10,14",,MJD,
52394.93,R,,,,,14.8,,,"10,14",,MJD,
52399.43,R,,,,,14.7,,,"10,14",,MJD,
52408.89,R,,,,,14.9,,,"10,14",,MJD,
52409.86,R,,,,,15.2,,,"10,14",,MJD,
52416.12,R,,,,,15,,,"10,14",,MJD,
52435.87,R,,,,,14.3,,,"10,14",,MJD,
52439.1,R,,,,,15.2,,,"10,14",,MJD,
52440.13,R,,,,,15,,,"10,14",,MJD,
