time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
52683.9,C,,,,,16.8,,,"7,10",,MJD,
52684.76,C,,,,,16.8,,,"7,10",,MJD,
52685.9,C,,,,,15.3,,,"7,10",,MJD,
52692.77,R,,,,,16,,,"7,10",,MJD,
52701.85,C,,,,,15.4,,,"7,10",,MJD,
52704.93,R,,,,,16.3,,,"7,10",,MJD,
52706.83,R,,,,,16.2,,,"7,10",,MJD,
52711.83,R,,,,,16.3,,,"7,10",,MJD,
52714.79,R,,,,,16.3,,,"7,10",,MJD,
52715.83,R,,,,,16.3,,,"7,10",,MJD,
52717.82,R,,,,,16.3,,,"7,10",,MJD,
52719.89,C,,,,,16.1,,,"7,10",,MJD,
52720.85,R,,,,,16.4,,,"7,10",,MJD,
52722.8,R,,,,,15.9,,,"7,10",,MJD,
52722.94,R,,,,,16.7,,,"7,10",,MJD,
52734.81,R,,,,,16.6,,,"7,10",,MJD,
52736.8,R,,,,,16.6,,,"7,10",,MJD,
52736.88,R,,,,,16.7,,,"7,10",,MJD,
52746.89,R,,,,,16.9,,,"7,10",,MJD,
52752.82,R,,,,,16.7,,,"7,10",,MJD,
