time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53268.103500,R,,,,,23.4550,Natural,CTIO 4m,2,,MJD,True
53268.142500,I,,,,,23.0198,Natural,CTIO 4m,2,,MJD,True
53283.127100,R,,,,,23.2761,Natural,CTIO 4m,2,,MJD,True
53283.153100,I,,,,,22.6398,Natural,CTIO 4m,2,,MJD,True
53289.052300,R,,,,,23.2756,Natural,CTIO 4m,2,,MJD,True
53289.066800,I,,,,,22.8617,Natural,CTIO 4m,2,,MJD,True
53293.049900,I,,,,,22.5760,Natural,CTIO 4m,2,,MJD,True
53295.165000,R,,,,,24.0663,Natural,CTIO 4m,2,,MJD,True
53297.060000,R,,,,,23.6301,Natural,CTIO 4m,2,,MJD,True
53297.074700,I,,,,,23.1596,Natural,CTIO 4m,2,,MJD,True
53301.069200,R,,,,,23.1219,Natural,CTIO 4m,2,,MJD,True
53301.091500,I,,,,,23.0064,Natural,CTIO 4m,2,,MJD,True
53315.070000,R,,,,,23.9578,Natural,CTIO 4m,2,,MJD,True
53315.084500,I,,,,,23.3287,Natural,CTIO 4m,2,,MJD,True
53321.180200,R,,,,,23.6005,Natural,CTIO 4m,2,,MJD,True
53323.079200,R,,,,,23.8746,Natural,CTIO 4m,2,,MJD,True
53323.094700,I,,,,,23.2889,Natural,CTIO 4m,2,,MJD,True
53329.032500,R,,,,,23.6490,Natural,CTIO 4m,2,,MJD,True
53329.047200,I,,,,,23.3882,Natural,CTIO 4m,2,,MJD,True
53342.077600,R,,,,,24.0938,Natural,CTIO 4m,2,,MJD,True
53342.092400,I,,,,,23.3772,Natural,CTIO 4m,2,,MJD,True
53346.085600,I,,,,,23.2185,Natural,CTIO 4m,2,,MJD,True
53350.050500,R,,,,,23.4192,Natural,CTIO 4m,2,,MJD,True
53350.066500,I,,,,,22.9598,Natural,CTIO 4m,2,,MJD,True
53354.046500,R,,,,,24.0156,Natural,CTIO 4m,2,,MJD,True
53354.065700,I,,,,,23.4528,Natural,CTIO 4m,2,,MJD,True
53358.039600,R,,,,,23.5369,Natural,CTIO 4m,2,,MJD,True
53358.066000,I,,,,,23.2792,Natural,CTIO 4m,2,,MJD,True
53360.071900,R,,,,,22.8661,Natural,CTIO 4m,2,,MJD,True
53360.101100,I,,,,,22.6604,Natural,CTIO 4m,2,,MJD,True
53383.037200,R,,,,,23.4755,Natural,CTIO 4m,2,,MJD,True
53383.040600,I,,,,,23.2266,Natural,CTIO 4m,2,,MJD,True
53389.046000,I,,,,,22.0610,Natural,CTIO 4m,2,,MJD,True
53616.358772,r',SDSS,1.084e+00,0.548,2.110e+00,23.041,SDSS,SDSS,3,μJy,MJD,True
53616.358772,r',SDSS,9.562E-01,0.455,2.110E+00,23.041,SDSS,SDSS,15,μJy,MJD,True
53616.359601,i',SDSS,1.147E+00,0.599,1.635E+00,23.210,SDSS,SDSS,15,μJy,MJD,True
53616.359601,i',SDSS,1.428e+00,0.783,1.634e+00,23.211,SDSS,SDSS,3,μJy,MJD,True
53616.360430,u',SDSS,1.754E+00,0.647,-2.749E+00,26.468,SDSS,SDSS,15,μJy,MJD,True
53616.360430,u',SDSS,1.982e+00,0.832,-2.816e+00,26.523,SDSS,SDSS,3,μJy,MJD,True
53616.361260,z',SDSS,4.620E+00,0.796,-3.415E+00,23.486,SDSS,SDSS,15,μJy,MJD,True
53616.361260,z',SDSS,4.976e+00,0.831,-3.411e+00,23.491,SDSS,SDSS,3,μJy,MJD,True
53616.362089,g',SDSS,5.596E-01,0.835,3.475E-01,24.550,SDSS,SDSS,15,μJy,MJD,True
53616.362089,g',SDSS,6.514e-01,0.916,3.486e-01,24.552,SDSS,SDSS,3,μJy,MJD,True
53626.335441,r',SDSS,7.796e-01,0.104,8.153e+00,21.614,SDSS,SDSS,3,μJy,MJD,
53626.335441,r',SDSS,5.889E-01,0.078,8.151E+00,21.614,SDSS,SDSS,15,μJy,MJD,
53626.336270,i',SDSS,8.061E-01,0.149,5.731E+00,21.973,SDSS,SDSS,15,μJy,MJD,
53626.336270,i',SDSS,1.173e+00,0.219,5.728e+00,21.974,SDSS,SDSS,3,μJy,MJD,
53626.337099,u',SDSS,1.105E+00,0.888,-8.488E-01,25.436,SDSS,SDSS,15,μJy,MJD,True
53626.337099,u',SDSS,1.440e+00,1.116,-8.696e-01,25.484,SDSS,SDSS,3,μJy,MJD,True
53626.337929,z',SDSS,3.036E+00,0.508,3.750E+00,22.111,SDSS,SDSS,15,μJy,MJD,True
53626.337929,z',SDSS,3.554e+00,0.591,3.745e+00,22.118,SDSS,SDSS,3,μJy,MJD,True
53626.338758,g',SDSS,5.170e-01,0.073,7.660e+00,21.667,SDSS,SDSS,3,μJy,MJD,
53626.338758,g',SDSS,3.952E-01,0.056,7.636E+00,21.667,SDSS,SDSS,15,μJy,MJD,
53628.320501,r',SDSS,1.235e+00,0.132,1.013e+01,21.379,SDSS,SDSS,3,μJy,MJD,
53628.320501,r',SDSS,1.124E+00,0.120,1.013E+01,21.379,SDSS,SDSS,15,μJy,MJD,
53628.321331,i',SDSS,1.144E+00,0.174,7.022E+00,21.757,SDSS,SDSS,15,μJy,MJD,
53628.321331,i',SDSS,1.426e+00,0.220,7.018e+00,21.758,SDSS,SDSS,3,μJy,MJD,
53628.322160,u',SDSS,2.846E+00,0.570,-5.317E+00,27.157,SDSS,SDSS,15,μJy,MJD,True
53628.322160,u',SDSS,2.992e+00,0.668,-5.447e+00,27.214,SDSS,SDSS,3,μJy,MJD,True
53628.322989,z',SDSS,3.830E+00,0.323,1.173E+01,21.159,SDSS,SDSS,15,μJy,MJD,
53628.322989,z',SDSS,4.252e+00,0.369,1.172e+01,21.166,SDSS,SDSS,3,μJy,MJD,True
53628.323819,g',SDSS,1.194e+00,0.194,6.761e+00,21.802,SDSS,SDSS,3,μJy,MJD,
53628.323819,g',SDSS,1.147E+00,0.184,6.740E+00,21.802,SDSS,SDSS,15,μJy,MJD,
53635.329100,r',SDSS,9.635e-01,0.117,8.919e+00,21.517,SDSS,SDSS,3,μJy,MJD,
53635.329100,r',SDSS,8.169E-01,0.099,8.917E+00,21.517,SDSS,SDSS,15,μJy,MJD,
53635.329929,i',SDSS,9.687E-01,0.125,8.315E+00,21.576,SDSS,SDSS,15,μJy,MJD,
53635.329929,i',SDSS,1.290e+00,0.168,8.311e+00,21.577,SDSS,SDSS,3,μJy,MJD,
