time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53616.352676,r',SDSS,1.205e+00,0.546,2.411e+00,22.906,SDSS,SDSS,2,μJy,MJD,True
53616.352676,r',SDSS,1.091E+00,0.464,2.402E+00,22.910,SDSS,SDSS,15,μJy,MJD,True
53616.353505,i',SDSS,1.659e+00,1.110,7.480e-01,23.761,SDSS,SDSS,2,μJy,MJD,True
53616.353505,i',SDSS,1.424E+00,1.040,7.470E-01,23.762,SDSS,SDSS,15,μJy,MJD,True
53616.354335,u',SDSS,2.082E+00,1.738,-7.645E-01,25.367,SDSS,SDSS,15,μJy,MJD,True
53616.354335,u',SDSS,2.278e+00,1.598,-7.873e-01,25.417,SDSS,SDSS,2,μJy,MJD,True
53616.355164,z',SDSS,5.175E+00,1.061,-2.478E-02,22.832,SDSS,SDSS,15,μJy,MJD,True
53616.355164,z',SDSS,5.495e+00,0.985,-2.460e-02,22.838,SDSS,SDSS,2,μJy,MJD,True
53616.355993,g',SDSS,9.048E-01,1.089,-6.365E-01,26.068,SDSS,SDSS,15,μJy,MJD,True
53616.355993,g',SDSS,9.642e-01,1.162,-6.398e-01,26.076,SDSS,SDSS,2,μJy,MJD,True
53622.366174,r',SDSS,1.233E+00,0.680,-1.766E+00,26.387,SDSS,SDSS,15,μJy,MJD,True
53622.366174,r',SDSS,1.335e+00,0.818,-1.773e+00,26.391,SDSS,SDSS,2,μJy,MJD,True
53622.367003,i',SDSS,1.594E+00,1.103,-8.993E-01,25.070,SDSS,SDSS,15,μJy,MJD,True
53622.367003,i',SDSS,1.807e+00,1.166,-9.005e-01,25.071,SDSS,SDSS,2,μJy,MJD,True
53622.367833,u',SDSS,2.453e+00,0.685,4.330e+00,22.361,SDSS,SDSS,2,μJy,MJD,True
53622.367833,u',SDSS,2.272E+00,0.569,4.205E+00,22.361,SDSS,SDSS,15,μJy,MJD,True
53622.368662,z',SDSS,5.276E+00,1.048,-1.356E+00,23.102,SDSS,SDSS,15,μJy,MJD,True
53622.368662,z',SDSS,5.590e+00,0.987,-1.346e+00,23.106,SDSS,SDSS,2,μJy,MJD,True
