time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53691.5,,,,,,17.7,,,"24,27",,MJD,
53692.99286,V,,,0.029,,17.742,,,"20,28",,MJD,
53692.99882,U,,,0.156,,17.448,,,"20,28",,MJD,
53693.00259,B,,,0.024,,17.818,,,"20,28",,MJD,
53694.57,B,,,0.055,,17.218,,kait3,9,,MJD,
53694.57,I,,,0.092,,17.016,,kait3,9,,MJD,
53694.57,R,,,0.150,,17.112,,kait3,9,,MJD,
53694.57,V,,,0.101,,17.201,,kait3,9,,MJD,
53695.00664,V,,,0.066,,17.004,,,"20,28",,MJD,
53695.01264,U,,,0.147,,16.327,,,"20,28",,MJD,
53695.0164,B,,,0.056,,16.961,,,"20,28",,MJD,
53695.35300,B,,,0.012,,16.973,CSP,,17,,MJD,
53695.35300,V,,,0.009,,16.953,CSP,,17,,MJD,
53695.35300,g,,,0.009,,16.861,CSP,,17,,MJD,
53695.35300,i,,,0.013,,17.097,CSP,,17,,MJD,
53695.35300,r,,,0.009,,16.953,CSP,,17,,MJD,
53695.35300,u,,,0.037,,17.125,CSP,,17,,MJD,
53695.99906,V,,,0.072,,16.677,,,"20,28",,MJD,
53696.00504,U,,,0.149,,15.948,,,"20,28",,MJD,
53696.00882,B,,,0.051,,16.643,,,"20,28",,MJD,
53696.34294,J,,,0.021,,16.657,CSP,,17,,MJD,
53696.34294,Y,,,0.015,,16.704,CSP,,17,,MJD,
53696.50,B,,,0.042,,16.540,,kait3,9,,MJD,
53696.50,I,,,0.131,,16.448,,kait3,9,,MJD,
53696.50,R,,,0.081,,16.415,,kait3,9,,MJD,
53696.50,V,,,0.058,,16.568,,kait3,9,,MJD,
53697.37230,H,,,0.053,,16.494,CSP,,17,,MJD,
53698.51,B,,,0.039,,16.146,,kait3,9,,MJD,
53698.51,I,,,0.222,,15.756,,kait3,9,,MJD,
53698.51,R,,,0.075,,15.944,,kait3,9,,MJD,
53698.51,V,,,0.056,,16.179,,kait3,9,,MJD,
53700.58,B,,,0.027,,15.879,,kait3,9,,MJD,
53700.58,I,,,0.051,,15.803,,kait3,9,,MJD,
53700.58,R,,,0.068,,15.768,,kait3,9,,MJD,
53700.58,V,,,0.048,,15.898,,kait3,9,,MJD,
53701.33839,H,,,0.028,,16.205,CSP,,17,,MJD,
53701.33839,J,,,0.016,,16.095,CSP,,17,,MJD,
53701.33839,Y,,,0.010,,16.139,CSP,,17,,MJD,
53702.32212,B,,,0.007,,15.727,CSP,,17,,MJD,
53702.32212,V,,,0.006,,15.760,CSP,,17,,MJD,
53702.32212,g,,,0.006,,15.661,CSP,,17,,MJD,
53702.32212,i,,,0.007,,16.170,CSP,,17,,MJD,
53702.32212,r,,,0.006,,15.787,CSP,,17,,MJD,
53702.32212,u,,,0.012,,16.062,CSP,,17,,MJD,
53703.34896,B,,,0.008,,15.697,CSP,,17,,MJD,
53703.34896,V,,,0.006,,15.718,CSP,,17,,MJD,
53703.34896,g,,,0.006,,15.624,CSP,,17,,MJD,
53703.34896,i,,,0.009,,16.209,CSP,,17,,MJD,
53703.34896,r,,,0.006,,15.749,CSP,,17,,MJD,
53703.34896,u,,,0.013,,16.061,CSP,,17,,MJD,
53704.37206,Y,,,0.021,,16.305,CSP,,17,,MJD,
53704.9709,V,,,0.017,,15.732,,,"20,28",,MJD,
