time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53622.346562,r',SDSS,9.682e-01,1.035,-1.914e-01,25.040,SDSS,SDSS,2,μJy,MJD,True
53622.346562,r',SDSS,8.225E-01,1.005,-1.925E-01,25.041,SDSS,SDSS,15,μJy,MJD,True
53622.347391,i',SDSS,1.304e+00,0.963,-1.978e-01,24.528,SDSS,SDSS,2,μJy,MJD,True
53622.347391,i',SDSS,9.873E-01,0.824,-1.987E-01,24.529,SDSS,SDSS,15,μJy,MJD,True
53622.348221,u',SDSS,1.647E+00,1.276,-9.261E-01,25.497,SDSS,SDSS,15,μJy,MJD,True
53622.348221,u',SDSS,1.888e+00,1.374,-9.245e-01,25.527,SDSS,SDSS,2,μJy,MJD,True
53622.349050,z',SDSS,4.636E+00,0.542,-7.630E+00,24.088,SDSS,SDSS,15,μJy,MJD,True
53622.349050,z',SDSS,4.991e+00,0.610,-7.740e+00,24.107,SDSS,SDSS,2,μJy,MJD,True
53622.349879,g',SDSS,6.168E-01,1.043,5.979E-02,25.013,SDSS,SDSS,15,μJy,MJD,True
53622.349879,g',SDSS,7.011e-01,1.028,5.923e-02,25.018,SDSS,SDSS,2,μJy,MJD,True
53627.303650,r',SDSS,9.980E-01,0.716,1.240E+00,23.548,SDSS,SDSS,15,μJy,MJD,True
53627.303650,r',SDSS,1.121e+00,0.863,1.233e+00,23.553,SDSS,SDSS,2,μJy,MJD,True
53627.304479,i',SDSS,1.370e+00,1.006,-6.035e-02,24.413,SDSS,SDSS,2,μJy,MJD,True
53627.304479,i',SDSS,1.073E+00,0.905,-6.063E-02,24.413,SDSS,SDSS,15,μJy,MJD,True
53627.305308,u',SDSS,2.383E+00,0.682,3.645E+00,22.511,SDSS,SDSS,15,μJy,MJD,True
53627.305308,u',SDSS,2.556e+00,0.851,3.639e+00,22.544,SDSS,SDSS,2,μJy,MJD,True
53627.306138,z',SDSS,3.486E+00,0.712,4.684E-01,22.731,SDSS,SDSS,15,μJy,MJD,True
53627.306138,z',SDSS,3.945e+00,0.747,4.752e-01,22.735,SDSS,SDSS,2,μJy,MJD,True
53627.306967,g',SDSS,8.950E-01,1.518,-3.276E-02,25.170,SDSS,SDSS,15,μJy,MJD,True
53627.306967,g',SDSS,9.551e-01,1.293,-3.245e-02,25.173,SDSS,SDSS,2,μJy,MJD,True
53634.296314,r',SDSS,1.459e+00,1.402,-4.923e-02,24.864,SDSS,SDSS,2,μJy,MJD,True
53634.296314,r',SDSS,1.367E+00,1.708,-4.952E-02,24.864,SDSS,SDSS,15,μJy,MJD,True
53634.297143,i',SDSS,1.660e+00,1.094,-8.510e-01,25.036,SDSS,SDSS,2,μJy,MJD,True
53634.297143,i',SDSS,1.425E+00,1.002,-8.549E-01,25.039,SDSS,SDSS,15,μJy,MJD,True
53634.297972,u',SDSS,4.454E+00,2.516,1.609E+00,23.320,SDSS,SDSS,15,μJy,MJD,True
53634.297972,u',SDSS,4.549e+00,2.290,1.606e+00,23.352,SDSS,SDSS,2,μJy,MJD,True
53634.298801,z',SDSS,4.925E+00,0.663,-6.084E+00,23.894,SDSS,SDSS,15,μJy,MJD,True
53634.298801,z',SDSS,5.260e+00,0.733,-6.172e+00,23.912,SDSS,SDSS,2,μJy,MJD,True
53634.299631,g',SDSS,1.880E+00,1.441,1.264E+00,23.558,SDSS,SDSS,15,μJy,MJD,True
53634.299631,g',SDSS,1.909e+00,1.734,1.252e+00,23.571,SDSS,SDSS,2,μJy,MJD,True
53640.301722,r',SDSS,9.466e-01,1.005,-2.853e-01,25.153,SDSS,SDSS,2,μJy,MJD,True
53640.301722,r',SDSS,7.969E-01,0.947,-2.870E-01,25.155,SDSS,SDSS,15,μJy,MJD,True
53640.304210,z',SDSS,1.028e+01,0.538,2.193e+01,20.522,SDSS,SDSS,2,μJy,MJD,True
53640.304210,z',SDSS,1.011E+01,0.493,2.162E+01,20.531,SDSS,SDSS,15,μJy,MJD,True
53640.305039,g',SDSS,7.820E-01,0.430,1.868E+00,23.167,SDSS,SDSS,15,μJy,MJD,True
53640.305039,g',SDSS,8.501e-01,0.494,1.850e+00,23.180,SDSS,SDSS,2,μJy,MJD,True
53655.273965,r',SDSS,1.630e+00,0.323,-5.541e+00,27.575,SDSS,SDSS,2,μJy,MJD,True
53655.273965,r',SDSS,1.548E+00,0.298,-5.574E+00,27.581,SDSS,SDSS,15,μJy,MJD,True
53655.274795,i',SDSS,2.092e+00,1.096,-1.857e+00,25.625,SDSS,SDSS,2,μJy,MJD,True
53655.274795,i',SDSS,1.911E+00,0.916,-1.865E+00,25.629,SDSS,SDSS,15,μJy,MJD,True
53655.275624,u',SDSS,3.319E+00,2.950,6.211E-01,24.026,SDSS,SDSS,15,μJy,MJD,True
53655.275624,u',SDSS,3.445e+00,2.050,6.200e-01,24.058,SDSS,SDSS,2,μJy,MJD,True
53655.276453,z',SDSS,5.063E+00,0.620,-7.111E+00,24.026,SDSS,SDSS,15,μJy,MJD,True
53655.276453,z',SDSS,5.390e+00,0.692,-7.214e+00,24.044,SDSS,SDSS,2,μJy,MJD,True
53655.277283,g',SDSS,1.221e+00,1.507,-2.459e-01,25.526,SDSS,SDSS,2,μJy,MJD,True
53655.277283,g',SDSS,1.175E+00,1.861,-2.482E-01,25.526,SDSS,SDSS,15,μJy,MJD,True
53664.298471,r',SDSS,1.160e+00,1.195,4.454e-02,24.746,SDSS,SDSS,2,μJy,MJD,True
53664.298471,r',SDSS,1.042E+00,1.302,4.480E-02,24.746,SDSS,SDSS,15,μJy,MJD,True
53664.299301,i',SDSS,1.355e+00,0.907,-9.054e-01,25.074,SDSS,SDSS,2,μJy,MJD,True
53664.299301,i',SDSS,1.054E+00,0.727,-9.095E-01,25.077,SDSS,SDSS,15,μJy,MJD,True
53664.300130,u',SDSS,3.066E+00,0.757,4.270E+00,22.345,SDSS,SDSS,15,μJy,MJD,True
53664.300130,u',SDSS,3.202e+00,0.959,4.263e+00,22.378,SDSS,SDSS,2,μJy,MJD,True
53664.300959,z',SDSS,5.034e+00,0.770,4.906e+00,21.933,SDSS,SDSS,2,μJy,MJD,True
53664.300959,z',SDSS,4.683E+00,0.709,4.836E+00,21.938,SDSS,SDSS,15,μJy,MJD,True
53669.257351,r',SDSS,8.439e-01,0.935,-6.913e-02,24.889,SDSS,SDSS,2,μJy,MJD,True
53669.257351,r',SDSS,6.717E-01,0.838,-6.954E-02,24.889,SDSS,SDSS,15,μJy,MJD,True
53669.258180,i',SDSS,1.172e+00,0.472,-2.481e+00,25.895,SDSS,SDSS,2,μJy,MJD,True
53669.258180,i',SDSS,8.059E-01,0.312,-2.492E+00,25.899,SDSS,SDSS,15,μJy,MJD,True
53669.259010,u',SDSS,1.141E+00,0.647,1.600E+00,23.325,SDSS,SDSS,15,μJy,MJD,True
53669.259010,u',SDSS,1.468e+00,0.905,1.597e+00,23.357,SDSS,SDSS,2,μJy,MJD,True
53669.259839,z',SDSS,3.096E+00,0.632,4.978E-01,22.725,SDSS,SDSS,15,μJy,MJD,True
53669.259839,z',SDSS,3.606e+00,0.690,5.050e-01,22.729,SDSS,SDSS,2,μJy,MJD,True
53669.260668,g',SDSS,5.083e-01,0.723,-3.745e-01,25.723,SDSS,SDSS,2,μJy,MJD,True
53669.260668,g',SDSS,3.838E-01,0.561,-3.781E-01,25.724,SDSS,SDSS,15,μJy,MJD,True
53671.341949,r',SDSS,8.949E-01,0.458,1.936E+00,23.127,SDSS,SDSS,15,μJy,MJD,True
53671.341949,r',SDSS,1.030e+00,0.560,1.925e+00,23.133,SDSS,SDSS,2,μJy,MJD,True
53671.342778,i',SDSS,1.009E+00,0.551,1.517E+00,23.273,SDSS,SDSS,15,μJy,MJD,True
53671.342778,i',SDSS,1.320e+00,0.749,1.510e+00,23.277,SDSS,SDSS,2,μJy,MJD,True
