time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53616.360389,r',SDSS,1.912E+00,0.700,2.835E+00,22.739,SDSS,SDSS,12,μJy,MJD,True
53616.360389,r',SDSS,1.979e+00,0.838,2.833e+00,22.740,SDSS,SDSS,2,μJy,MJD,True
53616.361218,i',SDSS,2.526E+00,0.366,-7.381E+00,27.020,SDSS,SDSS,12,μJy,MJD,True
53616.361218,i',SDSS,2.666e+00,0.403,-7.401e+00,27.023,SDSS,SDSS,2,μJy,MJD,True
53616.362048,u',SDSS,2.489E+00,2.393,-4.112E-01,25.049,SDSS,SDSS,12,μJy,MJD,True
53616.362048,u',SDSS,2.655e+00,1.788,-4.219e-01,25.090,SDSS,SDSS,2,μJy,MJD,True
53616.362877,z',SDSS,8.863e+00,1.090,8.280e+00,21.498,SDSS,SDSS,2,μJy,MJD,True
53616.362877,z',SDSS,8.668E+00,0.962,8.225E+00,21.498,SDSS,SDSS,12,μJy,MJD,True
53616.363706,g',SDSS,1.277E+00,1.922,-3.343E-01,25.659,SDSS,SDSS,12,μJy,MJD,True
53616.363706,g',SDSS,1.320e+00,1.573,-3.351e-01,25.664,SDSS,SDSS,2,μJy,MJD,True
53626.337478,r',SDSS,1.616E+00,1.117,1.310E+00,23.499,SDSS,SDSS,12,μJy,MJD,True
53626.337478,r',SDSS,1.695e+00,1.295,1.309e+00,23.500,SDSS,SDSS,2,μJy,MJD,True
53626.338307,i',SDSS,2.089E+00,0.327,-6.816E+00,26.935,SDSS,SDSS,12,μJy,MJD,True
53626.338307,i',SDSS,2.256e+00,0.366,-6.834e+00,26.938,SDSS,SDSS,2,μJy,MJD,True
53626.339136,u',SDSS,1.675E+00,1.698,2.024E-01,24.427,SDSS,SDSS,12,μJy,MJD,True
53626.339136,u',SDSS,1.913e+00,1.472,2.077e-01,24.453,SDSS,SDSS,2,μJy,MJD,True
53626.339966,z',SDSS,6.693e+00,0.845,7.576e+00,21.578,SDSS,SDSS,2,μJy,MJD,True
53626.339966,z',SDSS,6.433E+00,0.759,7.526E+00,21.578,SDSS,SDSS,12,μJy,MJD,True
53626.340795,g',SDSS,1.082E+00,1.323,-6.159E-01,26.043,SDSS,SDSS,12,μJy,MJD,True
53626.340795,g',SDSS,1.132e+00,1.341,-6.175e-01,26.049,SDSS,SDSS,2,μJy,MJD,True
53628.322132,r',SDSS,1.943E+00,1.151,1.614E+00,23.304,SDSS,SDSS,12,μJy,MJD,True
53628.322132,r',SDSS,2.009e+00,1.400,1.613e+00,23.305,SDSS,SDSS,2,μJy,MJD,True
53628.322961,i',SDSS,2.288E+00,0.877,-2.523E+00,25.911,SDSS,SDSS,12,μJy,MJD,True
53628.322961,i',SDSS,2.441e+00,1.084,-2.530e+00,25.914,SDSS,SDSS,2,μJy,MJD,True
53628.323791,u',SDSS,3.005E+00,1.431,-2.023E+00,26.164,SDSS,SDSS,12,μJy,MJD,True
53628.323791,u',SDSS,3.144e+00,1.749,-2.076e+00,26.220,SDSS,SDSS,2,μJy,MJD,True
53628.324620,z',SDSS,7.021E+00,1.116,-4.315E+00,23.635,SDSS,SDSS,12,μJy,MJD,True
53628.324620,z',SDSS,7.260e+00,1.115,-4.344e+00,23.645,SDSS,SDSS,2,μJy,MJD,True
53628.325449,g',SDSS,1.473E+00,0.731,-2.093E+00,27.179,SDSS,SDSS,12,μJy,MJD,True
53628.325449,g',SDSS,1.510e+00,0.875,-2.098e+00,27.185,SDSS,SDSS,2,μJy,MJD,True
53635.330739,r',SDSS,1.603E+00,0.613,2.704E+00,22.788,SDSS,SDSS,12,μJy,MJD,True
53635.330739,r',SDSS,1.682e+00,0.718,2.702e+00,22.789,SDSS,SDSS,2,μJy,MJD,True
53635.331569,i',SDSS,2.133e+00,0.458,5.179e+00,22.080,SDSS,SDSS,2,μJy,MJD,True
53635.331569,i',SDSS,1.956E+00,0.399,5.165E+00,22.083,SDSS,SDSS,12,μJy,MJD,True
53635.332398,u',SDSS,2.336E+00,1.177,1.880E+00,23.175,SDSS,SDSS,12,μJy,MJD,True
53635.332398,u',SDSS,2.512e+00,1.469,1.929e+00,23.181,SDSS,SDSS,2,μJy,MJD,True
53635.333227,z',SDSS,6.166E+00,1.172,-2.142E+00,23.255,SDSS,SDSS,12,μJy,MJD,True
53635.333227,z',SDSS,6.437e+00,1.086,-2.156e+00,23.264,SDSS,SDSS,2,μJy,MJD,True
53635.334056,g',SDSS,1.255E+00,1.003,1.199E+00,23.609,SDSS,SDSS,12,μJy,MJD,True
53635.334056,g',SDSS,1.299e+00,1.209,1.202e+00,23.610,SDSS,SDSS,2,μJy,MJD,True
53637.324146,r',SDSS,1.984E+00,0.717,2.877E+00,22.724,SDSS,SDSS,12,μJy,MJD,True
53637.324146,r',SDSS,2.049e+00,0.862,2.875e+00,22.725,SDSS,SDSS,2,μJy,MJD,True
53637.324976,i',SDSS,2.532E+00,0.664,-3.936E+00,26.357,SDSS,SDSS,12,μJy,MJD,True
53637.324976,i',SDSS,2.671e+00,0.798,-3.947e+00,26.360,SDSS,SDSS,2,μJy,MJD,True
53637.325805,u',SDSS,3.103E+00,2.682,-6.869E-01,25.301,SDSS,SDSS,12,μJy,MJD,True
53637.325805,u',SDSS,3.238e+00,1.979,-7.048e-01,25.347,SDSS,SDSS,2,μJy,MJD,True
53637.326634,z',SDSS,8.455e+00,0.624,1.517e+01,20.906,SDSS,SDSS,2,μJy,MJD,True
53637.326634,z',SDSS,8.251E+00,0.561,1.507E+01,20.907,SDSS,SDSS,12,μJy,MJD,True
53637.327464,g',SDSS,1.349E+00,0.520,2.743E+00,22.766,SDSS,SDSS,12,μJy,MJD,True
53637.327464,g',SDSS,1.390e+00,0.581,2.750e+00,22.767,SDSS,SDSS,2,μJy,MJD,True
53639.369529,r',SDSS,1.618e+00,0.605,-3.033e+00,26.935,SDSS,SDSS,2,μJy,MJD,True
53639.369529,r',SDSS,1.535E+00,0.528,-3.035E+00,26.936,SDSS,SDSS,12,μJy,MJD,True
53639.370358,i',SDSS,2.083e+00,0.854,2.684e+00,22.753,SDSS,SDSS,2,μJy,MJD,True
53639.370358,i',SDSS,1.901E+00,0.695,2.677E+00,22.755,SDSS,SDSS,12,μJy,MJD,True
53639.371188,u',SDSS,1.798E+00,0.484,3.893E+00,22.442,SDSS,SDSS,12,μJy,MJD,True
53639.371188,u',SDSS,2.021e+00,0.590,3.994e+00,22.446,SDSS,SDSS,2,μJy,MJD,True
53639.372017,z',SDSS,5.938E+00,0.404,-1.505E+01,24.746,SDSS,SDSS,12,μJy,MJD,True
53639.372017,z',SDSS,6.219e+00,0.442,-1.515e+01,24.759,SDSS,SDSS,2,μJy,MJD,True
53639.372846,g',SDSS,1.056E+00,1.348,-5.607E-01,25.974,SDSS,SDSS,12,μJy,MJD,True
53639.372846,g',SDSS,1.107e+00,1.337,-5.621e-01,25.980,SDSS,SDSS,2,μJy,MJD,True
53641.368742,r',SDSS,1.533E+00,0.920,1.588E+00,23.320,SDSS,SDSS,12,μJy,MJD,True
53641.368742,r',SDSS,1.616e+00,1.113,1.587e+00,23.321,SDSS,SDSS,2,μJy,MJD,True
53641.369571,i',SDSS,2.083e+00,0.329,6.969e+00,21.765,SDSS,SDSS,2,μJy,MJD,True
53641.369571,i',SDSS,1.901E+00,0.292,6.950E+00,21.768,SDSS,SDSS,12,μJy,MJD,True
53641.370400,u',SDSS,1.657E+00,0.954,1.565E+00,23.345,SDSS,SDSS,12,μJy,MJD,True
53641.370400,u',SDSS,1.897e+00,1.204,1.606e+00,23.353,SDSS,SDSS,2,μJy,MJD,True
53641.371229,z',SDSS,5.765E+00,1.178,4.342E-01,22.738,SDSS,SDSS,12,μJy,MJD,True
53641.371229,z',SDSS,6.054e+00,1.062,4.371e-01,22.743,SDSS,SDSS,2,μJy,MJD,True
53641.372059,g',SDSS,1.012E+00,0.946,-9.700E-01,26.422,SDSS,SDSS,12,μJy,MJD,True
53641.372059,g',SDSS,1.065e+00,1.099,-9.724e-01,26.428,SDSS,SDSS,2,μJy,MJD,True
53644.316514,r',SDSS,1.755E+00,1.514,9.122E-01,23.806,SDSS,SDSS,12,μJy,MJD,True
53644.316514,r',SDSS,1.828e+00,1.513,9.115e-01,23.807,SDSS,SDSS,2,μJy,MJD,True
53644.317343,i',SDSS,2.235E+00,0.338,-7.063E+00,26.973,SDSS,SDSS,12,μJy,MJD,True
53644.317343,i',SDSS,2.392e+00,0.375,-7.082e+00,26.976,SDSS,SDSS,2,μJy,MJD,True
53644.318172,u',SDSS,1.886E+00,1.684,-6.095E-01,25.233,SDSS,SDSS,12,μJy,MJD,True
53644.318172,u',SDSS,2.100e+00,1.532,-6.254e-01,25.278,SDSS,SDSS,2,μJy,MJD,True
53644.319002,z',SDSS,6.765E+00,1.192,3.151E+00,22.214,SDSS,SDSS,12,μJy,MJD,True
53644.319002,z',SDSS,7.013e+00,1.131,3.172e+00,22.216,SDSS,SDSS,2,μJy,MJD,True
53644.319831,g',SDSS,1.086E+00,1.220,-7.251E-01,26.171,SDSS,SDSS,12,μJy,MJD,True
53644.319831,g',SDSS,1.136e+00,1.300,-7.269e-01,26.177,SDSS,SDSS,2,μJy,MJD,True
53654.351289,r',SDSS,1.523E+00,0.727,2.102E+00,23.045,SDSS,SDSS,12,μJy,MJD,True
53654.351289,r',SDSS,1.606e+00,0.877,2.100e+00,23.046,SDSS,SDSS,2,μJy,MJD,True
53654.352119,i',SDSS,2.189e+00,0.125,1.905e+01,20.681,SDSS,SDSS,2,μJy,MJD,True
53654.352119,i',SDSS,2.017E+00,0.115,1.900E+01,20.684,SDSS,SDSS,12,μJy,MJD,True
53654.352948,u',SDSS,1.663E+00,0.806,1.978E+00,23.127,SDSS,SDSS,12,μJy,MJD,True
53654.352948,u',SDSS,1.902e+00,1.056,2.030e+00,23.133,SDSS,SDSS,2,μJy,MJD,True
53654.353777,z',SDSS,6.410E+00,1.289,1.055E+00,22.612,SDSS,SDSS,12,μJy,MJD,True
53654.353777,z',SDSS,6.671e+00,1.138,1.062e+00,22.616,SDSS,SDSS,2,μJy,MJD,True
53654.354606,g',SDSS,1.014E+00,0.715,-1.400E+00,26.771,SDSS,SDSS,12,μJy,MJD,True
53654.354606,g',SDSS,1.067e+00,0.847,-1.404e+00,26.777,SDSS,SDSS,2,μJy,MJD,True
53663.312084,r',SDSS,1.664E+00,0.089,2.028E+01,20.627,SDSS,SDSS,12,μJy,MJD,True
53663.312084,r',SDSS,1.741e+00,0.093,2.027e+01,20.628,SDSS,SDSS,2,μJy,MJD,True
53663.312914,i',SDSS,2.155e+00,0.182,1.292e+01,21.101,SDSS,SDSS,2,μJy,MJD,True
53663.312914,i',SDSS,1.980E+00,0.166,1.289E+01,21.104,SDSS,SDSS,12,μJy,MJD,True
53663.313743,u',SDSS,2.650E+00,1.153,2.263E+00,22.996,SDSS,SDSS,12,μJy,MJD,True
53663.313743,u',SDSS,2.806e+00,1.505,2.322e+00,23.002,SDSS,SDSS,2,μJy,MJD,True
53663.314572,z',SDSS,6.116e+00,0.817,6.762e+00,21.677,SDSS,SDSS,2,μJy,MJD,True
53663.314572,z',SDSS,5.830E+00,0.740,6.717E+00,21.677,SDSS,SDSS,12,μJy,MJD,True
