time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53616.423780,r',SDSS,8.959e-01,0.948,3.694e-01,24.353,SDSS,SDSS,2,μJy,MJD,True
53616.423780,r',SDSS,7.360E-01,0.848,3.682E-01,24.354,SDSS,SDSS,11,μJy,MJD,True
53616.424610,i',SDSS,1.308e+00,0.941,5.083e-01,23.943,SDSS,SDSS,2,μJy,MJD,True
53616.424610,i',SDSS,9.929E-01,0.780,5.071E-01,23.944,SDSS,SDSS,11,μJy,MJD,True
53616.426268,z',SDSS,3.979E+00,0.762,-2.027E+00,23.233,SDSS,SDSS,11,μJy,MJD,True
53616.426268,z',SDSS,4.387e+00,0.790,-2.022e+00,23.238,SDSS,SDSS,2,μJy,MJD,True
53616.427098,g',SDSS,4.212E-01,0.638,-3.244E-01,25.644,SDSS,SDSS,11,μJy,MJD,True
53616.427098,g',SDSS,5.371e-01,0.778,-3.285e-01,25.654,SDSS,SDSS,2,μJy,MJD,True
53622.437464,r',SDSS,6.663e-01,0.693,5.442e-01,24.159,SDSS,SDSS,2,μJy,MJD,True
53622.437464,r',SDSS,4.278E-01,0.454,5.424E-01,24.161,SDSS,SDSS,11,μJy,MJD,True
53622.438293,i',SDSS,1.071e+00,0.813,2.882e-01,24.121,SDSS,SDSS,2,μJy,MJD,True
53622.438293,i',SDSS,6.492E-01,0.535,2.875E-01,24.121,SDSS,SDSS,11,μJy,MJD,True
53622.439122,u',SDSS,9.935E-01,0.720,1.067E+00,23.667,SDSS,SDSS,11,μJy,MJD,True
53622.439122,u',SDSS,1.357e+00,1.001,1.105e+00,23.671,SDSS,SDSS,2,μJy,MJD,True
53622.439952,z',SDSS,2.831E+00,0.306,8.536E+00,21.464,SDSS,SDSS,11,μJy,MJD,
53622.439952,z',SDSS,3.381e+00,0.373,8.515e+00,21.472,SDSS,SDSS,2,μJy,MJD,True
53622.440781,g',SDSS,2.849E-01,0.433,-3.191E-01,25.636,SDSS,SDSS,11,μJy,MJD,True
53622.440781,g',SDSS,4.385e-01,0.647,-3.231e-01,25.646,SDSS,SDSS,2,μJy,MJD,True
53626.401560,i',SDSS,1.408E+00,0.598,-2.209E+00,25.784,SDSS,SDSS,11,μJy,MJD,True
53626.401560,i',SDSS,1.645e+00,0.756,-2.214e+00,25.786,SDSS,SDSS,2,μJy,MJD,True
53627.394769,r',SDSS,7.233e-01,0.683,7.735e-01,23.931,SDSS,SDSS,2,μJy,MJD,True
53627.394769,r',SDSS,5.120E-01,0.479,7.709E-01,23.933,SDSS,SDSS,11,μJy,MJD,True
53627.395598,i',SDSS,6.746E-01,0.543,-4.082E-01,24.701,SDSS,SDSS,11,μJy,MJD,True
53627.395598,i',SDSS,1.086e+00,0.813,-4.092e-01,24.702,SDSS,SDSS,2,μJy,MJD,True
