time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53736.82707,V,,,0.031,,17.897,,,"7,15",,MJD,
53736.83274,B,,,0.03,,18.299,,,"7,15",,MJD,
53736.83579,U,,,0.069,,18.376,,,"7,15",,MJD,
53736.8394,U,,,0.081,,18.404,,,"7,15",,MJD,
53741.6017,V,,,0.014,,16.919,,,"7,15",,MJD,
53741.60738,B,,,0.015,,17.259,,,"7,15",,MJD,
53741.61042,U,,,0.034,,17.332,,,"7,15",,MJD,
53741.61404,U,,,0.032,,17.277,,,"7,15",,MJD,
53741.9330,UVW2,,,0.191,,20.120,Vega,Swift,2,,MJD,
53743.61515,V,,,0.024,,16.766,,,"7,15",,MJD,
53743.62082,B,,,0.024,,17.151,,,"7,15",,MJD,
53743.62385,U,,,0.04,,17.341,,,"7,15",,MJD,
53743.6275,U,,,0.049,,17.317,,,"7,15",,MJD,
53744.75166,V,,,0.017,,16.653,,,"7,15",,MJD,
53745.59382,V,,,0.021,,16.669,,,"7,15",,MJD,
53745.59951,B,,,0.019,,17.13,,,"7,15",,MJD,
53745.6062,U,,,0.091,,17.581,,,"7,15",,MJD,
53746.59602,U,,,0.151,,17.773,,,"7,15",,MJD,
53747.2327,UVW2,,,0.289,,20.654,Vega,Swift,2,,MJD,
53747.2377,V,,,0.076,,16.573,Vega,Swift,2,,MJD,
53747.2408,UVW1,,,0.155,,19.164,Vega,Swift,2,,MJD,
53747.2438,U,,,0.089,,17.746,Vega,Swift,2,,MJD,
53747.2458,B,,,0.070,,17.183,Vega,Swift,2,,MJD,
53749.62631,V,,,0.026,,16.721,,,"7,15",,MJD,
53751.79205,V,,,0.02,,16.824,,,"7,15",,MJD,
53752.63657,V,,,0.019,,16.924,,,"7,15",,MJD,
53752.64223,B,,,0.022,,18.022,,,"7,15",,MJD,
53752.64892,U,,,0.15,,18.971,,,"7,15",,MJD,
53753.66545,V,,,0.022,,17.084,,,"7,15",,MJD,
53753.67111,B,,,0.029,,18.236,,,"7,15",,MJD,
53753.67413,U,,,0.182,,19.117,,,"7,15",,MJD,
53763.72689,V,,,0.028,,18.103,,,"7,15",,MJD,
53763.73256,B,,,0.085,,19.429,,,"7,15",,MJD,
53764.69499,V,,,0.027,,18.251,,,"7,15",,MJD,
53764.70065,B,,,0.098,,19.661,,,"7,15",,MJD,
53765.72495,V,,,0.03,,18.282,,,"7,15",,MJD,
53765.73061,B,,,0.091,,19.533,,,"7,15",,MJD,
53767.73579,V,,,0.035,,18.41,,,"7,15",,MJD,
53767.74144,B,,,0.089,,19.788,,,"7,15",,MJD,
53769.9157,UVW1,,,,,20.573,Vega,Swift,2,,MJD,True
53769.9294,UVW2,,,,,21.138,Vega,Swift,2,,MJD,True
53769.9378,UVM2,,,,,20.840,Vega,Swift,2,,MJD,True
53773.71444,V,,,0.06,,18.787,,,"7,15",,MJD,
53776.67433,V,,,0.048,,18.861,,,"7,15",,MJD,
53778.68419,V,,,0.048,,18.911,,,"7,15",,MJD,
53779.64547,V,,,0.083,,18.988,,,"7,15",,MJD,
53785.67417,V,,,0.053,,19.167,,,"7,15",,MJD,
53785.68461,B,,,0.132,,20.214,,,"7,15",,MJD,
53786.63645,V,,,0.066,,19.256,,,"7,15",,MJD,
53786.6421,B,,,0.139,,20.246,,,"7,15",,MJD,
53793.65603,B,,,0.282,,20.481,,,"7,15",,MJD,
53797.67853,V,,,0.116,,19.645,,,"7,15",,MJD,
53797.68419,B,,,0.295,,20.142,,,"7,15",,MJD,
53802.6873,V,,,0.317,,19.835,,,"7,15",,MJD,
53816.63495,V,,,0.162,,20.186,,,"7,15",,MJD,
54294.8439,UVW1,,,,,20.319,Vega,Swift,2,,MJD,True
54294.8449,U,,,,,20.001,Vega,Swift,2,,MJD,True
54294.8456,B,,,,,20.245,Vega,Swift,2,,MJD,True
54294.8475,UVW2,,,,,20.956,Vega,Swift,2,,MJD,True
54294.8490,V,,,,,19.184,Vega,Swift,2,,MJD,True
54294.8504,UVM2,,,,,20.518,Vega,Swift,2,,MJD,True
54440.8191,UVW1,,,,,20.391,Vega,Swift,2,,MJD,True
54440.8205,U,,,,,20.114,Vega,Swift,2,,MJD,True
54440.8214,B,,,,,20.346,Vega,Swift,2,,MJD,True
54440.8232,UVW2,,,,,21.027,Vega,Swift,2,,MJD,True
54440.8257,V,,,,,19.282,Vega,Swift,2,,MJD,True
54440.8270,UVM2,,,,,20.499,Vega,Swift,2,,MJD,True
55195.4622,UVW1,,,,,21.162,Vega,Swift,2,,MJD,True
55392.6366,UVW1,,,,,20.098,Vega,Swift,2,,MJD,True
55392.6403,U,,,,,19.812,Vega,Swift,2,,MJD,True
55392.6427,B,,,,,20.026,Vega,Swift,2,,MJD,True
