time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53974.202632,r',SDSS,7.618e-01,0.586,1.172e+00,23.598,SDSS,SDSS,2,μJy,MJD,True
53974.203461,i',SDSS,1.293e+00,0.712,1.594e+00,23.231,SDSS,SDSS,2,μJy,MJD,True
53974.204290,u',SDSS,1.431e+00,1.204,-2.253e-01,24.896,SDSS,SDSS,2,μJy,MJD,True
53974.205120,z',SDSS,4.248e+00,0.534,-7.190e+00,24.041,SDSS,SDSS,2,μJy,MJD,True
53974.205949,g',SDSS,5.022e-01,0.783,3.249e-02,25.063,SDSS,SDSS,2,μJy,MJD,True
53989.210315,r',SDSS,1.083e+00,0.040,2.941e+01,20.224,SDSS,SDSS,2,μJy,MJD,
53989.211144,i',SDSS,1.529e+00,0.054,3.042e+01,20.174,SDSS,SDSS,2,μJy,MJD,
53989.211974,u',SDSS,2.143e+00,0.235,1.028e+01,21.435,SDSS,SDSS,2,μJy,MJD,
53989.212803,z',SDSS,4.855e+00,0.187,2.810e+01,20.259,SDSS,SDSS,2,μJy,MJD,
53989.213632,g',SDSS,9.316e-01,0.039,2.611e+01,20.338,SDSS,SDSS,2,μJy,MJD,
53995.199271,r',SDSS,1.028e+00,0.031,3.562e+01,20.016,SDSS,SDSS,2,μJy,MJD,
53995.200100,i',SDSS,1.458e+00,0.051,3.110e+01,20.150,SDSS,SDSS,2,μJy,MJD,
53995.200929,u',SDSS,1.665e+00,0.230,8.117e+00,21.690,SDSS,SDSS,2,μJy,MJD,
53995.201758,z',SDSS,4.506e+00,0.238,2.023e+01,20.607,SDSS,SDSS,2,μJy,MJD,True
53995.202588,g',SDSS,8.759e-01,0.036,2.652e+01,20.321,SDSS,SDSS,2,μJy,MJD,
53997.177545,r',SDSS,1.027e+00,0.033,3.311e+01,20.095,SDSS,SDSS,2,μJy,MJD,
53997.178374,i',SDSS,1.449e+00,0.053,2.940e+01,20.211,SDSS,SDSS,2,μJy,MJD,
53997.179204,u',SDSS,1.713e+00,0.606,3.249e+00,22.661,SDSS,SDSS,2,μJy,MJD,True
53997.180033,z',SDSS,7.901e+00,0.381,2.282e+01,20.480,SDSS,SDSS,2,μJy,MJD,True
53997.180862,g',SDSS,6.830e-01,0.030,2.478e+01,20.395,SDSS,SDSS,2,μJy,MJD,
54005.148851,r',SDSS,9.385e-01,0.039,2.571e+01,20.370,SDSS,SDSS,2,μJy,MJD,
54005.149680,i',SDSS,1.364e+00,0.072,2.049e+01,20.603,SDSS,SDSS,2,μJy,MJD,
54005.150509,u',SDSS,1.586e+00,1.265,-5.591e-01,25.218,SDSS,SDSS,2,μJy,MJD,True
54005.151338,z',SDSS,4.429e+00,0.284,1.649e+01,20.820,SDSS,SDSS,2,μJy,MJD,True
54005.152167,g',SDSS,6.541e-01,0.045,1.558e+01,20.898,SDSS,SDSS,2,μJy,MJD,
54007.161669,r',SDSS,1.077e+00,0.048,2.433e+01,20.430,SDSS,SDSS,2,μJy,MJD,
54007.162498,i',SDSS,1.508e+00,0.101,1.614e+01,20.861,SDSS,SDSS,2,μJy,MJD,
54007.163327,u',SDSS,1.730e+00,1.199,1.280e+00,23.551,SDSS,SDSS,2,μJy,MJD,True
54007.164156,z',SDSS,4.766e+00,0.359,1.387e+01,20.997,SDSS,SDSS,2,μJy,MJD,True
54007.164985,g',SDSS,7.147e-01,0.066,1.177e+01,21.203,SDSS,SDSS,2,μJy,MJD,
54009.158598,r',SDSS,1.171e+00,0.057,2.226e+01,20.526,SDSS,SDSS,2,μJy,MJD,
54009.159428,i',SDSS,1.622e+00,0.098,1.791e+01,20.748,SDSS,SDSS,2,μJy,MJD,
54009.160257,u',SDSS,1.990e+00,1.477,6.335e-01,24.046,SDSS,SDSS,2,μJy,MJD,True
54009.161086,z',SDSS,4.983e+00,0.853,2.929e+00,22.259,SDSS,SDSS,2,μJy,MJD,True
54009.161915,g',SDSS,8.500e-01,0.085,1.082e+01,21.294,SDSS,SDSS,2,μJy,MJD,
54011.223006,r',SDSS,1.397e+00,0.075,2.001e+01,20.642,SDSS,SDSS,2,μJy,MJD,
