time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53975.320356,r',SDSS,7.628e-01,0.752,6.706e-01,24.030,SDSS,SDSS,2,μJy,MJD,True
53975.321185,i',SDSS,1.170e+00,0.789,-9.358e-01,25.095,SDSS,SDSS,2,μJy,MJD,True
53975.322015,u',SDSS,1.635e+00,0.840,2.184e+00,23.062,SDSS,SDSS,2,μJy,MJD,True
53975.322844,z',SDSS,4.201e+00,0.748,2.470e+00,22.343,SDSS,SDSS,2,μJy,MJD,True
53975.323674,g',SDSS,4.958e-01,0.743,2.575e-01,24.692,SDSS,SDSS,2,μJy,MJD,True
53990.333524,r',SDSS,1.131e+00,0.118,1.045e+01,21.345,SDSS,SDSS,2,μJy,MJD,
53990.334353,i',SDSS,1.462e+00,0.166,9.644e+00,21.417,SDSS,SDSS,2,μJy,MJD,
53990.335183,u',SDSS,2.828e+00,0.603,5.670e+00,22.075,SDSS,SDSS,2,μJy,MJD,True
53990.336012,z',SDSS,4.597e+00,0.644,6.052e+00,21.770,SDSS,SDSS,2,μJy,MJD,True
53990.336841,g',SDSS,1.063e+00,0.099,1.175e+01,21.204,SDSS,SDSS,2,μJy,MJD,
53994.344024,r',SDSS,8.256e-01,0.048,1.861e+01,20.720,SDSS,SDSS,2,μJy,MJD,
53994.344853,i',SDSS,1.221e+00,0.082,1.621e+01,20.856,SDSS,SDSS,2,μJy,MJD,
53994.345682,u',SDSS,1.519e+00,0.193,8.862e+00,21.595,SDSS,SDSS,2,μJy,MJD,
53994.346512,z',SDSS,3.947e+00,0.274,1.523e+01,20.902,SDSS,SDSS,2,μJy,MJD,
53994.347341,g',SDSS,6.414e-01,0.037,1.876e+01,20.696,SDSS,SDSS,2,μJy,MJD,
53996.327865,r',SDSS,9.922e-01,0.053,2.061e+01,20.609,SDSS,SDSS,2,μJy,MJD,
53996.328694,i',SDSS,1.392e+00,0.081,1.881e+01,20.695,SDSS,SDSS,2,μJy,MJD,
53996.329523,u',SDSS,1.712e+00,0.198,9.768e+00,21.490,SDSS,SDSS,2,μJy,MJD,
53996.330353,z',SDSS,4.585e+00,0.382,1.253e+01,21.099,SDSS,SDSS,2,μJy,MJD,True
53996.331182,g',SDSS,6.890e-01,0.039,1.943e+01,20.658,SDSS,SDSS,2,μJy,MJD,
53998.296384,r',SDSS,8.105e-01,0.039,2.287e+01,20.496,SDSS,SDSS,2,μJy,MJD,
53998.297213,i',SDSS,1.220e+00,0.063,2.125e+01,20.563,SDSS,SDSS,2,μJy,MJD,
53998.298042,u',SDSS,1.556e+00,0.233,7.539e+00,21.770,SDSS,SDSS,2,μJy,MJD,
53998.298872,z',SDSS,3.803e+00,0.291,1.363e+01,21.015,SDSS,SDSS,2,μJy,MJD,
53998.299701,g',SDSS,6.790e-01,0.037,2.026e+01,20.613,SDSS,SDSS,2,μJy,MJD,
54005.326823,r',SDSS,7.887e-01,0.039,2.184e+01,20.546,SDSS,SDSS,2,μJy,MJD,
54005.327652,i',SDSS,1.178e+00,0.056,2.284e+01,20.485,SDSS,SDSS,2,μJy,MJD,
54005.328481,u',SDSS,1.349e+00,0.547,2.742e+00,22.835,SDSS,SDSS,2,μJy,MJD,True
54005.329310,z',SDSS,3.305e+00,0.298,1.120e+01,21.210,SDSS,SDSS,2,μJy,MJD,
54005.330140,g',SDSS,5.494e-01,0.034,1.772e+01,20.758,SDSS,SDSS,2,μJy,MJD,
54008.287397,r',SDSS,8.484e-01,0.045,2.052e+01,20.614,SDSS,SDSS,2,μJy,MJD,
54008.288226,i',SDSS,1.276e+00,0.066,2.121e+01,20.565,SDSS,SDSS,2,μJy,MJD,
54008.289055,u',SDSS,1.648e+00,0.344,5.455e+00,22.116,SDSS,SDSS,2,μJy,MJD,
54008.289885,z',SDSS,3.807e+00,0.444,8.075e+00,21.521,SDSS,SDSS,2,μJy,MJD,True
54008.290714,g',SDSS,5.773e-01,0.043,1.476e+01,20.957,SDSS,SDSS,2,μJy,MJD,
54010.281781,r',SDSS,8.767e-01,0.048,1.992e+01,20.646,SDSS,SDSS,2,μJy,MJD,
54010.282611,i',SDSS,1.239e+00,0.077,1.757e+01,20.769,SDSS,SDSS,2,μJy,MJD,
54010.283440,u',SDSS,1.624e+00,0.380,4.873e+00,22.236,SDSS,SDSS,2,μJy,MJD,
54010.284269,z',SDSS,3.341e+00,0.311,1.081e+01,21.246,SDSS,SDSS,2,μJy,MJD,
54010.285098,g',SDSS,7.090e-01,0.060,1.293e+01,21.100,SDSS,SDSS,2,μJy,MJD,
54012.274499,r',SDSS,1.240e+00,0.078,1.735e+01,20.796,SDSS,SDSS,2,μJy,MJD,
54012.275328,i',SDSS,1.503e+00,0.103,1.592e+01,20.876,SDSS,SDSS,2,μJy,MJD,
54012.276157,u',SDSS,2.840e+00,0.477,7.024e+00,21.846,SDSS,SDSS,2,μJy,MJD,True
54012.276987,z',SDSS,3.933e+00,0.402,9.700e+00,21.350,SDSS,SDSS,2,μJy,MJD,True
54012.277816,g',SDSS,1.210e+00,0.134,9.942e+00,21.385,SDSS,SDSS,2,μJy,MJD,
54020.280439,r',SDSS,1.055e+00,0.100,1.155e+01,21.237,SDSS,SDSS,2,μJy,MJD,
54020.281268,i',SDSS,1.468e+00,0.115,1.403e+01,21.012,SDSS,SDSS,2,μJy,MJD,
54020.282097,u',SDSS,2.095e+00,0.944,-2.693e+00,26.478,SDSS,SDSS,2,μJy,MJD,True
54020.282927,z',SDSS,4.871e+00,0.803,3.733e+00,22.120,SDSS,SDSS,2,μJy,MJD,True
54020.283756,g',SDSS,8.366e-01,0.313,2.935e+00,22.698,SDSS,SDSS,2,μJy,MJD,True
54024.361995,r',SDSS,1.091e+00,0.104,1.140e+01,21.251,SDSS,SDSS,2,μJy,MJD,
54024.362824,i',SDSS,1.483e+00,0.134,1.214e+01,21.169,SDSS,SDSS,2,μJy,MJD,
54024.363653,u',SDSS,2.089e+00,0.375,6.415e+00,21.943,SDSS,SDSS,2,μJy,MJD,
54024.364482,z',SDSS,6.016e+00,0.431,1.512e+01,20.909,SDSS,SDSS,2,μJy,MJD,True
54024.365311,g',SDSS,8.232e-01,0.334,2.703e+00,22.785,SDSS,SDSS,2,μJy,MJD,True
54030.273565,r',SDSS,7.556e-01,0.098,8.393e+00,21.582,SDSS,SDSS,2,μJy,MJD,
54030.274394,i',SDSS,1.126e+00,0.107,1.147e+01,21.230,SDSS,SDSS,2,μJy,MJD,
54030.275223,u',SDSS,1.422e+00,0.729,2.126e+00,23.088,SDSS,SDSS,2,μJy,MJD,True
54030.276053,z',SDSS,3.351e+00,0.474,5.817e+00,21.802,SDSS,SDSS,2,μJy,MJD,True
54030.276882,g',SDSS,4.789e-01,0.167,3.103e+00,22.639,SDSS,SDSS,2,μJy,MJD,
54035.349495,r',SDSS,1.412e+00,0.202,7.672e+00,21.679,SDSS,SDSS,2,μJy,MJD,
54035.350324,i',SDSS,1.706e+00,0.222,8.426e+00,21.562,SDSS,SDSS,2,μJy,MJD,True
54035.351154,u',SDSS,2.587e+00,1.460,-2.107e+00,26.234,SDSS,SDSS,2,μJy,MJD,True
54035.351983,z',SDSS,5.652e+00,0.912,-3.928e+00,23.578,SDSS,SDSS,2,μJy,MJD,True
54035.352812,g',SDSS,6.901e-01,0.364,2.045e+00,23.077,SDSS,SDSS,2,μJy,MJD,True
54037.254533,r',SDSS,9.112e-01,0.146,6.807e+00,21.808,SDSS,SDSS,2,μJy,MJD,
54037.255363,i',SDSS,1.235e+00,0.147,9.154e+00,21.473,SDSS,SDSS,2,μJy,MJD,
54037.256192,u',SDSS,1.544e+00,1.013,1.490e+00,23.419,SDSS,SDSS,2,μJy,MJD,True
54037.257021,z',SDSS,3.789e+00,0.595,4.584e+00,21.982,SDSS,SDSS,2,μJy,MJD,True
54037.257850,g',SDSS,5.111e-01,0.244,2.243e+00,22.981,SDSS,SDSS,2,μJy,MJD,True
