time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53975.237354,r',SDSS,7.482e-01,0.845,-9.570e-02,24.922,SDSS,SDSS,2,μJy,MJD,True
53975.238183,i',SDSS,1.347e+00,0.862,-1.105e+00,25.207,SDSS,SDSS,2,μJy,MJD,True
53975.239013,u',SDSS,1.677e+00,0.811,2.363e+00,22.984,SDSS,SDSS,2,μJy,MJD,True
53975.239842,z',SDSS,5.331e+00,0.862,3.908e+00,22.091,SDSS,SDSS,2,μJy,MJD,True
53975.240671,g',SDSS,5.219e-01,0.765,-3.026e-01,25.615,SDSS,SDSS,2,μJy,MJD,True
53993.305088,r',SDSS,7.872e-01,0.754,-7.322e-01,25.635,SDSS,SDSS,2,μJy,MJD,True
53993.305917,i',SDSS,1.239e+00,0.809,-1.036e+00,25.163,SDSS,SDSS,2,μJy,MJD,True
53993.306747,u',SDSS,1.568e+00,1.019,-1.526e+00,25.933,SDSS,SDSS,2,μJy,MJD,True
53993.307576,z',SDSS,4.007e+00,0.723,2.199e+00,22.394,SDSS,SDSS,2,μJy,MJD,True
53993.308405,g',SDSS,5.797e-01,0.836,3.176e-01,24.599,SDSS,SDSS,2,μJy,MJD,True
53996.243893,r',SDSS,8.158e-01,0.198,4.414e+00,22.273,SDSS,SDSS,2,μJy,MJD,
53996.244723,i',SDSS,1.293e+00,0.369,3.702e+00,22.430,SDSS,SDSS,2,μJy,MJD,True
53996.245552,u',SDSS,1.667e+00,1.023,1.714e+00,23.293,SDSS,SDSS,2,μJy,MJD,True
53996.246381,z',SDSS,4.182e+00,0.618,5.259e+00,21.881,SDSS,SDSS,2,μJy,MJD,True
53996.247210,g',SDSS,5.274e-01,0.188,3.027e+00,22.665,SDSS,SDSS,2,μJy,MJD,
53998.212317,r',SDSS,7.781e-01,0.147,5.707e+00,21.998,SDSS,SDSS,2,μJy,MJD,
53998.213146,i',SDSS,1.254e+00,0.235,5.723e+00,21.975,SDSS,SDSS,2,μJy,MJD,
53998.213976,u',SDSS,1.548e+00,0.677,2.595e+00,22.890,SDSS,SDSS,2,μJy,MJD,True
53998.214805,z',SDSS,4.123e+00,0.361,1.156e+01,21.180,SDSS,SDSS,2,μJy,MJD,True
53998.215634,g',SDSS,5.226e-01,0.092,6.146e+00,21.905,SDSS,SDSS,2,μJy,MJD,
54005.242438,r',SDSS,8.508e-01,0.043,2.163e+01,20.557,SDSS,SDSS,2,μJy,MJD,
54005.243267,i',SDSS,1.300e+00,0.077,1.829e+01,20.725,SDSS,SDSS,2,μJy,MJD,
54005.244097,u',SDSS,1.638e+00,0.213,8.706e+00,21.615,SDSS,SDSS,2,μJy,MJD,
54005.244926,z',SDSS,3.942e+00,0.245,1.689e+01,20.795,SDSS,SDSS,2,μJy,MJD,
54005.245755,g',SDSS,6.084e-01,0.029,2.310e+01,20.470,SDSS,SDSS,2,μJy,MJD,
54008.202877,r',SDSS,1.055e+00,0.040,2.852e+01,20.257,SDSS,SDSS,2,μJy,MJD,
54008.203706,i',SDSS,1.564e+00,0.070,2.405e+01,20.429,SDSS,SDSS,2,μJy,MJD,
54008.204536,u',SDSS,1.899e+00,0.297,7.323e+00,21.801,SDSS,SDSS,2,μJy,MJD,
54008.205365,z',SDSS,5.430e+00,0.225,2.592e+01,20.345,SDSS,SDSS,2,μJy,MJD,
54008.206194,g',SDSS,8.473e-01,0.032,2.928e+01,20.213,SDSS,SDSS,2,μJy,MJD,
54010.197169,r',SDSS,1.114e+00,0.036,3.345e+01,20.084,SDSS,SDSS,2,μJy,MJD,
54010.197998,i',SDSS,1.487e+00,0.060,2.691e+01,20.307,SDSS,SDSS,2,μJy,MJD,
54010.198828,u',SDSS,2.308e+00,0.230,1.143e+01,21.320,SDSS,SDSS,2,μJy,MJD,
54010.199657,z',SDSS,4.221e+00,0.205,2.195e+01,20.521,SDSS,SDSS,2,μJy,MJD,
54010.200486,g',SDSS,9.692e-01,0.034,3.099e+01,20.151,SDSS,SDSS,2,μJy,MJD,
54012.190219,r',SDSS,1.702e+00,0.056,3.314e+01,20.094,SDSS,SDSS,2,μJy,MJD,
54012.191048,i',SDSS,2.211e+00,0.090,2.658e+01,20.320,SDSS,SDSS,2,μJy,MJD,
54012.191878,u',SDSS,3.389e+00,0.249,1.557e+01,20.986,SDSS,SDSS,2,μJy,MJD,
54012.192707,z',SDSS,5.818e+00,0.312,1.998e+01,20.620,SDSS,SDSS,2,μJy,MJD,
54012.193536,g',SDSS,1.559e+00,0.049,3.459e+01,20.032,SDSS,SDSS,2,μJy,MJD,
54020.195400,r',SDSS,1.107e+00,0.035,3.426e+01,20.058,SDSS,SDSS,2,μJy,MJD,
54020.196229,i',SDSS,1.560e+00,0.059,2.886e+01,20.231,SDSS,SDSS,2,μJy,MJD,
54020.197058,u',SDSS,1.707e+00,0.330,5.903e+00,22.032,SDSS,SDSS,2,μJy,MJD,
54020.197887,z',SDSS,4.903e+00,0.225,2.327e+01,20.459,SDSS,SDSS,2,μJy,MJD,
54020.198716,g',SDSS,7.319e-01,0.025,3.228e+01,20.107,SDSS,SDSS,2,μJy,MJD,
54022.244669,r',SDSS,9.669e-01,0.029,3.552e+01,20.019,SDSS,SDSS,2,μJy,MJD,
54022.245498,i',SDSS,1.308e+00,0.050,2.828e+01,20.253,SDSS,SDSS,2,μJy,MJD,
54022.246327,u',SDSS,1.514e+00,0.339,5.074e+00,22.193,SDSS,SDSS,2,μJy,MJD,
54022.247157,z',SDSS,3.680e+00,0.237,1.622e+01,20.837,SDSS,SDSS,2,μJy,MJD,
54022.247986,g',SDSS,6.929e-01,0.025,3.010e+01,20.183,SDSS,SDSS,2,μJy,MJD,
54028.185190,r',SDSS,1.169e+00,0.043,2.914e+01,20.234,SDSS,SDSS,2,μJy,MJD,
54028.186019,i',SDSS,1.487e+00,0.075,2.161e+01,20.545,SDSS,SDSS,2,μJy,MJD,
54028.186848,u',SDSS,1.671e+00,1.213,1.102e+00,23.672,SDSS,SDSS,2,μJy,MJD,True
54028.187677,z',SDSS,4.592e+00,0.489,9.146e+00,21.406,SDSS,SDSS,2,μJy,MJD,True
54028.188506,g',SDSS,6.219e-01,0.032,2.118e+01,20.564,SDSS,SDSS,2,μJy,MJD,
54030.188560,r',SDSS,9.180e-01,0.039,2.577e+01,20.367,SDSS,SDSS,2,μJy,MJD,
54030.189389,i',SDSS,1.448e+00,0.078,2.009e+01,20.624,SDSS,SDSS,2,μJy,MJD,
54030.190219,u',SDSS,1.487e+00,0.335,5.040e+00,22.200,SDSS,SDSS,2,μJy,MJD,
54030.191048,z',SDSS,4.116e+00,0.288,1.489e+01,20.925,SDSS,SDSS,2,μJy,MJD,
54030.191877,g',SDSS,5.685e-01,0.035,1.791e+01,20.746,SDSS,SDSS,2,μJy,MJD,
54035.263891,r',SDSS,1.456e+00,0.077,2.047e+01,20.617,SDSS,SDSS,2,μJy,MJD,
54035.264720,i',SDSS,1.953e+00,0.107,1.979e+01,20.640,SDSS,SDSS,2,μJy,MJD,
54035.265549,u',SDSS,2.952e+00,0.509,6.919e+00,21.862,SDSS,SDSS,2,μJy,MJD,True
54035.266378,z',SDSS,6.595e+00,0.483,1.462e+01,20.944,SDSS,SDSS,2,μJy,MJD,True
54035.267207,g',SDSS,8.775e-01,0.091,1.051e+01,21.324,SDSS,SDSS,2,μJy,MJD,
54037.169286,r',SDSS,1.070e+00,0.071,1.639e+01,20.858,SDSS,SDSS,2,μJy,MJD,
54037.170115,i',SDSS,1.541e+00,0.097,1.714e+01,20.796,SDSS,SDSS,2,μJy,MJD,
54037.170944,u',SDSS,1.750e+00,0.341,5.869e+00,22.038,SDSS,SDSS,2,μJy,MJD,
54037.171774,z',SDSS,4.597e+00,0.345,1.382e+01,21.001,SDSS,SDSS,2,μJy,MJD,
54037.172603,g',SDSS,6.684e-01,0.086,8.510e+00,21.553,SDSS,SDSS,2,μJy,MJD,
54040.183375,r',SDSS,2.059e+00,0.145,1.540e+01,20.926,SDSS,SDSS,2,μJy,MJD,
54040.184204,i',SDSS,2.647e+00,0.200,1.445e+01,20.980,SDSS,SDSS,2,μJy,MJD,
54040.185033,u',SDSS,3.802e+00,1.700,-3.340e+00,26.699,SDSS,SDSS,2,μJy,MJD,True
54040.185862,z',SDSS,6.826e+00,0.541,1.352e+01,21.023,SDSS,SDSS,2,μJy,MJD,True
54040.186691,g',SDSS,1.893e+00,0.327,6.455e+00,21.852,SDSS,SDSS,2,μJy,MJD,
54050.167063,r',SDSS,1.322e+00,0.129,1.114e+01,21.276,SDSS,SDSS,2,μJy,MJD,
54050.167892,i',SDSS,1.955e+00,0.206,1.033e+01,21.342,SDSS,SDSS,2,μJy,MJD,
54050.168721,u',SDSS,2.456e+00,0.568,5.175e+00,22.172,SDSS,SDSS,2,μJy,MJD,True
54050.169550,z',SDSS,6.986e+00,0.378,2.003e+01,20.617,SDSS,SDSS,2,μJy,MJD,True
54050.170379,g',SDSS,7.657e-01,0.347,2.396e+00,22.913,SDSS,SDSS,2,μJy,MJD,True
54053.172841,r',SDSS,1.012e+00,0.106,1.035e+01,21.356,SDSS,SDSS,2,μJy,MJD,
54053.173670,i',SDSS,1.520e+00,0.154,1.066e+01,21.309,SDSS,SDSS,2,μJy,MJD,
54053.174499,u',SDSS,1.944e+00,0.849,2.733e+00,22.838,SDSS,SDSS,2,μJy,MJD,True
54053.175328,z',SDSS,5.465e+00,0.773,5.889e+00,21.792,SDSS,SDSS,2,μJy,MJD,True
54053.176157,g',SDSS,6.543e-01,0.204,3.468e+00,22.520,SDSS,SDSS,2,μJy,MJD,
54056.174158,r',SDSS,1.484e+00,0.171,9.436e+00,21.456,SDSS,SDSS,2,μJy,MJD,
54056.174988,i',SDSS,2.168e+00,0.193,1.221e+01,21.163,SDSS,SDSS,2,μJy,MJD,
54056.175817,u',SDSS,2.671e+00,0.809,4.159e+00,22.404,SDSS,SDSS,2,μJy,MJD,True
54056.176646,z',SDSS,6.289e+00,0.384,1.761e+01,20.752,SDSS,SDSS,2,μJy,MJD,True
54056.177475,g',SDSS,7.391e-01,0.255,3.146e+00,22.624,SDSS,SDSS,2,μJy,MJD,
54057.142732,r',SDSS,9.442e-01,0.118,8.634e+00,21.552,SDSS,SDSS,2,μJy,MJD,
54057.143561,i',SDSS,1.499e+00,0.193,8.419e+00,21.563,SDSS,SDSS,2,μJy,MJD,
54057.144391,u',SDSS,1.530e+00,1.209,-7.072e-01,25.349,SDSS,SDSS,2,μJy,MJD,True
54057.145220,z',SDSS,4.287e+00,0.356,1.230e+01,21.119,SDSS,SDSS,2,μJy,MJD,True
54057.146049,g',SDSS,5.125e-01,0.152,3.635e+00,22.470,SDSS,SDSS,2,μJy,MJD,
54059.168127,r',SDSS,9.513e-01,0.159,6.471e+00,21.863,SDSS,SDSS,2,μJy,MJD,
54059.168956,i',SDSS,1.542e+00,0.212,7.857e+00,21.637,SDSS,SDSS,2,μJy,MJD,
54059.169785,u',SDSS,2.127e+00,0.280,8.689e+00,21.617,SDSS,SDSS,2,μJy,MJD,
54059.170614,z',SDSS,5.342e+00,0.606,8.549e+00,21.468,SDSS,SDSS,2,μJy,MJD,True
54059.171443,g',SDSS,6.103e-01,0.283,2.314e+00,22.949,SDSS,SDSS,2,μJy,MJD,
54061.179334,r',SDSS,1.025e+00,0.136,8.167e+00,21.612,SDSS,SDSS,2,μJy,MJD,
54061.180163,i',SDSS,1.517e+00,0.170,9.626e+00,21.419,SDSS,SDSS,2,μJy,MJD,
54061.180993,u',SDSS,2.104e+00,0.454,5.404e+00,22.126,SDSS,SDSS,2,μJy,MJD,True
54061.181822,z',SDSS,5.260e+00,0.791,5.063e+00,21.910,SDSS,SDSS,2,μJy,MJD,True
54061.182651,g',SDSS,6.158e-01,0.450,1.412e+00,23.454,SDSS,SDSS,2,μJy,MJD,True
54062.172692,r',SDSS,1.130e+00,0.191,6.394e+00,21.876,SDSS,SDSS,2,μJy,MJD,
54062.173521,i',SDSS,1.768e+00,0.361,5.331e+00,22.050,SDSS,SDSS,2,μJy,MJD,
54062.174350,u',SDSS,2.149e+00,1.549,-6.928e-01,25.337,SDSS,SDSS,2,μJy,MJD,True
54062.175180,z',SDSS,6.452e+00,0.925,5.730e+00,21.814,SDSS,SDSS,2,μJy,MJD,True
54062.176009,g',SDSS,6.804e-01,0.305,2.403e+00,22.910,SDSS,SDSS,2,μJy,MJD,True
54068.162147,r',SDSS,2.505e+00,0.652,4.531e+00,22.245,SDSS,SDSS,2,μJy,MJD,True
54068.162977,i',SDSS,2.997e+00,0.635,5.479e+00,22.021,SDSS,SDSS,2,μJy,MJD,True
54068.163806,u',SDSS,6.179e+00,2.675,-7.778e-01,25.409,SDSS,SDSS,2,μJy,MJD,True
54068.164635,z',SDSS,7.297e+00,1.029,5.969e+00,21.781,SDSS,SDSS,2,μJy,MJD,True
54068.165464,g',SDSS,2.015e+00,1.911,9.587e-01,23.821,SDSS,SDSS,2,μJy,MJD,True
