time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53989.361953,r',SDSS,1.558e+00,0.908,1.952e+00,23.119,SDSS,SDSS,3,μJy,MJD,True
53989.362782,i',SDSS,1.730e+00,0.634,2.930e+00,22.666,SDSS,SDSS,3,μJy,MJD,True
53989.363612,u',SDSS,3.631e+00,1.523,3.477e+00,22.591,SDSS,SDSS,3,μJy,MJD,True
53989.364441,z',SDSS,4.810e+00,0.744,4.738e+00,21.959,SDSS,SDSS,3,μJy,MJD,True
53989.365270,g',SDSS,1.387e+00,1.550,-6.605e-01,26.100,SDSS,SDSS,3,μJy,MJD,True
53995.376646,r',SDSS,9.564e-01,0.927,6.769e-01,24.023,SDSS,SDSS,3,μJy,MJD,True
53995.377475,i',SDSS,1.378e+00,0.239,6.241e+00,21.883,SDSS,SDSS,3,μJy,MJD,True
53995.379134,z',SDSS,4.243e+00,0.767,-2.040e+00,23.241,SDSS,SDSS,3,μJy,MJD,True
53995.379963,g',SDSS,6.423e-01,0.663,9.029e-01,23.875,SDSS,SDSS,3,μJy,MJD,True
54000.337745,r',SDSS,1.532e+00,0.290,5.831e+00,21.975,SDSS,SDSS,3,μJy,MJD,True
54000.338574,i',SDSS,2.045e+00,0.073,-3.063e+01,28.558,SDSS,SDSS,3,μJy,MJD,True
54000.339403,u',SDSS,2.171e+00,1.567,6.144e-01,24.063,SDSS,SDSS,3,μJy,MJD,True
54000.340232,z',SDSS,6.694e+00,0.774,8.726e+00,21.450,SDSS,SDSS,3,μJy,MJD,True
54000.341062,g',SDSS,8.942e-01,1.229,1.275e-01,24.903,SDSS,SDSS,3,μJy,MJD,True
54006.285333,i',SDSS,1.374e+00,0.064,2.343e+01,20.457,SDSS,SDSS,3,μJy,MJD,True
54006.286162,u',SDSS,1.733e+00,0.915,2.102e+00,23.099,SDSS,SDSS,3,μJy,MJD,True
54006.286992,z',SDSS,4.797e+00,0.158,3.309e+01,20.084,SDSS,SDSS,3,μJy,MJD,True
54007.388228,r',SDSS,1.778e+00,0.052,3.713e+01,19.971,SDSS,SDSS,3,μJy,MJD,True
54007.389058,i',SDSS,1.947e+00,0.066,3.227e+01,20.110,SDSS,SDSS,3,μJy,MJD,True
54007.389887,u',SDSS,2.506e+00,1.740,2.239e-02,24.642,SDSS,SDSS,3,μJy,MJD,True
54007.390716,z',SDSS,6.611e+00,0.141,5.135e+01,19.611,SDSS,SDSS,3,μJy,MJD,True
54007.391546,g',SDSS,1.083e+00,0.052,2.290e+01,20.480,SDSS,SDSS,3,μJy,MJD,True
54009.311864,r',SDSS,1.658e+00,0.021,8.593e+01,19.060,SDSS,SDSS,3,μJy,MJD,
54009.312693,i',SDSS,1.742e+00,0.023,8.267e+01,19.089,SDSS,SDSS,3,μJy,MJD,
54009.313522,u',SDSS,1.921e+00,0.105,2.022e+01,20.703,SDSS,SDSS,3,μJy,MJD,
54009.314352,z',SDSS,5.050e+00,0.066,8.442e+01,19.073,SDSS,SDSS,3,μJy,MJD,True
54009.315181,g',SDSS,9.899e-01,0.014,7.810e+01,19.148,SDSS,SDSS,3,μJy,MJD,
54011.376430,r',SDSS,3.256e+00,0.021,1.670e+02,18.339,SDSS,SDSS,3,μJy,MJD,
54011.377260,i',SDSS,3.320e+00,0.023,1.587e+02,18.381,SDSS,SDSS,3,μJy,MJD,
54011.378089,u',SDSS,2.611e+00,0.042,6.924e+01,19.367,SDSS,SDSS,3,μJy,MJD,
54011.378918,z',SDSS,4.281e+00,0.038,1.246e+02,18.651,SDSS,SDSS,3,μJy,MJD,
54011.379747,g',SDSS,1.428e+00,0.010,1.513e+02,18.430,SDSS,SDSS,3,μJy,MJD,
54012.14925,B,,,0.044,,18.352,CSP,,11,,MJD,
54012.14925,V,,,0.074,,18.470,CSP,,11,,MJD,
54013.14572,B,,,0.029,,18.291,CSP,,11,,MJD,
54013.14572,H,,,0.067,,18.026,CSP,,11,,MJD,
54013.14572,J,,,0.048,,17.989,CSP,,11,,MJD,
54013.14572,V,,,0.070,,18.671,CSP,,11,,MJD,
54013.14572,Y,,,0.014,,18.117,CSP,,11,,MJD,
54013.14572,g,,,0.020,,18.193,CSP,,11,,MJD,
54013.14572,i,,,0.028,,18.080,CSP,,11,,MJD,
54013.14572,r,,,0.033,,18.371,CSP,,11,,MJD,
54013.14572,u,,,0.056,,18.649,CSP,,11,,MJD,
54016.24721,Y,,,0.101,,17.916,CSP,,11,,MJD,
54021.381069,i',SDSS,5.542e+00,0.023,2.591e+02,17.849,SDSS,SDSS,3,μJy,MJD,
54021.381898,u',SDSS,3.715e+00,0.031,1.730e+02,18.373,SDSS,SDSS,3,μJy,MJD,
54023.23326,Y,,,0.082,,18.331,CSP,,11,,MJD,
54024.12997,H,,,0.050,,16.374,CSP,,11,,MJD,
54024.12997,J,,,0.091,,17.673,CSP,,11,,MJD,
54025.375415,r',SDSS,5.225e+00,0.015,3.779e+02,17.452,SDSS,SDSS,3,μJy,MJD,
54025.376245,i',SDSS,3.349e+00,0.017,2.203e+02,18.025,SDSS,SDSS,3,μJy,MJD,
54025.377074,u',SDSS,5.239e+00,0.048,1.213e+02,18.758,SDSS,SDSS,3,μJy,MJD,
54025.377903,z',SDSS,8.535e+00,0.046,2.033e+02,18.120,SDSS,SDSS,3,μJy,MJD,True
54025.378733,g',SDSS,1.523e+00,0.005,3.238e+02,17.604,SDSS,SDSS,3,μJy,MJD,
54028.21355,B,,,0.015,,17.864,CSP,,11,,MJD,
54028.21355,V,,,0.055,,17.904,CSP,,11,,MJD,
54028.21355,g,,,0.019,,17.789,CSP,,11,,MJD,
