time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53974.281292,r',SDSS,7.207e-01,0.697,-7.125e-01,25.616,SDSS,SDSS,2,μJy,MJD,True
53974.282121,i',SDSS,1.196e+00,0.729,1.278e+00,23.410,SDSS,SDSS,2,μJy,MJD,True
53974.282950,u',SDSS,1.496e+00,0.744,2.230e+00,23.041,SDSS,SDSS,2,μJy,MJD,True
53974.284609,g',SDSS,4.589e-01,0.609,-5.144e-01,25.917,SDSS,SDSS,2,μJy,MJD,True
53989.284704,r',SDSS,1.258e+00,1.007,1.165e+00,23.603,SDSS,SDSS,2,μJy,MJD,True
53989.285534,i',SDSS,1.634e+00,0.694,2.429e+00,22.850,SDSS,SDSS,2,μJy,MJD,True
53989.286363,u',SDSS,2.725e+00,1.820,-2.736e-01,24.945,SDSS,SDSS,2,μJy,MJD,True
53989.287192,z',SDSS,4.426e+00,0.427,-1.038e+01,24.381,SDSS,SDSS,2,μJy,MJD,True
53989.288022,g',SDSS,1.525e+00,1.568,9.315e-01,23.847,SDSS,SDSS,2,μJy,MJD,True
53997.380565,r',SDSS,8.863e-01,0.717,-1.100e+00,25.952,SDSS,SDSS,2,μJy,MJD,True
53997.382224,u',SDSS,1.851e+00,1.009,2.090e+00,23.105,SDSS,SDSS,2,μJy,MJD,True
53997.383053,z',SDSS,4.432e+00,0.625,-5.864e+00,23.870,SDSS,SDSS,2,μJy,MJD,True
53997.383883,g',SDSS,5.696e-01,0.871,2.152e-02,25.082,SDSS,SDSS,2,μJy,MJD,True
54000.260027,r',SDSS,9.316e-01,0.889,-7.229e-01,25.626,SDSS,SDSS,2,μJy,MJD,True
54000.260856,i',SDSS,1.571e+00,0.489,-3.427e+00,26.215,SDSS,SDSS,2,μJy,MJD,True
54000.261686,u',SDSS,1.887e+00,0.763,-2.925e+00,26.562,SDSS,SDSS,2,μJy,MJD,True
54000.262515,z',SDSS,5.318e+00,0.542,-9.869e+00,24.332,SDSS,SDSS,2,μJy,MJD,True
54000.263344,g',SDSS,6.306e-01,0.866,4.213e-01,24.446,SDSS,SDSS,2,μJy,MJD,True
54007.310206,r',SDSS,9.072e-01,0.792,-9.404e-01,25.822,SDSS,SDSS,2,μJy,MJD,True
54007.311035,i',SDSS,1.458e+00,0.620,2.381e+00,22.869,SDSS,SDSS,2,μJy,MJD,True
54007.311864,u',SDSS,1.785e+00,1.169,1.508e+00,23.409,SDSS,SDSS,2,μJy,MJD,True
54007.312694,z',SDSS,4.613e+00,0.756,3.839e+00,22.102,SDSS,SDSS,2,μJy,MJD,True
54007.313523,g',SDSS,5.769e-01,0.836,3.057e-01,24.617,SDSS,SDSS,2,μJy,MJD,True
54009.233756,r',SDSS,9.077e-01,0.977,2.469e-01,24.497,SDSS,SDSS,2,μJy,MJD,True
54009.234585,i',SDSS,1.364e+00,0.987,3.812e-01,24.045,SDSS,SDSS,2,μJy,MJD,True
54009.235414,u',SDSS,1.727e+00,1.041,-1.772e+00,26.070,SDSS,SDSS,2,μJy,MJD,True
