time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53975.334173,r',SDSS,7.420e-01,0.806,3.679e-01,24.354,SDSS,SDSS,2,μJy,MJD,True
53975.335002,i',SDSS,1.224e+00,0.906,-3.418e-01,24.647,SDSS,SDSS,2,μJy,MJD,True
53975.335831,u',SDSS,1.450e+00,0.974,1.362e+00,23.498,SDSS,SDSS,2,μJy,MJD,True
53975.336661,z',SDSS,3.945e+00,0.748,-2.056e-01,22.875,SDSS,SDSS,2,μJy,MJD,True
53975.337490,g',SDSS,5.101e-01,0.712,4.173e-01,24.452,SDSS,SDSS,2,μJy,MJD,True
53990.347861,r',SDSS,1.187e+00,0.719,1.746e+00,23.229,SDSS,SDSS,2,μJy,MJD,True
53990.348691,i',SDSS,1.642e+00,0.996,1.285e+00,23.406,SDSS,SDSS,2,μJy,MJD,True
53990.349520,u',SDSS,2.721e+00,1.027,3.352e+00,22.629,SDSS,SDSS,2,μJy,MJD,True
53990.350349,z',SDSS,4.413e+00,0.772,2.703e+00,22.300,SDSS,SDSS,2,μJy,MJD,True
53990.351179,g',SDSS,1.111e+00,1.433,4.351e-03,25.111,SDSS,SDSS,2,μJy,MJD,True
53994.357983,r',SDSS,8.332e-01,0.794,-7.416e-01,25.644,SDSS,SDSS,2,μJy,MJD,True
53994.358813,i',SDSS,1.286e+00,0.688,-1.690e+00,25.543,SDSS,SDSS,2,μJy,MJD,True
53994.359642,u',SDSS,1.394e+00,1.105,7.638e-01,23.934,SDSS,SDSS,2,μJy,MJD,True
53994.360471,z',SDSS,3.567e+00,0.557,4.589e+00,21.982,SDSS,SDSS,2,μJy,MJD,True
53994.361301,g',SDSS,4.911e-01,0.663,4.821e-01,24.362,SDSS,SDSS,2,μJy,MJD,True
53996.341840,r',SDSS,8.133e-01,0.904,-1.241e-01,24.957,SDSS,SDSS,2,μJy,MJD,True
53996.342670,i',SDSS,1.320e+00,0.949,-5.014e-01,24.775,SDSS,SDSS,2,μJy,MJD,True
53996.343499,u',SDSS,1.579e+00,0.978,1.610e+00,23.350,SDSS,SDSS,2,μJy,MJD,True
53996.344328,z',SDSS,4.169e+00,0.722,2.998e+00,22.247,SDSS,SDSS,2,μJy,MJD,True
53996.345157,g',SDSS,5.421e-01,0.680,6.008e-01,24.208,SDSS,SDSS,2,μJy,MJD,True
53998.310785,r',SDSS,8.366e-01,0.930,1.760e-02,24.780,SDSS,SDSS,2,μJy,MJD,True
53998.311614,i',SDSS,1.422e+00,1.030,-2.469e-01,24.569,SDSS,SDSS,2,μJy,MJD,True
53998.312444,u',SDSS,2.020e+00,1.411,1.100e+00,23.673,SDSS,SDSS,2,μJy,MJD,True
54008.301473,r',SDSS,7.542e-01,0.804,4.339e-01,24.279,SDSS,SDSS,2,μJy,MJD,True
