time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53641.116300,R,,,,,23.5207,Natural,CTIO 4m,1,,MJD,True
53641.130700,I,,,,,23.0319,Natural,CTIO 4m,1,,MJD,True
53649.114200,R,,,,,22.9998,Natural,CTIO 4m,1,,MJD,True
53654.105900,R,,,,,23.6965,Natural,CTIO 4m,1,,MJD,True
53654.132800,I,,,,,23.4606,Natural,CTIO 4m,1,,MJD,True
53682.116100,R,,,,,23.3328,Natural,CTIO 4m,1,,MJD,True
53698.096700,R,,,,,23.8258,Natural,CTIO 4m,1,,MJD,True
53698.111000,I,,,,,22.6540,Natural,CTIO 4m,1,,MJD,True
53704.116800,R,,,,,24.2551,Natural,CTIO 4m,1,,MJD,True
53704.130900,I,,,,,23.7553,Natural,CTIO 4m,1,,MJD,True
53728.095800,R,,,,,23.8356,Natural,CTIO 4m,1,,MJD,True
53728.110700,I,,,,,23.3746,Natural,CTIO 4m,1,,MJD,True
53733.084500,R,,,,,24.2641,Natural,CTIO 4m,1,,MJD,True
53733.117300,I,,,,,23.4450,Natural,CTIO 4m,1,,MJD,True
53735.067600,R,,,,,24.2746,Natural,CTIO 4m,1,,MJD,True
53994.268300,R,,,,,24.3362,Natural,CTIO 4m,1,,MJD,True
53994.308600,I,,,,,23.6792,Natural,CTIO 4m,1,,MJD,True
54003.271400,R,,,,,23.6517,Natural,CTIO 4m,1,,MJD,True
54003.295900,I,,,,,23.3825,Natural,CTIO 4m,1,,MJD,True
54021.342200,R,,,,,23.1817,Natural,CTIO 4m,1,,MJD,True
54023.266900,R,,,,,23.6223,Natural,CTIO 4m,1,,MJD,True
54023.281800,I,,,,,23.0594,Natural,CTIO 4m,1,,MJD,True
54027.292200,R,,,,,24.0207,Natural,CTIO 4m,1,,MJD,True
54027.306100,I,,,,,23.2704,Natural,CTIO 4m,1,,MJD,True
54031.306700,R,,,,,23.8885,Natural,CTIO 4m,1,,MJD,True
54031.317200,I,,,,,23.2575,Natural,CTIO 4m,1,,MJD,True
54037.280400,I,,,,,23.0646,Natural,CTIO 4m,1,,MJD,True
54037.292200,R,,,,,23.4290,Natural,CTIO 4m,1,,MJD,
54039.272300,R,,,,,23.1985,Natural,CTIO 4m,1,,MJD,True
54039.300300,I,,,,,22.5128,Natural,CTIO 4m,1,,MJD,True
54053.086400,R,,,,,22.7865,Natural,CTIO 4m,1,,MJD,
54053.101100,I,,,,,22.4504,Natural,CTIO 4m,1,,MJD,
54059.236600,R,,,,,23.0404,Natural,CTIO 4m,1,,MJD,
54059.263600,I,,,,,22.6934,Natural,CTIO 4m,1,,MJD,
54063.249600,R,,,,,23.0972,Natural,CTIO 4m,1,,MJD,
54063.274900,I,,,,,22.8612,Natural,CTIO 4m,1,,MJD,
54065.223900,R,,,,,23.1601,Natural,CTIO 4m,1,,MJD,
54065.254100,I,,,,,22.5229,Natural,CTIO 4m,1,,MJD,
54067.228100,R,,,,,23.1651,Natural,CTIO 4m,1,,MJD,
54067.248000,I,,,,,23.0760,Natural,CTIO 4m,1,,MJD,True
54069.219100,R,,,,,23.0863,Natural,CTIO 4m,1,,MJD,True
54084.127600,I,,,,,22.1842,Natural,CTIO 4m,1,,MJD,True
54088.125600,R,,,,,24.0202,Natural,CTIO 4m,1,,MJD,True
54088.129100,I,,,,,23.3792,Natural,CTIO 4m,1,,MJD,True
54090.103800,R,,,,,24.3359,Natural,CTIO 4m,1,,MJD,True
54090.182200,I,,,,,23.0099,Natural,CTIO 4m,1,,MJD,True
54092.108800,R,,,,,24.3555,Natural,CTIO 4m,1,,MJD,True
54092.132500,I,,,,,23.7241,Natural,CTIO 4m,1,,MJD,True
54094.107800,R,,,,,23.9931,Natural,CTIO 4m,1,,MJD,True
54094.125300,I,,,,,23.2993,Natural,CTIO 4m,1,,MJD,True
54096.124200,R,,,,,23.2380,Natural,CTIO 4m,1,,MJD,True
54096.146300,I,,,,,22.5332,Natural,CTIO 4m,1,,MJD,True
54098.132600,R,,,,,22.8424,Natural,CTIO 4m,1,,MJD,True
54098.154700,I,,,,,22.4159,Natural,CTIO 4m,1,,MJD,True
54099.063100,I,,,,,22.3933,Natural,CTIO 4m,1,,MJD,True
54111.105500,R,,,,,23.8545,Natural,CTIO 4m,1,,MJD,True
54111.128700,I,,,,,23.1933,Natural,CTIO 4m,1,,MJD,True
54113.098000,R,,,,,23.8802,Natural,CTIO 4m,1,,MJD,True
54113.101500,I,,,,,23.1999,Natural,CTIO 4m,1,,MJD,True
54114.085300,R,,,,,23.5677,Natural,CTIO 4m,1,,MJD,True
54114.088100,I,,,,,22.9829,Natural,CTIO 4m,1,,MJD,True
54351.308400,R,,,,,23.9444,Natural,CTIO 4m,1,,MJD,True
54351.369100,I,,,,,23.3278,Natural,CTIO 4m,1,,MJD,True
54354.315300,R,,,,,23.7003,Natural,CTIO 4m,1,,MJD,True
54357.352700,R,,,,,23.3728,Natural,CTIO 4m,1,,MJD,True
54360.355500,I,,,,,23.1076,Natural,CTIO 4m,1,,MJD,True
54363.361600,R,,,,,23.8390,Natural,CTIO 4m,1,,MJD,True
54377.268100,R,,,,,23.9693,Natural,CTIO 4m,1,,MJD,True
54377.289600,I,,,,,23.2164,Natural,CTIO 4m,1,,MJD,True
54379.283500,R,,,,,23.7168,Natural,CTIO 4m,1,,MJD,True
54381.250400,R,,,,,24.3175,Natural,CTIO 4m,1,,MJD,True
54381.277700,I,,,,,23.4828,Natural,CTIO 4m,1,,MJD,True
54383.319600,R,,,,,24.1888,Natural,CTIO 4m,1,,MJD,True
54393.288600,R,,,,,23.9472,Natural,CTIO 4m,1,,MJD,True
54407.243700,R,,,,,23.5652,Natural,CTIO 4m,1,,MJD,True
54407.258700,I,,,,,22.7920,Natural,CTIO 4m,1,,MJD,True
54409.290000,R,,,,,24.0884,Natural,CTIO 4m,1,,MJD,True
54411.268900,R,,,,,24.1268,Natural,CTIO 4m,1,,MJD,True
54411.287800,I,,,,,23.4436,Natural,CTIO 4m,1,,MJD,True
54415.123400,R,,,,,23.9907,Natural,CTIO 4m,1,,MJD,True
54417.063800,R,,,,,24.2243,Natural,CTIO 4m,1,,MJD,True
54417.094900,I,,,,,23.4919,Natural,CTIO 4m,1,,MJD,True
54421.094100,R,,,,,24.0180,Natural,CTIO 4m,1,,MJD,True
54423.253200,R,,,,,23.6004,Natural,CTIO 4m,1,,MJD,True
54437.171900,R,,,,,23.7113,Natural,CTIO 4m,1,,MJD,True
54437.185900,I,,,,,22.9895,Natural,CTIO 4m,1,,MJD,True
54441.076000,R,,,,,24.2901,Natural,CTIO 4m,1,,MJD,True
54441.093800,I,,,,,23.4838,Natural,CTIO 4m,1,,MJD,True
