time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
53639.087800,R,,,,,23.8493,Natural,CTIO 4m,1,,MJD,True
53639.106500,I,,,,,23.2974,Natural,CTIO 4m,1,,MJD,True
53652.056300,R,,,,,23.3442,Natural,CTIO 4m,1,,MJD,True
53652.077500,I,,,,,23.1552,Natural,CTIO 4m,1,,MJD,True
53682.074500,R,,,,,23.4318,Natural,CTIO 4m,1,,MJD,True
53696.081100,R,,,,,24.4341,Natural,CTIO 4m,1,,MJD,True
53696.099900,I,,,,,23.5958,Natural,CTIO 4m,1,,MJD,True
53700.167700,R,,,,,24.0753,Natural,CTIO 4m,1,,MJD,True
53702.105600,R,,,,,24.2518,Natural,CTIO 4m,1,,MJD,True
53702.130200,I,,,,,23.5396,Natural,CTIO 4m,1,,MJD,True
53706.079300,R,,,,,24.4739,Natural,CTIO 4m,1,,MJD,True
53706.098200,I,,,,,23.6164,Natural,CTIO 4m,1,,MJD,True
53708.081400,R,,,,,24.0194,Natural,CTIO 4m,1,,MJD,True
53708.105900,I,,,,,23.5268,Natural,CTIO 4m,1,,MJD,True
53712.087100,R,,,,,23.9599,Natural,CTIO 4m,1,,MJD,True
53712.108800,I,,,,,23.3067,Natural,CTIO 4m,1,,MJD,True
53994.216100,R,,,,,24.0611,Natural,CTIO 4m,1,,MJD,True
53994.252300,I,,,,,23.8602,Natural,CTIO 4m,1,,MJD,True
54003.223700,R,,,,,23.6817,Natural,CTIO 4m,1,,MJD,True
54003.260700,I,,,,,23.2341,Natural,CTIO 4m,1,,MJD,True
54021.234000,R,,,,,23.3020,Natural,CTIO 4m,1,,MJD,True
54021.253300,I,,,,,22.7149,Natural,CTIO 4m,1,,MJD,True
54025.229500,R,,,,,23.5719,Natural,CTIO 4m,1,,MJD,True
54029.243200,R,,,,,23.5824,Natural,CTIO 4m,1,,MJD,True
54029.261800,I,,,,,23.4052,Natural,CTIO 4m,1,,MJD,True
54033.223600,R,,,,,22.6270,Natural,CTIO 4m,1,,MJD,True
54039.213300,R,,,,,23.3438,Natural,CTIO 4m,1,,MJD,True
54051.051800,R,,,,,23.7062,Natural,CTIO 4m,1,,MJD,True
54051.070900,I,,,,,22.9586,Natural,CTIO 4m,1,,MJD,True
54055.196400,R,,,,,23.4738,Natural,CTIO 4m,1,,MJD,True
54055.213400,I,,,,,22.4922,Natural,CTIO 4m,1,,MJD,True
54059.199200,R,,,,,23.5943,Natural,CTIO 4m,1,,MJD,True
54059.215500,I,,,,,22.3395,Natural,CTIO 4m,1,,MJD,True
54063.197200,R,,,,,23.7383,Natural,CTIO 4m,1,,MJD,
54063.218000,I,,,,,22.6901,Natural,CTIO 4m,1,,MJD,
54065.196500,R,,,,,23.8431,Natural,CTIO 4m,1,,MJD,True
54065.212700,I,,,,,22.9373,Natural,CTIO 4m,1,,MJD,
54067.195600,R,,,,,23.2663,Natural,CTIO 4m,1,,MJD,True
54067.211900,I,,,,,22.7047,Natural,CTIO 4m,1,,MJD,True
54069.201400,R,,,,,22.8010,Natural,CTIO 4m,1,,MJD,True
54069.208500,I,,,,,22.4361,Natural,CTIO 4m,1,,MJD,True
54084.067000,R,,,,,23.3248,Natural,CTIO 4m,1,,MJD,True
54084.086400,I,,,,,22.7120,Natural,CTIO 4m,1,,MJD,True
54088.072200,R,,,,,23.9834,Natural,CTIO 4m,1,,MJD,True
54088.097300,I,,,,,23.1646,Natural,CTIO 4m,1,,MJD,True
54092.049100,R,,,,,24.3433,Natural,CTIO 4m,1,,MJD,True
54094.050900,R,,,,,23.7561,Natural,CTIO 4m,1,,MJD,True
54094.080300,I,,,,,23.3753,Natural,CTIO 4m,1,,MJD,True
54096.060800,R,,,,,23.1608,Natural,CTIO 4m,1,,MJD,True
54098.071600,R,,,,,22.6651,Natural,CTIO 4m,1,,MJD,True
54098.075100,I,,,,,22.4114,Natural,CTIO 4m,1,,MJD,True
54099.033400,R,,,,,22.4540,Natural,CTIO 4m,1,,MJD,True
54111.054300,R,,,,,23.7944,Natural,CTIO 4m,1,,MJD,True
54111.092000,I,,,,,22.8814,Natural,CTIO 4m,1,,MJD,True
54113.054600,R,,,,,23.9214,Natural,CTIO 4m,1,,MJD,True
54113.058200,I,,,,,23.3122,Natural,CTIO 4m,1,,MJD,True
54351.295300,R,,,,,23.8852,Natural,CTIO 4m,1,,MJD,True
54354.307600,R,,,,,23.8598,Natural,CTIO 4m,1,,MJD,True
54357.303300,I,,,,,23.3199,Natural,CTIO 4m,1,,MJD,True
54379.210100,R,,,,,23.2479,Natural,CTIO 4m,1,,MJD,True
54379.236600,I,,,,,23.1086,Natural,CTIO 4m,1,,MJD,True
54383.229900,R,,,,,23.9728,Natural,CTIO 4m,1,,MJD,True
54383.257200,I,,,,,23.4171,Natural,CTIO 4m,1,,MJD,True
54389.212400,R,,,,,23.6553,Natural,CTIO 4m,1,,MJD,True
54393.225800,R,,,,,23.8646,Natural,CTIO 4m,1,,MJD,True
54407.240100,R,,,,,23.3925,Natural,CTIO 4m,1,,MJD,True
54409.205300,R,,,,,24.2156,Natural,CTIO 4m,1,,MJD,True
54409.225100,I,,,,,23.3513,Natural,CTIO 4m,1,,MJD,True
54415.039600,R,,,,,23.9027,Natural,CTIO 4m,1,,MJD,True
54415.059100,I,,,,,22.8388,Natural,CTIO 4m,1,,MJD,True
54419.020900,R,,,,,23.9720,Natural,CTIO 4m,1,,MJD,True
54421.033500,R,,,,,23.9166,Natural,CTIO 4m,1,,MJD,True
54423.168300,R,,,,,23.4758,Natural,CTIO 4m,1,,MJD,True
54435.121900,R,,,,,23.5818,Natural,CTIO 4m,1,,MJD,True
54435.141000,I,,,,,22.8369,Natural,CTIO 4m,1,,MJD,True
54439.041700,R,,,,,23.6091,Natural,CTIO 4m,1,,MJD,True
54439.062600,I,,,,,23.4264,Natural,CTIO 4m,1,,MJD,True
54441.038800,R,,,,,24.1826,Natural,CTIO 4m,1,,MJD,True
54441.064100,I,,,,,23.5012,Natural,CTIO 4m,1,,MJD,True
54443.036000,R,,,,,23.6173,Natural,CTIO 4m,1,,MJD,True
54443.059200,I,,,,,23.0798,Natural,CTIO 4m,1,,MJD,True
54445.051400,I,,,,,23.5267,Natural,CTIO 4m,1,,MJD,True
54447.036000,R,,,,,24.0988,Natural,CTIO 4m,1,,MJD,True
54447.054200,I,,,,,23.6412,Natural,CTIO 4m,1,,MJD,True
54449.037900,R,,,,,23.6747,Natural,CTIO 4m,1,,MJD,True
54449.055800,I,,,,,23.5460,Natural,CTIO 4m,1,,MJD,True
54451.066900,R,,,,,23.2662,Natural,CTIO 4m,1,,MJD,True
54451.070400,I,,,,,22.9667,Natural,CTIO 4m,1,,MJD,True
54464.053100,R,,,,,24.0770,Natural,CTIO 4m,1,,MJD,True
54464.073900,I,,,,,23.5370,Natural,CTIO 4m,1,,MJD,True
54467.078100,R,,,,,24.1939,Natural,CTIO 4m,1,,MJD,True
54467.097300,I,,,,,23.1612,Natural,CTIO 4m,1,,MJD,True
54469.065700,R,,,,,24.3152,Natural,CTIO 4m,1,,MJD,True
54472.069300,R,,,,,23.8757,Natural,CTIO 4m,1,,MJD,True
54474.068000,R,,,,,23.3901,Natural,CTIO 4m,1,,MJD,True
54474.080900,I,,,,,22.9479,Natural,CTIO 4m,1,,MJD,True
