time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54162.5,,,,,,16.1,,,"8,9",,MJD,
54170.32258,i',Standard,,0.0245,,17.7804,,,2,,MJD,
54170.32490,r',Standard,,0.0173,,17.0002,,,2,,MJD,
54170.32721,V,Standard,,0.0211,,16.8814,,,2,,MJD,
54170.33022,B,Standard,,0.0186,,17.2101,,,2,,MJD,
54172.36758,i',Standard,,0.0296,,17.9270,,,2,,MJD,
54172.36991,r',Standard,,0.0190,,17.1400,,,2,,MJD,
54172.37221,V,Standard,,0.0207,,17.0169,,,2,,MJD,
54172.37523,B,Standard,,0.0205,,17.4285,,,2,,MJD,
54176.25039,r',Standard,,0.0271,,17.3385,,,2,,MJD,
54176.25270,V,Standard,,0.0345,,17.3451,,,2,,MJD,
54176.26002,i',Standard,,0.0467,,18.1178,,,2,,MJD,
54178.18584,i',Standard,,0.0332,,17.9433,,,2,,MJD,
54178.18816,r',Standard,,0.0218,,17.3517,,,2,,MJD,
54178.19048,V,Standard,,0.0264,,17.3545,,,2,,MJD,
54178.19348,B,Standard,,0.0225,,18.1087,,,2,,MJD,
54185.27455,i',Standard,,0.0290,,17.7672,,,2,,MJD,
54185.27686,r',Standard,,0.0201,,17.5192,,,2,,MJD,
54185.27917,V,Standard,,0.0489,,17.7261,,,2,,MJD,
54185.28216,B,Standard,,0.1010,,18.9689,,,2,,MJD,
54187.20906,i',Standard,,0.0472,,17.8867,,,2,,MJD,
54187.21139,r',Standard,,0.0416,,17.6252,,,2,,MJD,
54187.21370,V,Standard,,0.0904,,17.8601,,,2,,MJD,
54188.21845,i',Standard,,0.0510,,17.8828,,,2,,MJD,
54188.22075,r',Standard,,0.0536,,17.6622,,,2,,MJD,
54188.22308,V,Standard,,0.0470,,18.1073,,,2,,MJD,
54188.22610,B,Standard,,0.1060,,19.0171,,,2,,MJD,
54192.35802,i',Standard,,0.0328,,17.9463,,,2,,MJD,
54192.36032,r',Standard,,0.0262,,17.9291,,,2,,MJD,
54192.36263,V,Standard,,0.0478,,18.3100,,,2,,MJD,
54192.36564,B,Standard,,0.1656,,19.2548,,,2,,MJD,
54193.30505,i',Standard,,0.0374,,18.0904,,,2,,MJD,
54193.30736,r',Standard,,0.0316,,17.9642,,,2,,MJD,
54193.30968,V,Standard,,0.0573,,18.3517,,,2,,MJD,
54193.31268,B,Standard,,0.2063,,19.4817,,,2,,MJD,
54194.33488,i',Standard,,0.0324,,18.0983,,,2,,MJD,
54194.33719,r',Standard,,0.0294,,18.0326,,,2,,MJD,
54194.33949,V,Standard,,0.0569,,18.4669,,,2,,MJD,
54194.34250,B,Standard,,0.1658,,19.4938,,,2,,MJD,
54195.24557,i',Standard,,0.0387,,18.2232,,,2,,MJD,
54195.24786,r',Standard,,0.0295,,18.1472,,,2,,MJD,
54195.25018,V,Standard,,0.0419,,18.5496,,,2,,MJD,
54195.25319,B,Standard,,0.1549,,19.3131,,,2,,MJD,
54196.21522,i',Standard,,0.0490,,18.1450,,,2,,MJD,
54196.21751,r',Standard,,0.0503,,18.1895,,,2,,MJD,
54196.21984,V,Standard,,0.0618,,18.4815,,,2,,MJD,
54196.22284,B,Standard,,0.0830,,19.5339,,,2,,MJD,
54201.30329,i',Standard,,0.0414,,18.5543,,,2,,MJD,
54201.30561,r',Standard,,0.0304,,18.4124,,,2,,MJD,
54201.30792,V,Standard,,0.0454,,18.7428,,,2,,MJD,
54201.31093,B,Standard,,0.0643,,19.6999,,,2,,MJD,
54202.17602,i',Standard,,0.0864,,18.7044,,,2,,MJD,
54202.17835,r',Standard,,0.0323,,18.4226,,,2,,MJD,
54202.18064,V,Standard,,0.0480,,18.6847,,,2,,MJD,
54202.18366,B,Standard,,0.1067,,19.8602,,,2,,MJD,
54204.18216,i',Standard,,0.0432,,18.6545,,,2,,MJD,
54204.18447,r',Standard,,0.0317,,18.4911,,,2,,MJD,
54204.18679,V,Standard,,0.0364,,18.7373,,,2,,MJD,
54204.18980,B,Standard,,0.0905,,19.8864,,,2,,MJD,
54208.24743,i',Standard,,0.0590,,18.7887,,,2,,MJD,
54208.24975,r',Standard,,0.0356,,18.6976,,,2,,MJD,
54208.25205,V,Standard,,0.0696,,18.9512,,,2,,MJD,
54208.25507,B,Standard,,0.1125,,19.8448,,,2,,MJD,
54209.27505,i',Standard,,0.0848,,19.0002,,,2,,MJD,
54209.27736,r',Standard,,0.0407,,18.7202,,,2,,MJD,
54209.27969,V,Standard,,0.0687,,18.9767,,,2,,MJD,
54209.28271,B,Standard,,0.1489,,20.0647,,,2,,MJD,
54210.24582,i',Standard,,0.0646,,19.0445,,,2,,MJD,
54210.24812,r',Standard,,0.0394,,18.7402,,,2,,MJD,
54210.25046,V,Standard,,0.0500,,18.8942,,,2,,MJD,
54210.25347,B,Standard,,0.1063,,19.9406,,,2,,MJD,
54221.24763,i',Standard,,0.1084,,19.5293,,,2,,MJD,
54221.24994,r',Standard,,0.0779,,19.1019,,,2,,MJD,
54221.25227,V,Standard,,0.0800,,19.3022,,,2,,MJD,
54227.25656,i',Standard,,0.1240,,19.5619,,,2,,MJD,
54227.25888,r',Standard,,0.0682,,19.2352,,,2,,MJD,
54227.26120,V,Standard,,0.0631,,19.2764,,,2,,MJD,
54227.26422,B,Standard,,0.1575,,20.4191,,,2,,MJD,
54232.33959,i',Standard,,0.1353,,19.6147,,,2,,MJD,
54232.34191,r',Standard,,0.0780,,19.4254,,,2,,MJD,
54232.34423,V,Standard,,0.0816,,19.2775,,,2,,MJD,
54232.34724,B,Standard,,0.2909,,20.4170,,,2,,MJD,
54234.22296,i',Standard,,0.1612,,19.8656,,,2,,MJD,
54234.22600,r',Standard,,0.0735,,19.4645,,,2,,MJD,
54234.22901,V,Standard,,0.0782,,19.4111,,,2,,MJD,
54234.23271,B,Standard,,0.2020,,20.4801,,,2,,MJD,
54239.31463,i',Standard,,0.1870,,19.9601,,,2,,MJD,
54239.31764,r',Standard,,0.0816,,19.6327,,,2,,MJD,
54239.32066,V,Standard,,0.0883,,19.4998,,,2,,MJD,
54240.33154,i',Standard,,0.1457,,19.9117,,,2,,MJD,
54240.33456,r',Standard,,0.0860,,19.6295,,,2,,MJD,
54240.33759,V,Standard,,0.1029,,19.5949,,,2,,MJD,
54247.27435,i',Standard,,0.1549,,20.0649,,,2,,MJD,
54247.27737,r',Standard,,0.1081,,19.8849,,,2,,MJD,
54247.28039,V,Standard,,0.1352,,19.7323,,,2,,MJD,
54251.33205,i',Standard,,0.1795,,20.1878,,,2,,MJD,
54251.33506,r',Standard,,0.1707,,20.1787,,,2,,MJD,
54251.33807,V,Standard,,0.1357,,20.2404,,,2,,MJD,
54252.29465,i',Standard,,0.2502,,20.1389,,,2,,MJD,
54252.30069,V,Standard,,0.1465,,20.0529,,,2,,MJD,
54277.28660,i',Standard,,0.3752,,20.8810,,,2,,MJD,
54277.28961,r',Standard,,0.3255,,20.9334,,,2,,MJD,
54277.29263,V,Standard,,0.3026,,20.3232,,,2,,MJD,
54279.18687,i',Standard,,0.3133,,21.0371,,,2,,MJD,
54279.18990,r',Standard,,0.1638,,20.5067,,,2,,MJD,
54279.19292,V,Standard,,0.2721,,20.5006,,,2,,MJD,
54291.22201,r',Standard,,0.2318,,20.8312,,,2,,MJD,
54292.22273,r',Standard,,0.3605,,21.2063,,,2,,MJD,
54292.22574,V,Standard,,0.3216,,21.1473,,,2,,MJD,
