time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54223.5,,,,,,17.4,,,"8,10",,MJD,
54226.22800,i',Standard,,0.026,,17.518,,CfA3_KEP,4,,MJD,
54226.23032,r',Standard,,0.021,,17.417,,CfA3_KEP,4,,MJD,
54226.23263,V,Standard,,0.019,,17.444,,CfA3_KEP,4,,MJD,
54226.23564,B,Standard,,0.031,,18.290,,CfA3_KEP,4,,MJD,
54227.18152,i',Standard,,0.023,,17.543,,CfA3_KEP,4,,MJD,
54227.18383,r',Standard,,0.021,,17.431,,CfA3_KEP,4,,MJD,
54227.18615,V,Standard,,0.018,,17.504,,CfA3_KEP,4,,MJD,
54227.18914,B,Standard,,0.025,,18.298,,CfA3_KEP,4,,MJD,
54228.19814,i',Standard,,0.023,,17.521,,CfA3_KEP,4,,MJD,
54228.20047,r',Standard,,0.023,,17.473,,CfA3_KEP,4,,MJD,
54228.20279,V,Standard,,0.020,,17.559,,CfA3_KEP,4,,MJD,
54228.20582,B,Standard,,0.028,,18.462,,CfA3_KEP,4,,MJD,
54228.208,H,Standard,,0.188,,17.705,,PAIRITEL,4,,MJD,
54228.208,J,Standard,,0.085,,17.308,,PAIRITEL,4,,MJD,
54228.208,Ks,Standard,,0.093,,16.528,,PAIRITEL,4,,MJD,
54230.17010,i',Standard,,0.026,,17.574,,CfA3_KEP,4,,MJD,
54230.17242,r',Standard,,0.021,,17.517,,CfA3_KEP,4,,MJD,
54230.17473,V,Standard,,0.019,,17.675,,CfA3_KEP,4,,MJD,
54231.172,H,Standard,,0.106,,17.264,,PAIRITEL,4,,MJD,
54231.172,J,Standard,,0.061,,17.178,,PAIRITEL,4,,MJD,
54232.31331,i',Standard,,0.024,,17.603,,CfA3_KEP,4,,MJD,
54232.31563,r',Standard,,0.023,,17.592,,CfA3_KEP,4,,MJD,
54232.31794,V,Standard,,0.020,,17.822,,CfA3_KEP,4,,MJD,
54232.32095,B,Standard,,0.033,,18.863,,CfA3_KEP,4,,MJD,
54233.175,H,Standard,,0.150,,17.260,,PAIRITEL,4,,MJD,
54233.175,J,Standard,,0.140,,17.150,,PAIRITEL,4,,MJD,
54234.18404,i',Standard,,0.030,,17.662,,CfA3_KEP,4,,MJD,
54234.18635,r',Standard,,0.023,,17.714,,CfA3_KEP,4,,MJD,
54234.18867,V,Standard,,0.025,,17.924,,CfA3_KEP,4,,MJD,
54234.19169,B,Standard,,0.042,,19.006,,CfA3_KEP,4,,MJD,
54235.153,H,Standard,,0.127,,17.206,,PAIRITEL,4,,MJD,
