time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54283.5,,,,,,15.8,,,"10,12",,MJD,
54285.44,B,,,0.034,,16.025,,kait4,5,,MJD,
54285.44,I,,,0.066,,15.866,,kait4,5,,MJD,
54285.44,R,,,0.042,,15.772,,kait4,5,,MJD,
54285.44,V,,,0.026,,15.873,,kait4,5,,MJD,
54288.46248,B,Standard,,0.0314,,15.7412,,,4,,MJD,
54289.39,B,,,0.038,,15.989,,kait4,5,,MJD,
54289.39,I,,,0.133,,16.055,,kait4,5,,MJD,
54289.39,R,,,0.083,,15.727,,kait4,5,,MJD,
54289.39,V,,,0.064,,15.812,,kait4,5,,MJD,
54291.44,B,,,0.029,,16.072,,kait4,5,,MJD,
54291.44,I,,,0.071,,16.122,,kait4,5,,MJD,
54291.44,R,,,0.037,,15.719,,kait4,5,,MJD,
54291.44,V,,,0.021,,15.851,,kait4,5,,MJD,
54292.43036,i',Standard,,0.0212,,16.3642,,,4,,MJD,
54292.43198,r',Standard,,0.0167,,15.7918,,,4,,MJD,
54292.43359,V,Standard,,0.0159,,15.7834,,,4,,MJD,
54292.43589,B,Standard,,0.0209,,15.9394,,,4,,MJD,
54292.43893,U,Standard,,0.0542,,15.9519,,,4,,MJD,
54292.46,H,,,0.18,,16.7,,PAIRITEL,2,,MJD,
54292.46,J,,,0.25,,16.58,,PAIRITEL,2,,MJD,
54293.47,B,,,0.025,,16.210,,kait4,5,,MJD,
54293.47,I,,,0.102,,16.282,,kait4,5,,MJD,
54293.47,R,,,0.047,,15.834,,kait4,5,,MJD,
54293.47,V,,,0.025,,15.920,,kait4,5,,MJD,
54295.45,B,,,0.030,,16.403,,kait4,5,,MJD,
54295.45,I,,,0.137,,16.560,,kait4,5,,MJD,
54295.45,R,,,0.087,,16.155,,kait4,5,,MJD,
54295.45,V,,,0.033,,16.034,,kait4,5,,MJD,
54297.45,B,,,0.026,,16.588,,kait4,5,,MJD,
54297.45,I,,,0.093,,16.620,,kait4,5,,MJD,
54297.45,R,,,0.052,,16.224,,kait4,5,,MJD,
54297.45,V,,,0.031,,16.150,,kait4,5,,MJD,
54297.45267,i',Standard,,0.0278,,16.9283,,,4,,MJD,
54297.45428,r',Standard,,0.0193,,16.2196,,,4,,MJD,
54297.45591,V,Standard,,0.0157,,16.0820,,,4,,MJD,
54297.45825,B,Standard,,0.0218,,16.3817,,,4,,MJD,
54297.46132,U,Standard,,0.0534,,16.5530,,,4,,MJD,
54298.44871,i',Standard,,0.0513,,17.0077,,,4,,MJD,
54298.45193,V,Standard,,0.0621,,16.1497,,,4,,MJD,
54298.45426,B,Standard,,0.0295,,16.4628,,,4,,MJD,
54300.41108,i',Standard,,0.0275,,16.9993,,,4,,MJD,
54300.41271,r',Standard,,0.0200,,16.4012,,,4,,MJD,
54300.41433,V,Standard,,0.0179,,16.2832,,,4,,MJD,
54300.41663,B,Standard,,0.0194,,16.7900,,,4,,MJD,
54300.41969,U,Standard,,0.0571,,16.9774,,,4,,MJD,
54301.48,B,,,0.078,,17.104,,kait4,5,,MJD,
54301.48,I,,,0.090,,16.642,,kait4,5,,MJD,
54301.48,R,,,0.056,,16.447,,kait4,5,,MJD,
54301.48,V,,,0.029,,16.412,,kait4,5,,MJD,
54303.45,B,,,0.046,,17.390,,kait4,5,,MJD,
54303.45,I,,,0.103,,16.562,,kait4,5,,MJD,
54303.45,R,,,0.054,,16.456,,kait4,5,,MJD,
54303.45,V,,,0.034,,16.496,,kait4,5,,MJD,
54306.48,B,,,0.051,,17.885,,kait4,5,,MJD,
54306.48,I,,,0.132,,16.468,,kait4,5,,MJD,
54306.48,R,,,0.079,,16.475,,kait4,5,,MJD,
54306.48,V,,,0.059,,16.726,,kait4,5,,MJD,
54308.39,B,,,0.099,,18.035,,kait4,5,,MJD,
54308.39,I,,,0.099,,16.384,,kait4,5,,MJD,
54308.39,R,,,0.100,,16.525,,kait4,5,,MJD,
54308.39,V,,,0.078,,16.865,,kait4,5,,MJD,
54310.37,B,,,0.162,,18.275,,kait4,5,,MJD,
54310.37,I,,,0.150,,16.477,,kait4,5,,MJD,
54310.37,R,,,0.128,,16.642,,kait4,5,,MJD,
54310.37,V,,,0.095,,17.034,,kait4,5,,MJD,
54310.45646,i',Standard,,0.0349,,16.7604,,,4,,MJD,
54310.45808,r',Standard,,0.0267,,16.7189,,,4,,MJD,
54310.45970,V,Standard,,0.0271,,17.0203,,,4,,MJD,
54310.46183,U,Standard,,0.2146,,18.3955,,,4,,MJD,
54310.46203,B,Standard,,0.0831,,18.0618,,,4,,MJD,
54311.46389,i',Standard,,0.0493,,16.8946,,,4,,MJD,
54311.46552,r',Standard,,0.0385,,16.7673,,,4,,MJD,
54311.46714,V,Standard,,0.0873,,17.2260,,,4,,MJD,
54312.41,B,,,0.129,,18.555,,kait4,5,,MJD,
54312.41,I,,,0.178,,16.631,,kait4,5,,MJD,
54312.41,R,,,0.103,,16.763,,kait4,5,,MJD,
54312.41,V,,,0.096,,17.214,,kait4,5,,MJD,
54312.44866,i',Standard,,0.0279,,16.8340,,,4,,MJD,
54312.45028,r',Standard,,0.0237,,16.8914,,,4,,MJD,
54312.45190,V,Standard,,0.0331,,17.2059,,,4,,MJD,
54312.45423,B,Standard,,0.0596,,18.0290,,,4,,MJD,
54312.45728,U,Standard,,0.2396,,18.4328,,,4,,MJD,
54313.43635,r',Standard,,0.0353,,16.9466,,,4,,MJD,
54313.44333,U,Standard,,0.2171,,18.5205,,,4,,MJD,
54317.39,B,,,0.133,,18.795,,kait4,5,,MJD,
54317.39,I,,,0.155,,16.972,,kait4,5,,MJD,
54317.39,R,,,0.107,,17.282,,kait4,5,,MJD,
54317.39,V,,,0.082,,17.611,,kait4,5,,MJD,
54320.39,B,,,0.106,,18.926,,kait4,5,,MJD,
54320.39,I,,,0.148,,17.090,,kait4,5,,MJD,
54320.39,R,,,0.110,,17.383,,kait4,5,,MJD,
54320.39,V,,,0.090,,17.759,,kait4,5,,MJD,
54323.14,B,,,0.076,,18.968,,nickel1,5,,MJD,
54323.14,I,,,0.022,,17.100,,nickel1,5,,MJD,
