time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54343.5,,,,,,15.7,,,"12,14",,MJD,
54346.29,B,,,0.01900,,16.07800,,kait4,"4,8",,MJD,
54346.29,I,,,0.04500,,15.83200,,kait4,"4,8",,MJD,
54346.29,R,,,0.01700,,15.70800,,kait4,"4,8",,MJD,
54346.29,V,,,0.01500,,16.00200,,kait4,"4,8",,MJD,
54346.43888,r',Standard,,0.0197,,15.7971,,,3,,MJD,
54346.46459,V,Standard,,0.0197,,15.8910,,,3,,MJD,
54346.46994,B,Standard,,0.0341,,16.0422,,,3,,MJD,
54348.30049,i',Standard,,0.0190,,16.0108,,,3,,MJD,
54348.30208,r',Standard,,0.0173,,15.6712,,,3,,MJD,
54348.30369,V,Standard,,0.0158,,15.7400,,,3,,MJD,
54348.30601,B,Standard,,0.0168,,15.8901,,,3,,MJD,
54348.30904,U,Standard,,0.1330,,16.0780,,,3,,MJD,
54348.34,I,,,0.01900,,15.70600,,kait4,"4,8",,MJD,
54348.34,R,,,0.01000,,15.53100,,kait4,"4,8",,MJD,
54348.34,V,,,0.01300,,15.77900,,kait4,"4,8",,MJD,
54349.44,B,,,0.01500,,15.88900,,kait4,"4,8",,MJD,
54349.44,I,,,0.01900,,15.67400,,kait4,"4,8",,MJD,
54349.44,R,,,0.01300,,15.49200,,kait4,"4,8",,MJD,
54349.44,V,,,0.01200,,15.75100,,kait4,"4,8",,MJD,
54351.40559,U,Standard,,0.0523,,16.0943,,,3,,MJD,
54351.40798,i',Standard,,0.0253,,16.0172,,,3,,MJD,
54351.40959,r',Standard,,0.0165,,15.5894,,,3,,MJD,
54351.41121,V,Standard,,0.0179,,15.6601,,,3,,MJD,
54351.41353,B,Standard,,0.0167,,15.9146,,,3,,MJD,
54352.13404,i',Standard,,0.0191,,16.0416,,,3,,MJD,
54352.14667,V,Standard,,0.0204,,15.6515,,,3,,MJD,
54352.14729,r',Standard,,0.0185,,15.5944,,,3,,MJD,
54352.15589,B,Standard,,0.0237,,16.0184,,,3,,MJD,
54352.16707,U,Standard,,0.0489,,16.2378,,,3,,MJD,
54353.33070,r',Standard,,0.0163,,15.6215,,,3,,MJD,
54353.33185,i',Standard,,0.0241,,16.0613,,,3,,MJD,
54353.33223,B,Standard,,0.0244,,16.0699,,,3,,MJD,
54353.34,B,,,0.01500,,16.02200,,kait4,"4,8",,MJD,
54353.34,I,,,0.01100,,15.72400,,kait4,"4,8",,MJD,
54353.34,R,,,0.01300,,15.48200,,kait4,"4,8",,MJD,
54353.34,V,,,0.01000,,15.73900,,kait4,"4,8",,MJD,
54353.34112,V,Standard,,0.0170,,15.6809,,,3,,MJD,
54353.37229,U,Standard,,0.0662,,16.3896,,,3,,MJD,
54354.28793,i',Standard,,0.0192,,16.1024,,,3,,MJD,
54354.28955,r',Standard,,0.0158,,15.6546,,,3,,MJD,
54354.29116,V,Standard,,0.0195,,15.7047,,,3,,MJD,
54354.29347,B,Standard,,0.0176,,16.1910,,,3,,MJD,
54354.29653,U,Standard,,0.0440,,16.4836,,,3,,MJD,
54355.29,B,,,0.01600,,16.30600,,kait4,"4,8",,MJD,
54355.29,I,,,0.02100,,15.88800,,kait4,"4,8",,MJD,
54355.29,R,,,0.01400,,15.64900,,kait4,"4,8",,MJD,
54355.29,V,,,0.01000,,15.82800,,kait4,"4,8",,MJD,
54355.32147,i',Standard,,0.0247,,16.2110,,,3,,MJD,
54355.32309,r',Standard,,0.0165,,15.7257,,,3,,MJD,
54355.32472,V,Standard,,0.0184,,15.7660,,,3,,MJD,
54355.32704,B,Standard,,0.0161,,16.3255,,,3,,MJD,
54355.33012,U,Standard,,0.0668,,16.6196,,,3,,MJD,
54356.31630,i',Standard,,0.0256,,16.2899,,,3,,MJD,
54356.31792,r',Standard,,0.0175,,15.7965,,,3,,MJD,
54356.31951,V,Standard,,0.0171,,15.8274,,,3,,MJD,
54356.32184,B,Standard,,0.0172,,16.4547,,,3,,MJD,
54356.32488,U,Standard,,0.0563,,16.8445,,,3,,MJD,
54357.32249,i',Standard,,0.0293,,16.3330,,,3,,MJD,
54357.32410,r',Standard,,0.0179,,15.8454,,,3,,MJD,
54357.32569,V,Standard,,0.0169,,15.8955,,,3,,MJD,
54357.32801,B,Standard,,0.0250,,16.5836,,,3,,MJD,
54357.33106,U,Standard,,0.0653,,17.0610,,,3,,MJD,
54357.38,B,,,0.01500,,16.60200,,kait4,"4,8",,MJD,
54357.38,I,,,0.01700,,16.00100,,kait4,"4,8",,MJD,
54357.38,R,,,0.01200,,15.81800,,kait4,"4,8",,MJD,
54357.38,V,,,0.01100,,15.99200,,kait4,"4,8",,MJD,
54358.34184,i',Standard,,0.0395,,16.3317,,,3,,MJD,
54358.34348,r',Standard,,0.0246,,15.8851,,,3,,MJD,
54358.34509,V,Standard,,0.0216,,15.9633,,,3,,MJD,
54358.34738,B,Standard,,0.0218,,16.7902,,,3,,MJD,
54359.32,B,,,0.02800,,16.89800,,kait4,"4,8",,MJD,
54359.32,I,,,0.01900,,16.03900,,kait4,"4,8",,MJD,
54359.32,R,,,0.01200,,15.94000,,kait4,"4,8",,MJD,
54359.32,V,,,0.01400,,16.15200,,kait4,"4,8",,MJD,
54361.25,B,,,0.03000,,17.20900,,kait4,"4,8",,MJD,
54361.25,I,,,0.01700,,16.02000,,kait4,"4,8",,MJD,
54361.25,R,,,0.01300,,16.01900,,kait4,"4,8",,MJD,
54361.25,V,,,0.01100,,16.30200,,kait4,"4,8",,MJD,
54361.37549,i',Standard,,0.0230,,16.3520,,,3,,MJD,
54361.37711,r',Standard,,0.0184,,16.0605,,,3,,MJD,
54361.37871,V,Standard,,0.0174,,16.2061,,,3,,MJD,
54361.38104,B,Standard,,0.0241,,17.2562,,,3,,MJD,
54361.38410,U,Standard,,0.0589,,17.6665,,,3,,MJD,
54363.22480,i',Standard,,0.0225,,16.3127,,,3,,MJD,
54363.22642,r',Standard,,0.0174,,16.1238,,,3,,MJD,
54363.22804,V,Standard,,0.0188,,16.3784,,,3,,MJD,
54363.23036,B,Standard,,0.0255,,17.5227,,,3,,MJD,
54363.23339,U,Standard,,0.1461,,18.2466,,,3,,MJD,
54363.41,B,,,0.05300,,17.47900,,kait4,"4,8",,MJD,
54363.41,I,,,0.04600,,15.91400,,kait4,"4,8",,MJD,
54363.41,R,,,0.01900,,16.07200,,kait4,"4,8",,MJD,
54363.41,V,,,0.01300,,16.44300,,kait4,"4,8",,MJD,
54367.25,B,,,0.07200,,18.01300,,kait4,"4,8",,MJD,
54367.25,I,,,0.01800,,15.97200,,kait4,"4,8",,MJD,
54367.25,R,,,0.01200,,16.23600,,kait4,"4,8",,MJD,
54367.25,V,,,0.01800,,16.77400,,kait4,"4,8",,MJD,
54368.13898,i',Standard,,0.0252,,16.3442,,,3,,MJD,
54368.14061,r',Standard,,0.0271,,16.4397,,,3,,MJD,
54368.14223,V,Standard,,0.0433,,16.7991,,,3,,MJD,
54368.14456,B,Standard,,0.0513,,17.9558,,,3,,MJD,
54371.25,B,,,0.07700,,18.33300,,kait4,"4,8",,MJD,
54371.25,I,,,0.03700,,16.36400,,kait4,"4,8",,MJD,
54371.25,R,,,0.02600,,16.75200,,kait4,"4,8",,MJD,
54371.25,V,,,0.03500,,17.29800,,kait4,"4,8",,MJD,
54372.39926,i',Standard,,0.0256,,16.7321,,,3,,MJD,
54372.40088,r',Standard,,0.0251,,16.8212,,,3,,MJD,
54372.40250,V,Standard,,0.0498,,17.0739,,,3,,MJD,
54372.40484,B,Standard,,0.0998,,18.4103,,,3,,MJD,
54373.25,B,,,0.06400,,18.42000,,kait4,"4,8",,MJD,
54373.25,I,,,0.03700,,16.45300,,kait4,"4,8",,MJD,
54373.25,R,,,0.02100,,16.82900,,kait4,"4,8",,MJD,
54373.25,V,,,0.03400,,17.38200,,kait4,"4,8",,MJD,
54375.27,B,,,0.06000,,18.61800,,kait4,"4,8",,MJD,
54375.27,I,,,0.03500,,16.61100,,kait4,"4,8",,MJD,
54375.27,R,,,0.02000,,16.90700,,kait4,"4,8",,MJD,
54375.27,V,,,0.02400,,17.48100,,kait4,"4,8",,MJD,
54375.37616,i',Standard,,0.0472,,16.8165,,,3,,MJD,
54377.25586,i',Standard,,0.0288,,17.1528,,,3,,MJD,
54377.25747,r',Standard,,0.0237,,17.2075,,,3,,MJD,
54377.25909,V,Standard,,0.0301,,17.5112,,,3,,MJD,
54377.26,B,,,0.05600,,18.68100,,kait4,"4,8",,MJD,
54377.26,I,,,0.03100,,16.73700,,kait4,"4,8",,MJD,
54377.26,R,,,0.01700,,17.08500,,kait4,"4,8",,MJD,
54377.26,V,,,0.03200,,17.60000,,kait4,"4,8",,MJD,
54377.26140,B,Standard,,0.0538,,18.8352,,,3,,MJD,
54377.26446,U,Standard,,0.3237,,19.3988,,,3,,MJD,
54379.21,B,,,0.04700,,18.76900,,kait4,"4,8",,MJD,
54379.21,I,,,0.03300,,16.90000,,kait4,"4,8",,MJD,
54379.21,R,,,0.01900,,17.18700,,kait4,"4,8",,MJD,
54379.21,V,,,0.03000,,17.70200,,kait4,"4,8",,MJD,
54379.23449,i',Standard,,0.0388,,17.2898,,,3,,MJD,
54379.23611,r',Standard,,0.0259,,17.3403,,,3,,MJD,
54379.23773,V,Standard,,0.0340,,17.6286,,,3,,MJD,
54379.24005,B,Standard,,0.0589,,18.8918,,,3,,MJD,
54379.24310,U,Standard,,0.2367,,19.2145,,,3,,MJD,
54380.10936,i',Standard,,0.0400,,17.2769,,,3,,MJD,
54380.11098,r',Standard,,0.0295,,17.3607,,,3,,MJD,
54380.11260,V,Standard,,0.0395,,17.6499,,,3,,MJD,
54380.11493,B,Standard,,0.0565,,18.9438,,,3,,MJD,
54380.11799,U,Standard,,0.3149,,19.3751,,,3,,MJD,
54381.13110,i',Standard,,0.0302,,17.4122,,,3,,MJD,
54381.13271,r',Standard,,0.0242,,17.4003,,,3,,MJD,
54381.13432,V,Standard,,0.0324,,17.6782,,,3,,MJD,
54381.13662,B,Standard,,0.0641,,18.9146,,,3,,MJD,
54381.13968,U,Standard,,0.2787,,19.3704,,,3,,MJD,
54381.20,B,,,0.05300,,18.89300,,kait4,"4,8",,MJD,
54381.20,I,,,0.03600,,17.12200,,kait4,"4,8",,MJD,
54381.20,R,,,0.90000,,17.35200,,kait4,"4,8",,MJD,
54381.20,V,,,0.03600,,17.83200,,kait4,"4,8",,MJD,
54383.21298,i',Standard,,0.0324,,17.5352,,,3,,MJD,
54383.21459,r',Standard,,0.0262,,17.4688,,,3,,MJD,
54383.21622,V,Standard,,0.0465,,17.7983,,,3,,MJD,
54383.21851,B,Standard,,0.0614,,18.9915,,,3,,MJD,
54383.22156,U,Standard,,0.3119,,19.4564,,,3,,MJD,
54384.26,B,,,0.05200,,18.85200,,kait4,"4,8",,MJD,
54384.26,I,,,0.03300,,17.19600,,kait4,"4,8",,MJD,
54384.26,R,,,0.03300,,17.39700,,kait4,"4,8",,MJD,
54384.26,V,,,0.03200,,17.87800,,kait4,"4,8",,MJD,
54387.24,B,,,0.05800,,18.93400,,kait4,"4,8",,MJD,
54387.24,I,,,0.04600,,17.36300,,kait4,"4,8",,MJD,
54387.24,R,,,0.02800,,17.55500,,kait4,"4,8",,MJD,
54387.24,V,,,0.03000,,18.03600,,kait4,"4,8",,MJD,
54390.26,B,,,0.14300,,19.14100,,kait4,"4,8",,MJD,
54390.26,V,,,0.07000,,18.10100,,kait4,"4,8",,MJD,
54400.33103,i',Standard,,0.0674,,18.1653,,,3,,MJD,
54400.33334,r',Standard,,0.0423,,18.1093,,,3,,MJD,
