time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54346.5,,,,,,20.0,,,"6,7",,MJD,
54357.431645,r',SDSS,8.371e-01,0.035,2.586e+01,20.363,SDSS,SDSS,2,μJy,MJD,
54357.432474,i',SDSS,1.083e+00,0.071,1.663e+01,20.829,SDSS,SDSS,2,μJy,MJD,
54357.433304,u',SDSS,1.424e+00,0.392,4.114e+00,22.415,SDSS,SDSS,2,μJy,MJD,True
54357.434133,z',SDSS,3.140e+00,0.543,3.284e+00,22.196,SDSS,SDSS,2,μJy,MJD,True
54357.434962,g',SDSS,5.705e-01,0.035,1.814e+01,20.733,SDSS,SDSS,2,μJy,MJD,
54362.481767,r',SDSS,7.883e-01,0.045,1.927e+01,20.682,SDSS,SDSS,2,μJy,MJD,
54362.482597,i',SDSS,1.118e+00,0.074,1.650e+01,20.837,SDSS,SDSS,2,μJy,MJD,
54362.483426,u',SDSS,1.371e+00,0.766,1.895e+00,23.198,SDSS,SDSS,2,μJy,MJD,True
54362.484256,z',SDSS,3.564e+00,0.342,1.041e+01,21.281,SDSS,SDSS,2,μJy,MJD,True
54362.485085,g',SDSS,5.186e-01,0.052,1.089e+01,21.287,SDSS,SDSS,2,μJy,MJD,
54376.477842,r',SDSS,8.212e-01,0.106,8.417e+00,21.579,SDSS,SDSS,2,μJy,MJD,
54376.478672,i',SDSS,1.177e+00,0.119,1.080e+01,21.296,SDSS,SDSS,2,μJy,MJD,
54376.479501,u',SDSS,1.860e+00,1.329,1.098e+00,23.676,SDSS,SDSS,2,μJy,MJD,True
54376.480330,z',SDSS,3.864e+00,0.230,1.797e+01,20.730,SDSS,SDSS,2,μJy,MJD,
54376.481160,g',SDSS,6.570e-01,0.170,4.238e+00,22.306,SDSS,SDSS,2,μJy,MJD,
54382.463393,r',SDSS,8.415e-01,0.121,7.560e+00,21.695,SDSS,SDSS,2,μJy,MJD,
54382.464222,i',SDSS,1.233e+00,0.169,7.977e+00,21.621,SDSS,SDSS,2,μJy,MJD,
54382.465051,u',SDSS,1.605e+00,1.127,1.262e+00,23.563,SDSS,SDSS,2,μJy,MJD,True
54382.465881,z',SDSS,4.297e+00,0.582,6.397e+00,21.724,SDSS,SDSS,2,μJy,MJD,True
54382.466710,g',SDSS,5.088e-01,0.247,2.200e+00,23.001,SDSS,SDSS,2,μJy,MJD,True
54385.481525,r',SDSS,7.689e-01,0.149,5.589e+00,22.020,SDSS,SDSS,2,μJy,MJD,
54385.482354,i',SDSS,1.143e+00,0.200,6.200e+00,21.890,SDSS,SDSS,2,μJy,MJD,
54385.483183,u',SDSS,1.559e+00,0.625,-2.843e+00,26.533,SDSS,SDSS,2,μJy,MJD,True
54385.484013,z',SDSS,3.659e+00,0.646,2.846e+00,22.274,SDSS,SDSS,2,μJy,MJD,True
54385.484842,g',SDSS,4.852e-01,0.193,2.709e+00,22.783,SDSS,SDSS,2,μJy,MJD,
54387.482037,r',SDSS,8.508e-01,0.137,6.763e+00,21.815,SDSS,SDSS,2,μJy,MJD,
54387.482866,i',SDSS,1.206e+00,0.178,7.375e+00,21.705,SDSS,SDSS,2,μJy,MJD,
54387.483695,u',SDSS,2.067e+00,1.147,-2.096e+00,26.229,SDSS,SDSS,2,μJy,MJD,True
54387.484525,z',SDSS,3.923e+00,0.317,1.282e+01,21.077,SDSS,SDSS,2,μJy,MJD,
54387.485354,g',SDSS,5.301e-01,0.364,1.513e+00,23.385,SDSS,SDSS,2,μJy,MJD,True
54390.474481,r',SDSS,1.521e+00,0.192,8.702e+00,21.543,SDSS,SDSS,2,μJy,MJD,True
54390.475310,i',SDSS,1.908e+00,0.380,5.557e+00,22.006,SDSS,SDSS,2,μJy,MJD,True
54390.476139,u',SDSS,2.677e+00,1.796,-4.292e-01,25.097,SDSS,SDSS,2,μJy,MJD,True
54390.476969,z',SDSS,7.768e+00,1.278,-5.329e-03,22.834,SDSS,SDSS,2,μJy,MJD,True
54390.477798,g',SDSS,7.565e-01,0.235,3.526e+00,22.503,SDSS,SDSS,2,μJy,MJD,True
54391.483168,r',SDSS,1.238e+00,0.208,6.535e+00,21.852,SDSS,SDSS,2,μJy,MJD,True
54391.483997,i',SDSS,1.675e+00,0.341,5.392e+00,22.038,SDSS,SDSS,2,μJy,MJD,True
54391.484827,u',SDSS,2.467e+00,1.712,-4.368e-01,25.104,SDSS,SDSS,2,μJy,MJD,True
54391.485656,z',SDSS,6.459e+00,0.369,1.917e+01,20.663,SDSS,SDSS,2,μJy,MJD,True
54391.486485,g',SDSS,7.243e-01,0.315,2.504e+00,22.866,SDSS,SDSS,2,μJy,MJD,True
54394.464957,r',SDSS,2.087e+00,0.180,1.275e+01,21.130,SDSS,SDSS,2,μJy,MJD,True
54394.465786,i',SDSS,2.181e+00,1.411,1.413e-02,24.350,SDSS,SDSS,2,μJy,MJD,True
54394.466616,u',SDSS,2.722e+00,0.521,6.222e+00,21.975,SDSS,SDSS,2,μJy,MJD,True
54394.468274,g',SDSS,9.023e-01,0.486,2.052e+00,23.074,SDSS,SDSS,2,μJy,MJD,True
54396.485536,r',SDSS,1.322e+00,0.314,4.640e+00,22.219,SDSS,SDSS,2,μJy,MJD,True
54396.486365,i',SDSS,1.769e+00,0.704,2.703e+00,22.746,SDSS,SDSS,2,μJy,MJD,True
54396.487195,u',SDSS,2.840e+00,1.361,2.789e+00,22.818,SDSS,SDSS,2,μJy,MJD,True
54396.488024,z',SDSS,7.406e+00,0.830,-9.313e+00,24.277,SDSS,SDSS,2,μJy,MJD,True
54396.488853,g',SDSS,7.952e-01,0.253,3.447e+00,22.527,SDSS,SDSS,2,μJy,MJD,True
54402.475923,r',SDSS,1.831e+00,0.776,2.790e+00,22.756,SDSS,SDSS,2,μJy,MJD,True
54402.476753,i',SDSS,1.754e+00,0.981,1.613e+00,23.222,SDSS,SDSS,2,μJy,MJD,True
54402.477582,u',SDSS,5.498e+00,2.533,1.245e+00,23.574,SDSS,SDSS,2,μJy,MJD,True
54402.478411,z',SDSS,5.325e+00,0.947,1.480e+00,22.533,SDSS,SDSS,2,μJy,MJD,True
54402.479240,g',SDSS,1.741e+00,1.447,1.542e+00,23.366,SDSS,SDSS,2,μJy,MJD,True
54408.390094,r',SDSS,7.188e-01,0.213,3.629e+00,22.480,SDSS,SDSS,2,μJy,MJD,
54408.390924,i',SDSS,1.073e+00,0.330,3.415e+00,22.512,SDSS,SDSS,2,μJy,MJD,
54408.391753,u',SDSS,1.411e+00,1.029,-1.144e+00,25.689,SDSS,SDSS,2,μJy,MJD,True
54408.392582,z',SDSS,3.290e+00,0.496,5.061e+00,21.910,SDSS,SDSS,2,μJy,MJD,True
54408.393411,g',SDSS,4.646e-01,0.400,1.141e+00,23.660,SDSS,SDSS,2,μJy,MJD,True
54411.348169,r',SDSS,8.160e-01,0.234,3.761e+00,22.442,SDSS,SDSS,2,μJy,MJD,
54411.348998,i',SDSS,1.122e+00,0.293,4.078e+00,22.330,SDSS,SDSS,2,μJy,MJD,
54411.350657,z',SDSS,5.295e+00,0.733,6.260e+00,21.742,SDSS,SDSS,2,μJy,MJD,True
54411.351486,g',SDSS,5.533e-01,0.345,1.690e+00,23.273,SDSS,SDSS,2,μJy,MJD,True
54413.389134,r',SDSS,1.222e+00,0.604,2.212e+00,22.994,SDSS,SDSS,2,μJy,MJD,True
54413.389963,i',SDSS,1.661e+00,0.462,3.927e+00,22.369,SDSS,SDSS,2,μJy,MJD,True
54413.390793,u',SDSS,2.452e+00,1.667,8.716e-01,23.846,SDSS,SDSS,2,μJy,MJD,True
54413.391622,z',SDSS,6.615e+00,1.123,-1.538e+00,23.144,SDSS,SDSS,2,μJy,MJD,True
54413.392451,g',SDSS,6.479e-01,0.699,8.458e-01,23.932,SDSS,SDSS,2,μJy,MJD,True
54415.400619,r',SDSS,7.234e-01,0.330,2.294e+00,22.957,SDSS,SDSS,2,μJy,MJD,
54415.401448,i',SDSS,1.081e+00,0.372,3.007e+00,22.640,SDSS,SDSS,2,μJy,MJD,True
54415.402278,u',SDSS,1.459e+00,1.085,-1.059e+00,25.628,SDSS,SDSS,2,μJy,MJD,True
54415.403107,z',SDSS,3.422e+00,0.656,-8.038e-01,22.997,SDSS,SDSS,2,μJy,MJD,True
54415.403936,g',SDSS,4.615e-01,0.311,1.530e+00,23.374,SDSS,SDSS,2,μJy,MJD,
54418.389243,r',SDSS,8.792e-01,0.340,2.771e+00,22.763,SDSS,SDSS,2,μJy,MJD,
54418.390073,i',SDSS,1.306e+00,0.438,3.146e+00,22.595,SDSS,SDSS,2,μJy,MJD,True
54418.390902,u',SDSS,1.824e+00,0.895,2.369e+00,22.982,SDSS,SDSS,2,μJy,MJD,True
54418.391731,z',SDSS,4.364e+00,0.803,1.352e+00,22.558,SDSS,SDSS,2,μJy,MJD,True
54418.392561,g',SDSS,5.428e-01,0.222,2.640e+00,22.810,SDSS,SDSS,2,μJy,MJD,
54422.393679,r',SDSS,9.838e-01,0.352,3.023e+00,22.673,SDSS,SDSS,2,μJy,MJD,True
54422.394508,i',SDSS,1.552e+00,0.435,3.878e+00,22.382,SDSS,SDSS,2,μJy,MJD,True
54422.395337,u',SDSS,2.086e+00,1.419,-1.266e+00,25.771,SDSS,SDSS,2,μJy,MJD,True
54422.396167,z',SDSS,5.890e+00,0.769,-7.073e+00,24.027,SDSS,SDSS,2,μJy,MJD,True
54422.396996,g',SDSS,6.310e-01,0.350,1.930e+00,23.137,SDSS,SDSS,2,μJy,MJD,True
54424.329668,r',SDSS,9.833e-01,0.265,4.042e+00,22.366,SDSS,SDSS,2,μJy,MJD,
54424.330497,i',SDSS,1.249e+00,0.910,4.660e-01,23.977,SDSS,SDSS,2,μJy,MJD,True
54424.331326,u',SDSS,2.084e+00,1.516,-7.050e-01,25.347,SDSS,SDSS,2,μJy,MJD,True
