time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54346.152981,r',SDSS,9.252e-01,0.184,5.446e+00,22.048,SDSS,SDSS,2,μJy,MJD,
54346.153810,i',SDSS,1.304e+00,0.449,3.040e+00,22.630,SDSS,SDSS,2,μJy,MJD,True
54346.154640,u',SDSS,1.966e+00,1.190,1.716e+00,23.291,SDSS,SDSS,2,μJy,MJD,True
54346.155469,z',SDSS,4.263e+00,0.637,5.228e+00,21.886,SDSS,SDSS,2,μJy,MJD,True
54346.156298,g',SDSS,6.102e-01,0.225,2.894e+00,22.713,SDSS,SDSS,2,μJy,MJD,
54348.172057,r',SDSS,9.695e-01,0.195,5.390e+00,22.059,SDSS,SDSS,2,μJy,MJD,
54348.172887,i',SDSS,1.416e+00,0.493,3.028e+00,22.634,SDSS,SDSS,2,μJy,MJD,True
54348.174545,z',SDSS,4.837e+00,0.816,3.336e+00,22.188,SDSS,SDSS,2,μJy,MJD,True
54356.193743,r',SDSS,7.167e-01,0.148,5.231e+00,22.091,SDSS,SDSS,2,μJy,MJD,
54356.194572,i',SDSS,1.100e+00,0.208,5.697e+00,21.979,SDSS,SDSS,2,μJy,MJD,
54356.195401,u',SDSS,1.514e+00,1.260,3.238e-02,24.632,SDSS,SDSS,2,μJy,MJD,True
54356.196230,z',SDSS,3.518e+00,0.526,5.187e+00,21.892,SDSS,SDSS,2,μJy,MJD,True
54356.197060,g',SDSS,5.017e-01,0.343,1.488e+00,23.402,SDSS,SDSS,2,μJy,MJD,True
54357.141050,r',SDSS,7.389e-01,0.250,3.142e+00,22.632,SDSS,SDSS,2,μJy,MJD,
54357.141879,i',SDSS,1.148e+00,0.219,5.644e+00,21.989,SDSS,SDSS,2,μJy,MJD,
54357.143538,z',SDSS,3.342e+00,0.490,5.403e+00,21.860,SDSS,SDSS,2,μJy,MJD,True
54357.144367,g',SDSS,4.744e-01,0.477,9.019e-01,23.876,SDSS,SDSS,2,μJy,MJD,True
54358.138588,r',SDSS,1.008e+00,0.286,3.820e+00,22.426,SDSS,SDSS,2,μJy,MJD,True
54358.139417,i',SDSS,1.374e+00,0.317,4.663e+00,22.191,SDSS,SDSS,2,μJy,MJD,True
54358.140246,u',SDSS,2.192e+00,1.303,1.798e+00,23.248,SDSS,SDSS,2,μJy,MJD,True
54358.141075,z',SDSS,4.319e+00,0.729,3.465e+00,22.165,SDSS,SDSS,2,μJy,MJD,True
54358.141904,g',SDSS,6.283e-01,0.618,9.600e-01,23.820,SDSS,SDSS,2,μJy,MJD,True
54365.138546,r',SDSS,1.073e+00,0.554,2.064e+00,23.063,SDSS,SDSS,2,μJy,MJD,True
54365.139375,i',SDSS,1.445e+00,0.536,2.827e+00,22.702,SDSS,SDSS,2,μJy,MJD,True
54365.141033,z',SDSS,4.318e+00,0.426,1.021e+01,21.300,SDSS,SDSS,2,μJy,MJD,True
54365.141862,g',SDSS,1.204e+00,1.468,-3.926e-01,25.749,SDSS,SDSS,2,μJy,MJD,True
54366.130728,r',SDSS,1.861e+00,1.526,9.446e-01,23.778,SDSS,SDSS,2,μJy,MJD,True
54366.131557,i',SDSS,1.894e+00,0.883,2.234e+00,22.929,SDSS,SDSS,2,μJy,MJD,True
54366.132387,u',SDSS,4.284e+00,2.293,2.468e-02,24.640,SDSS,SDSS,2,μJy,MJD,True
54366.133216,z',SDSS,5.068e+00,0.501,1.034e+01,21.289,SDSS,SDSS,2,μJy,MJD,True
54366.134045,g',SDSS,2.175e+00,1.202,-2.469e+00,27.355,SDSS,SDSS,2,μJy,MJD,True
54379.179722,r',SDSS,8.055e-01,0.675,1.024e+00,23.712,SDSS,SDSS,2,μJy,MJD,True
54379.180551,i',SDSS,1.160e+00,0.811,7.766e-01,23.741,SDSS,SDSS,2,μJy,MJD,True
54379.182210,z',SDSS,3.783e+00,0.648,-3.343e+00,23.479,SDSS,SDSS,2,μJy,MJD,True
54379.183039,g',SDSS,4.977e-01,0.776,4.705e-02,25.038,SDSS,SDSS,2,μJy,MJD,True
54382.179011,r',SDSS,1.184e+00,0.979,-1.087e+00,25.942,SDSS,SDSS,2,μJy,MJD,True
54382.179840,i',SDSS,1.668e+00,1.037,1.177e+00,23.471,SDSS,SDSS,2,μJy,MJD,True
54382.180669,u',SDSS,3.027e+00,0.460,7.428e+00,21.785,SDSS,SDSS,2,μJy,MJD,True
54382.181498,z',SDSS,5.957e+00,0.675,8.855e+00,21.436,SDSS,SDSS,2,μJy,MJD,True
54382.182327,g',SDSS,7.661e-01,0.468,1.738e+00,23.245,SDSS,SDSS,2,μJy,MJD,True
54383.184873,r',SDSS,8.381e-01,0.517,1.624e+00,23.298,SDSS,SDSS,2,μJy,MJD,True
54383.185702,i',SDSS,1.190e+00,0.830,7.752e-01,23.742,SDSS,SDSS,2,μJy,MJD,True
54383.186531,u',SDSS,1.857e+00,0.524,3.937e+00,22.461,SDSS,SDSS,2,μJy,MJD,True
54383.187361,z',SDSS,4.125e+00,0.743,-2.242e+00,23.280,SDSS,SDSS,2,μJy,MJD,True
54383.188190,g',SDSS,5.262e-01,0.570,-8.089e-01,26.266,SDSS,SDSS,2,μJy,MJD,True
54385.186919,r',SDSS,8.219e-01,0.843,5.411e-01,24.163,SDSS,SDSS,2,μJy,MJD,True
54385.187749,i',SDSS,1.202e+00,0.888,-3.939e-01,24.690,SDSS,SDSS,2,μJy,MJD,True
54385.189407,z',SDSS,3.774e+00,0.615,4.075e+00,22.063,SDSS,SDSS,2,μJy,MJD,True
54385.190236,g',SDSS,4.956e-01,0.755,1.926e-01,24.796,SDSS,SDSS,2,μJy,MJD,True
