time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54348.169091,r',SDSS,1.749e+00,0.065,2.948e+01,20.221,SDSS,SDSS,2,μJy,MJD,True
54348.169920,i',SDSS,1.925e+00,0.083,2.554e+01,20.363,SDSS,SDSS,2,μJy,MJD,True
54357.138073,r',SDSS,1.215e+00,0.039,3.438e+01,20.054,SDSS,SDSS,2,μJy,MJD,True
54357.138902,i',SDSS,1.581e+00,0.068,2.559e+01,20.361,SDSS,SDSS,2,μJy,MJD,True
54357.141390,g',SDSS,8.969e-01,0.036,2.769e+01,20.274,SDSS,SDSS,2,μJy,MJD,
54365.135563,r',SDSS,1.216e+00,0.055,2.410e+01,20.440,SDSS,SDSS,2,μJy,MJD,True
54365.136392,i',SDSS,1.626e+00,0.097,1.847e+01,20.714,SDSS,SDSS,2,μJy,MJD,True
54365.138050,z',SDSS,4.914e+00,0.346,1.512e+01,20.909,SDSS,SDSS,2,μJy,MJD,True
54365.138880,g',SDSS,1.792e+00,0.129,1.533e+01,20.916,SDSS,SDSS,2,μJy,MJD,True
54379.176731,r',SDSS,1.126e+00,0.088,1.402e+01,21.027,SDSS,SDSS,2,μJy,MJD,True
54379.177560,i',SDSS,1.562e+00,0.117,1.458e+01,20.970,SDSS,SDSS,2,μJy,MJD,True
54379.179219,z',SDSS,5.421e+00,0.225,2.626e+01,20.331,SDSS,SDSS,2,μJy,MJD,True
54379.180048,g',SDSS,6.856e-01,0.214,3.495e+00,22.512,SDSS,SDSS,2,μJy,MJD,True
54385.183925,r',SDSS,1.198e+00,0.110,1.193e+01,21.202,SDSS,SDSS,2,μJy,MJD,True
54385.184755,i',SDSS,1.636e+00,0.112,1.607e+01,20.865,SDSS,SDSS,2,μJy,MJD,True
54385.187242,g',SDSS,7.336e-01,0.365,2.184e+00,23.009,SDSS,SDSS,2,μJy,MJD,True
54387.184155,r',SDSS,1.443e+00,0.141,1.122e+01,21.268,SDSS,SDSS,2,μJy,MJD,True
54387.184985,i',SDSS,1.973e+00,0.171,1.270e+01,21.120,SDSS,SDSS,2,μJy,MJD,True
54387.186643,z',SDSS,6.476e+00,0.385,1.841e+01,20.706,SDSS,SDSS,2,μJy,MJD,True
54392.178352,r',SDSS,2.214e+00,0.214,1.139e+01,21.252,SDSS,SDSS,2,μJy,MJD,True
54392.179181,i',SDSS,2.768e+00,0.993,3.378e+00,22.523,SDSS,SDSS,2,μJy,MJD,True
54392.181669,g',SDSS,2.306e+00,2.156,3.298e-01,24.580,SDSS,SDSS,2,μJy,MJD,True
54394.166126,r',SDSS,1.789e+00,0.280,7.073e+00,21.767,SDSS,SDSS,2,μJy,MJD,True
54394.166955,i',SDSS,2.332e+00,0.196,1.309e+01,21.087,SDSS,SDSS,2,μJy,MJD,True
54394.168614,z',SDSS,7.508e+00,0.388,2.143e+01,20.546,SDSS,SDSS,2,μJy,MJD,True
54394.169443,g',SDSS,1.571e+00,1.328,1.465e+00,23.417,SDSS,SDSS,2,μJy,MJD,True
54402.176091,r',SDSS,1.552e+00,0.562,3.129e+00,22.636,SDSS,SDSS,2,μJy,MJD,True
54402.176920,i',SDSS,1.790e+00,0.382,5.167e+00,22.083,SDSS,SDSS,2,μJy,MJD,True
54402.178578,z',SDSS,5.482e+00,0.801,-5.538e+00,23.825,SDSS,SDSS,2,μJy,MJD,True
54402.179407,g',SDSS,1.825e+00,1.923,5.029e-02,25.033,SDSS,SDSS,2,μJy,MJD,True
54404.093998,r',SDSS,1.046e+00,0.213,5.351e+00,22.067,SDSS,SDSS,2,μJy,MJD,True
54404.094827,i',SDSS,1.598e+00,0.185,9.477e+00,21.436,SDSS,SDSS,2,μJy,MJD,True
54404.097314,g',SDSS,6.781e-01,0.470,1.527e+00,23.376,SDSS,SDSS,2,μJy,MJD,True
54408.089565,r',SDSS,8.992e-01,0.293,3.314e+00,22.576,SDSS,SDSS,2,μJy,MJD,True
54408.090394,i',SDSS,1.324e+00,0.245,5.866e+00,21.949,SDSS,SDSS,2,μJy,MJD,True
54408.092053,z',SDSS,4.629e+00,0.582,7.323e+00,21.608,SDSS,SDSS,2,μJy,MJD,True
54408.092882,g',SDSS,5.883e-01,0.484,1.230e+00,23.588,SDSS,SDSS,2,μJy,MJD,True
54410.090059,r',SDSS,1.328e+00,0.398,3.692e+00,22.462,SDSS,SDSS,2,μJy,MJD,True
54410.090889,i',SDSS,1.875e+00,0.546,3.804e+00,22.402,SDSS,SDSS,2,μJy,MJD,True
54410.092547,z',SDSS,5.722e+00,1.015,-6.190e-01,22.959,SDSS,SDSS,2,μJy,MJD,True
54410.093376,g',SDSS,1.077e+00,0.778,1.570e+00,23.348,SDSS,SDSS,2,μJy,MJD,True
54413.088895,i',SDSS,1.820e+00,0.358,5.616e+00,21.995,SDSS,SDSS,2,μJy,MJD,True
