time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54357.291265,r',SDSS,8.007e-01,0.082,1.057e+01,21.333,SDSS,SDSS,2,μJy,MJD,
54357.292094,i',SDSS,1.164e+00,0.113,1.108e+01,21.267,SDSS,SDSS,2,μJy,MJD,
54357.292924,u',SDSS,1.770e+00,0.140,1.411e+01,21.092,SDSS,SDSS,2,μJy,MJD,
54357.293753,z',SDSS,3.649e+00,0.543,5.160e+00,21.896,SDSS,SDSS,2,μJy,MJD,True
54357.294582,g',SDSS,6.366e-01,0.045,1.552e+01,20.902,SDSS,SDSS,2,μJy,MJD,
54362.342718,u',SDSS,1.830e+00,0.269,7.660e+00,21.752,SDSS,SDSS,2,μJy,MJD,
54362.343547,z',SDSS,4.263e+00,0.574,6.386e+00,21.726,SDSS,SDSS,2,μJy,MJD,True
54362.344376,g',SDSS,6.040e-01,0.049,1.336e+01,21.065,SDSS,SDSS,2,μJy,MJD,
54379.331123,r',SDSS,8.588e-01,0.200,4.625e+00,22.223,SDSS,SDSS,2,μJy,MJD,
54379.331952,i',SDSS,1.179e+00,0.223,5.659e+00,21.987,SDSS,SDSS,2,μJy,MJD,
54379.332782,u',SDSS,1.779e+00,1.376,5.431e-01,24.127,SDSS,SDSS,2,μJy,MJD,True
54379.333611,z',SDSS,3.787e+00,0.354,1.064e+01,21.260,SDSS,SDSS,2,μJy,MJD,True
54379.334440,g',SDSS,5.075e-01,0.246,2.185e+00,23.009,SDSS,SDSS,2,μJy,MJD,
54382.321215,r',SDSS,9.925e-01,0.203,5.292e+00,22.079,SDSS,SDSS,2,μJy,MJD,
54382.322044,i',SDSS,1.516e+00,0.244,6.697e+00,21.808,SDSS,SDSS,2,μJy,MJD,
54382.322873,u',SDSS,2.124e+00,1.415,1.355e+00,23.502,SDSS,SDSS,2,μJy,MJD,True
54382.323702,z',SDSS,5.533e+00,0.570,9.786e+00,21.341,SDSS,SDSS,2,μJy,MJD,True
54382.324532,g',SDSS,6.182e-01,0.559,1.088e+00,23.705,SDSS,SDSS,2,μJy,MJD,True
54385.338695,r',SDSS,7.674e-01,0.220,3.732e+00,22.451,SDSS,SDSS,2,μJy,MJD,
54385.339524,i',SDSS,1.146e+00,0.196,6.259e+00,21.880,SDSS,SDSS,2,μJy,MJD,
54385.340354,u',SDSS,1.646e+00,0.620,-3.027e+00,26.597,SDSS,SDSS,2,μJy,MJD,True
54385.341183,z',SDSS,3.967e+00,0.751,-3.568e-01,22.906,SDSS,SDSS,2,μJy,MJD,True
54385.342012,g',SDSS,5.220e-01,0.637,6.448e-01,24.155,SDSS,SDSS,2,μJy,MJD,True
54387.339462,r',SDSS,8.903e-01,0.261,3.662e+00,22.471,SDSS,SDSS,2,μJy,MJD,
54387.340291,i',SDSS,1.307e+00,0.366,3.775e+00,22.410,SDSS,SDSS,2,μJy,MJD,True
54387.341120,u',SDSS,1.862e+00,1.296,-1.226e+00,25.744,SDSS,SDSS,2,μJy,MJD,True
54387.341950,z',SDSS,4.949e+00,0.649,6.791e+00,21.674,SDSS,SDSS,2,μJy,MJD,True
