time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54346.341009,r',SDSS,2.140e+00,0.603,-4.144e+00,27.264,SDSS,SDSS,2,μJy,MJD,True
54346.341838,i',SDSS,2.435e+00,0.752,-3.769e+00,26.313,SDSS,SDSS,2,μJy,MJD,True
54346.342668,u',SDSS,4.797e+00,0.436,1.272e+01,21.205,SDSS,SDSS,2,μJy,MJD,True
54346.343497,z',SDSS,6.237e+00,0.620,-1.070e+01,24.410,SDSS,SDSS,2,μJy,MJD,True
54346.344326,g',SDSS,1.648e+00,1.432,1.404e+00,23.459,SDSS,SDSS,2,μJy,MJD,True
54348.371561,r',SDSS,1.268e+00,1.273,-8.689e-02,24.911,SDSS,SDSS,2,μJy,MJD,True
54348.372391,i',SDSS,1.567e+00,1.071,6.734e-01,23.817,SDSS,SDSS,2,μJy,MJD,True
54348.373220,u',SDSS,2.628e+00,1.284,-2.594e+00,26.440,SDSS,SDSS,2,μJy,MJD,True
54348.374049,z',SDSS,6.502e+00,0.591,-1.194e+01,24.519,SDSS,SDSS,2,μJy,MJD,True
54348.374879,g',SDSS,1.089e+00,1.107,-9.987e-01,26.452,SDSS,SDSS,2,μJy,MJD,True
54358.327827,r',SDSS,1.324e+00,0.601,2.444e+00,22.892,SDSS,SDSS,2,μJy,MJD,True
54358.328656,i',SDSS,1.751e+00,1.136,9.060e-01,23.649,SDSS,SDSS,2,μJy,MJD,True
54358.329485,u',SDSS,2.295e+00,1.534,1.216e+00,23.593,SDSS,SDSS,2,μJy,MJD,True
54358.330315,z',SDSS,5.608e+00,0.964,-2.470e+00,23.323,SDSS,SDSS,2,μJy,MJD,True
54358.331144,g',SDSS,8.285e-01,0.806,1.023e+00,23.762,SDSS,SDSS,2,μJy,MJD,True
54359.322214,r',SDSS,2.125e+00,0.908,2.888e+00,22.720,SDSS,SDSS,2,μJy,MJD,True
54359.323044,i',SDSS,2.829e+00,1.536,-1.529e+00,25.457,SDSS,SDSS,2,μJy,MJD,True
54359.323873,u',SDSS,3.987e+00,2.021,-2.378e+00,26.353,SDSS,SDSS,2,μJy,MJD,True
54359.324702,z',SDSS,1.053e+01,0.821,1.545e+01,20.887,SDSS,SDSS,2,μJy,MJD,True
54359.325532,g',SDSS,1.410e+00,1.481,8.987e-01,23.879,SDSS,SDSS,2,μJy,MJD,True
54365.361201,r',SDSS,1.081e+00,0.102,1.154e+01,21.239,SDSS,SDSS,2,μJy,MJD,True
54365.362030,i',SDSS,1.460e+00,0.095,1.687e+01,20.813,SDSS,SDSS,2,μJy,MJD,True
54365.362859,u',SDSS,1.624e+00,0.423,4.286e+00,22.372,SDSS,SDSS,2,μJy,MJD,True
54365.363689,z',SDSS,4.408e+00,0.712,4.221e+00,22.040,SDSS,SDSS,2,μJy,MJD,True
54365.364518,g',SDSS,7.106e-01,0.084,9.173e+00,21.472,SDSS,SDSS,2,μJy,MJD,True
54381.381191,r',SDSS,1.377e+00,0.053,2.850e+01,20.258,SDSS,SDSS,2,μJy,MJD,True
54381.382020,i',SDSS,1.619e+00,0.080,2.219e+01,20.516,SDSS,SDSS,2,μJy,MJD,True
54381.382850,u',SDSS,2.022e+00,0.519,4.460e+00,22.330,SDSS,SDSS,2,μJy,MJD,True
54381.383679,z',SDSS,5.129e+00,0.288,1.961e+01,20.639,SDSS,SDSS,2,μJy,MJD,True
54381.384508,g',SDSS,8.210e-01,0.056,1.594e+01,20.873,SDSS,SDSS,2,μJy,MJD,True
54384.387611,r',SDSS,1.179e+00,0.059,2.188e+01,20.545,SDSS,SDSS,2,μJy,MJD,True
54384.388441,i',SDSS,1.495e+00,0.074,2.209e+01,20.521,SDSS,SDSS,2,μJy,MJD,True
54384.389270,u',SDSS,1.862e+00,0.574,3.704e+00,22.525,SDSS,SDSS,2,μJy,MJD,True
54384.390099,z',SDSS,4.583e+00,0.355,1.381e+01,21.001,SDSS,SDSS,2,μJy,MJD,True
54384.390928,g',SDSS,7.720e-01,0.097,8.654e+00,21.535,SDSS,SDSS,2,μJy,MJD,True
54386.373262,r',SDSS,2.565e+00,0.118,2.386e+01,20.451,SDSS,SDSS,2,μJy,MJD,True
54386.374091,i',SDSS,2.356e+00,0.108,2.409e+01,20.427,SDSS,SDSS,2,μJy,MJD,True
54386.374920,u',SDSS,3.745e+00,1.321,4.083e+00,22.423,SDSS,SDSS,2,μJy,MJD,True
54386.376579,g',SDSS,1.044e+00,0.181,6.280e+00,21.882,SDSS,SDSS,2,μJy,MJD,True
54388.377750,r',SDSS,1.179e+00,0.072,1.784e+01,20.766,SDSS,SDSS,2,μJy,MJD,True
54388.378579,i',SDSS,1.428e+00,0.079,1.995e+01,20.631,SDSS,SDSS,2,μJy,MJD,True
54388.379408,u',SDSS,1.903e+00,1.445,5.130e-01,24.155,SDSS,SDSS,2,μJy,MJD,True
54388.380238,z',SDSS,4.339e+00,0.291,1.613e+01,20.843,SDSS,SDSS,2,μJy,MJD,True
54388.381067,g',SDSS,7.330e-01,0.135,5.863e+00,21.956,SDSS,SDSS,2,μJy,MJD,True
54393.381047,r',SDSS,1.198e+00,0.087,1.497e+01,20.957,SDSS,SDSS,2,μJy,MJD,True
54393.381876,i',SDSS,1.552e+00,0.108,1.579e+01,20.885,SDSS,SDSS,2,μJy,MJD,True
54393.382705,u',SDSS,2.180e+00,1.523,-9.684e-01,25.560,SDSS,SDSS,2,μJy,MJD,True
54393.383534,z',SDSS,5.479e+00,0.556,1.025e+01,21.297,SDSS,SDSS,2,μJy,MJD,True
54393.384363,g',SDSS,7.724e-01,0.194,4.320e+00,22.285,SDSS,SDSS,2,μJy,MJD,True
54396.244685,r',SDSS,2.564e+00,0.268,1.064e+01,21.326,SDSS,SDSS,2,μJy,MJD,True
54396.245515,i',SDSS,2.818e+00,0.302,1.042e+01,21.334,SDSS,SDSS,2,μJy,MJD,True
54396.246344,u',SDSS,5.904e+00,2.501,-2.873e+00,26.543,SDSS,SDSS,2,μJy,MJD,True
54396.247173,z',SDSS,6.326e+00,0.380,1.850e+01,20.700,SDSS,SDSS,2,μJy,MJD,True
54396.248002,g',SDSS,2.180e+00,0.363,6.718e+00,21.809,SDSS,SDSS,2,μJy,MJD,True
54403.291049,r',SDSS,1.668e+00,0.415,4.505e+00,22.251,SDSS,SDSS,2,μJy,MJD,True
54403.291879,i',SDSS,1.746e+00,0.173,1.108e+01,21.267,SDSS,SDSS,2,μJy,MJD,True
54403.292708,u',SDSS,3.184e+00,1.961,-6.991e-01,25.342,SDSS,SDSS,2,μJy,MJD,True
54403.293537,z',SDSS,5.019e+00,0.304,1.811e+01,20.722,SDSS,SDSS,2,μJy,MJD,True
54403.294366,g',SDSS,1.299e+00,1.477,6.589e-01,24.138,SDSS,SDSS,2,μJy,MJD,True
54404.350021,u',SDSS,4.546e+00,2.181,2.539e+00,22.913,SDSS,SDSS,2,μJy,MJD,True
54404.350850,z',SDSS,6.777e+00,1.157,-2.870e-01,22.892,SDSS,SDSS,2,μJy,MJD,True
54405.347162,i',SDSS,1.650e+00,0.134,1.355e+01,21.050,SDSS,SDSS,2,μJy,MJD,True
54405.347991,u',SDSS,4.382e+00,2.317,-1.027e-01,24.771,SDSS,SDSS,2,μJy,MJD,True
54405.348820,z',SDSS,5.605e+00,0.506,1.181e+01,21.158,SDSS,SDSS,2,μJy,MJD,True
54405.349650,g',SDSS,1.334e+00,0.479,3.135e+00,22.628,SDSS,SDSS,2,μJy,MJD,True
54406.284669,r',SDSS,1.033e+00,0.256,4.388e+00,22.279,SDSS,SDSS,2,μJy,MJD,True
54406.285498,i',SDSS,1.364e+00,0.170,8.760e+00,21.520,SDSS,SDSS,2,μJy,MJD,True
54406.286327,u',SDSS,1.588e+00,1.105,1.265e+00,23.561,SDSS,SDSS,2,μJy,MJD,True
54406.287157,z',SDSS,4.101e+00,0.386,1.094e+01,21.233,SDSS,SDSS,2,μJy,MJD,True
54406.287986,g',SDSS,6.692e-01,0.876,5.152e-01,24.318,SDSS,SDSS,2,μJy,MJD,True
54412.287444,r',SDSS,1.245e+00,0.412,3.330e+00,22.571,SDSS,SDSS,2,μJy,MJD,True
54412.288273,i',SDSS,1.655e+00,0.408,4.449e+00,22.240,SDSS,SDSS,2,μJy,MJD,True
54412.289102,u',SDSS,2.106e+00,1.191,1.995e+00,23.149,SDSS,SDSS,2,μJy,MJD,True
54412.289931,z',SDSS,5.160e+00,0.708,6.469e+00,21.715,SDSS,SDSS,2,μJy,MJD,True
54412.290760,g',SDSS,7.945e-01,0.651,1.270e+00,23.557,SDSS,SDSS,2,μJy,MJD,True
54416.282952,r',SDSS,1.129e+00,0.271,4.556e+00,22.239,SDSS,SDSS,2,μJy,MJD,True
54416.283781,i',SDSS,1.453e+00,0.441,3.549e+00,22.473,SDSS,SDSS,2,μJy,MJD,True
54416.284611,u',SDSS,1.779e+00,0.983,1.985e+00,23.154,SDSS,SDSS,2,μJy,MJD,True
54416.285440,z',SDSS,4.677e+00,0.380,1.309e+01,21.056,SDSS,SDSS,2,μJy,MJD,True
54416.286269,g',SDSS,1.376e+00,1.602,4.127e-01,24.459,SDSS,SDSS,2,μJy,MJD,True
54421.288435,r',SDSS,1.778e+00,1.584,2.467e-01,24.497,SDSS,SDSS,2,μJy,MJD,True
54421.289264,i',SDSS,2.026e+00,1.057,1.892e+00,23.082,SDSS,SDSS,2,μJy,MJD,True
54421.290093,u',SDSS,2.696e+00,1.688,1.409e+00,23.469,SDSS,SDSS,2,μJy,MJD,True
54421.290922,z',SDSS,6.627e+00,1.075,3.394e+00,22.177,SDSS,SDSS,2,μJy,MJD,True
54421.291751,g',SDSS,7.869e-01,0.588,1.411e+00,23.454,SDSS,SDSS,2,μJy,MJD,True
54423.264864,r',SDSS,1.568e+00,0.742,2.425e+00,22.900,SDSS,SDSS,2,μJy,MJD,True
54423.265694,i',SDSS,1.706e+00,0.638,2.883e+00,22.682,SDSS,SDSS,2,μJy,MJD,True
54423.266523,u',SDSS,3.025e+00,1.335,3.056e+00,22.724,SDSS,SDSS,2,μJy,MJD,True
54423.267352,z',SDSS,5.208e+00,0.827,4.388e+00,22.013,SDSS,SDSS,2,μJy,MJD,True
54423.268181,g',SDSS,1.351e+00,0.585,2.642e+00,22.809,SDSS,SDSS,2,μJy,MJD,True
54432.279697,r',SDSS,2.188e+00,0.591,4.323e+00,22.295,SDSS,SDSS,2,μJy,MJD,True
54432.280526,i',SDSS,2.391e+00,0.910,3.045e+00,22.628,SDSS,SDSS,2,μJy,MJD,True
54432.282184,z',SDSS,8.770e+00,1.263,-5.387e+00,23.803,SDSS,SDSS,2,μJy,MJD,True
54432.283014,g',SDSS,2.362e+00,1.649,2.099e+00,23.050,SDSS,SDSS,2,μJy,MJD,True
54433.287013,r',SDSS,2.311e+00,0.693,3.987e+00,22.381,SDSS,SDSS,2,μJy,MJD,True
54433.287842,i',SDSS,2.884e+00,0.396,8.230e+00,21.587,SDSS,SDSS,2,μJy,MJD,True
54433.289501,z',SDSS,7.099e+00,1.017,5.915e+00,21.789,SDSS,SDSS,2,μJy,MJD,True
54433.290330,g',SDSS,1.972e+00,0.460,-4.871e+00,28.080,SDSS,SDSS,2,μJy,MJD,True
