time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54357.410765,r',SDSS,8.160e-01,0.888,-2.984e-01,25.169,SDSS,SDSS,2,μJy,MJD,True
54357.411594,i',SDSS,1.122e+00,0.831,-4.563e-01,24.740,SDSS,SDSS,2,μJy,MJD,True
54357.412424,u',SDSS,1.560e+00,1.287,-5.064e-02,24.718,SDSS,SDSS,2,μJy,MJD,True
54357.413253,z',SDSS,3.356e+00,0.628,-1.714e+00,23.178,SDSS,SDSS,2,μJy,MJD,True
54357.414083,g',SDSS,5.328e-01,0.823,-3.079e-02,25.170,SDSS,SDSS,2,μJy,MJD,True
54362.460851,r',SDSS,7.775e-01,0.849,3.129e-01,24.419,SDSS,SDSS,2,μJy,MJD,True
54362.461681,i',SDSS,1.119e+00,0.826,-4.801e-01,24.759,SDSS,SDSS,2,μJy,MJD,True
54362.462510,u',SDSS,1.510e+00,0.891,-1.717e+00,26.041,SDSS,SDSS,2,μJy,MJD,True
54362.463340,z',SDSS,3.644e+00,0.551,5.050e+00,21.912,SDSS,SDSS,2,μJy,MJD,True
54362.464169,g',SDSS,5.111e-01,0.750,3.026e-01,24.622,SDSS,SDSS,2,μJy,MJD,True
54376.456801,r',SDSS,8.628e-01,0.138,6.737e+00,21.820,SDSS,SDSS,2,μJy,MJD,
54376.457630,i',SDSS,1.137e+00,0.183,6.672e+00,21.812,SDSS,SDSS,2,μJy,MJD,
54376.458459,u',SDSS,2.010e+00,1.419,1.032e+00,23.723,SDSS,SDSS,2,μJy,MJD,True
54376.459289,z',SDSS,4.036e+00,0.470,8.137e+00,21.514,SDSS,SDSS,2,μJy,MJD,True
54376.460118,g',SDSS,7.750e-01,0.150,5.555e+00,22.015,SDSS,SDSS,2,μJy,MJD,
54382.442288,r',SDSS,9.743e-01,0.099,1.068e+01,21.323,SDSS,SDSS,2,μJy,MJD,
54382.443117,i',SDSS,1.418e+00,0.154,9.968e+00,21.382,SDSS,SDSS,2,μJy,MJD,True
54382.443947,u',SDSS,2.140e+00,1.132,-2.173e+00,26.264,SDSS,SDSS,2,μJy,MJD,True
54382.444776,z',SDSS,4.974e+00,0.321,1.662e+01,20.812,SDSS,SDSS,2,μJy,MJD,True
54382.445606,g',SDSS,7.471e-01,0.077,1.043e+01,21.333,SDSS,SDSS,2,μJy,MJD,
54385.459980,r',SDSS,8.649e-01,0.072,1.302e+01,21.108,SDSS,SDSS,2,μJy,MJD,
54385.460809,i',SDSS,1.177e+00,0.121,1.051e+01,21.325,SDSS,SDSS,2,μJy,MJD,
54385.461639,u',SDSS,1.693e+00,0.731,2.570e+00,22.900,SDSS,SDSS,2,μJy,MJD,True
54385.462468,z',SDSS,3.677e+00,0.701,-6.494e-01,22.966,SDSS,SDSS,2,μJy,MJD,True
54385.463297,g',SDSS,6.187e-01,0.069,9.674e+00,21.415,SDSS,SDSS,2,μJy,MJD,
54387.460876,r',SDSS,1.084e+00,0.098,1.202e+01,21.194,SDSS,SDSS,2,μJy,MJD,True
54387.461705,i',SDSS,1.440e+00,0.146,1.066e+01,21.310,SDSS,SDSS,2,μJy,MJD,True
54387.462535,u',SDSS,2.386e+00,0.750,3.760e+00,22.509,SDSS,SDSS,2,μJy,MJD,True
54387.463364,z',SDSS,5.156e+00,0.842,3.837e+00,22.102,SDSS,SDSS,2,μJy,MJD,True
54387.464193,g',SDSS,7.060e-01,0.073,1.047e+01,21.329,SDSS,SDSS,2,μJy,MJD,
