time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54346.386377,r',SDSS,1.080E+00,1.218,-4.181E-01,25.307,SDSS,SDSS,5,μJy,MJD,True
54346.386377,r',SDSS,1.195e+00,1.186,-4.192e-01,25.308,SDSS,SDSS,2,μJy,MJD,True
54346.387206,i',SDSS,1.218E+00,0.479,-2.444E+00,25.880,SDSS,SDSS,5,μJy,MJD,True
54346.387206,i',SDSS,1.486e+00,0.623,-2.449e+00,25.882,SDSS,SDSS,2,μJy,MJD,True
54346.388036,u',SDSS,2.671E+00,2.751,7.047E-02,24.562,SDSS,SDSS,5,μJy,MJD,True
54346.388036,u',SDSS,2.826e+00,1.861,7.331e-02,24.590,SDSS,SDSS,2,μJy,MJD,True
54346.388865,z',SDSS,3.538E+00,0.624,3.139E+00,22.216,SDSS,SDSS,5,μJy,MJD,True
54346.388865,z',SDSS,3.991e+00,0.688,3.131e+00,22.223,SDSS,SDSS,2,μJy,MJD,True
54346.389694,g',SDSS,1.036E+00,0.615,-1.713E+00,26.973,SDSS,SDSS,5,μJy,MJD,True
54346.389694,g',SDSS,1.088e+00,0.716,-1.736e+00,26.990,SDSS,SDSS,2,μJy,MJD,True
54348.390608,r',SDSS,6.479E-01,0.640,-6.751E-01,25.579,SDSS,SDSS,5,μJy,MJD,True
54348.390608,r',SDSS,8.251e-01,0.808,-6.769e-01,25.581,SDSS,SDSS,2,μJy,MJD,True
54348.391438,i',SDSS,1.252e+00,0.866,7.884e-01,23.732,SDSS,SDSS,2,μJy,MJD,True
54348.391438,i',SDSS,9.177E-01,0.661,7.869E-01,23.733,SDSS,SDSS,5,μJy,MJD,True
54348.392267,u',SDSS,2.029e+00,1.289,1.621e+00,23.344,SDSS,SDSS,2,μJy,MJD,True
54348.392267,u',SDSS,1.806E+00,1.043,1.558E+00,23.349,SDSS,SDSS,5,μJy,MJD,True
54348.393096,z',SDSS,3.461E+00,0.690,1.275E+00,22.568,SDSS,SDSS,5,μJy,MJD,True
54348.393096,z',SDSS,3.923e+00,0.733,1.272e+00,22.574,SDSS,SDSS,2,μJy,MJD,True
54348.393926,g',SDSS,5.314E-01,0.601,-7.162E-01,26.161,SDSS,SDSS,5,μJy,MJD,True
54348.393926,g',SDSS,6.273e-01,0.733,-7.257e-01,26.175,SDSS,SDSS,2,μJy,MJD,True
54358.346971,r',SDSS,7.270E-01,0.625,-9.179E-01,25.803,SDSS,SDSS,5,μJy,MJD,True
54358.346971,r',SDSS,8.885e-01,0.785,-9.203e-01,25.805,SDSS,SDSS,2,μJy,MJD,True
54358.347800,i',SDSS,1.053E+00,0.685,-1.063E+00,25.180,SDSS,SDSS,5,μJy,MJD,True
54358.347800,i',SDSS,1.354e+00,0.876,-1.065e+00,25.181,SDSS,SDSS,2,μJy,MJD,True
54358.349459,z',SDSS,4.750E+00,0.599,-6.790E+00,23.986,SDSS,SDSS,5,μJy,MJD,True
54358.349459,z',SDSS,5.097e+00,0.670,-6.774e+00,23.990,SDSS,SDSS,2,μJy,MJD,True
54358.350288,g',SDSS,5.429E-01,0.755,-4.482E-01,25.824,SDSS,SDSS,5,μJy,MJD,True
54358.350288,g',SDSS,6.371e-01,0.864,-4.542e-01,25.836,SDSS,SDSS,2,μJy,MJD,True
54359.343449,z',SDSS,9.747E+00,1.229,-6.790E+00,23.986,SDSS,SDSS,5,μJy,MJD,True
54359.343449,z',SDSS,9.921e+00,1.318,-6.774e+00,23.990,SDSS,SDSS,2,μJy,MJD,True
54359.344278,g',SDSS,8.242E-01,0.673,-1.166E+00,26.593,SDSS,SDSS,5,μJy,MJD,True
54359.344278,g',SDSS,8.891e-01,0.794,-1.181e+00,26.609,SDSS,SDSS,2,μJy,MJD,True
