time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54406.85,R,,,,,14.4,,,"11,19",,MJD,
54407.8,B,,,,,14.5,,,"11,19",,MJD,
54407.8,R,,,,,13.9,,,"11,19",,MJD,
54408.13536,i',,,0.022,,14.205,,,2,,MJD,
54408.13767,r',,,0.02,,14.119,,,2,,MJD,
54408.13998,V,,,0.016,,14.12,,,2,,MJD,
54408.143,B,,,0.02,,14.185,,,2,,MJD,
54408.37,B,,,0.01,,14.29,,kait4,21,,MJD,
54408.37,I,,,0.01,,13.84,,kait4,21,,MJD,
54408.37,R,,,0.01,,14.03,,kait4,21,,MJD,
54408.37,V,,,0.01,,14.18,,kait4,21,,MJD,
54409.09,V,Johnson-Cousins,,0.007,,14.137,Vega,,7,,MJD,
54409.28108,i',,,0.023,,14.205,,,2,,MJD,
54409.28338,r',,,0.019,,14.13,,,2,,MJD,
54409.28569,V,,,0.016,,14.14,,,2,,MJD,
54409.28869,B,,,0.019,,14.229,,,2,,MJD,
54409.7222,UVM2,,,0.059,,14.511,Vega,Swift,8,,MJD,
54409.7438,UVW1,,,0.043,,14.034,Vega,Swift,8,,MJD,
54409.7457,U,,,0.040,,13.457,Vega,Swift,8,,MJD,
54409.7469,B,,,0.041,,14.290,Vega,Swift,8,,MJD,
54409.7501,UVW2,,,0.048,,14.674,Vega,Swift,8,,MJD,
54409.7530,V,,,0.046,,14.177,Vega,Swift,8,,MJD,
54410.24,B,,,0.01,,14.33,,kait4,21,,MJD,
54410.24,I,,,0.01,,13.88,,kait4,21,,MJD,
54410.24,R,,,0.01,,14.06,,kait4,21,,MJD,
54410.24,V,,,0.01,,14.24,,kait4,21,,MJD,
54411.05,V,Johnson-Cousins,,0.004,,14.190,Vega,,7,,MJD,
54411.07,I,,,0.024,,13.821,,,"11,19",,MJD,
54411.07,R,,,0.022,,13.945,,,"11,19",,MJD,
54411.07,V,,,0.025,,14.144,,,"11,19",,MJD,
54411.13909,i',,,0.023,,14.249,,,2,,MJD,
54411.1414,r',,,0.02,,14.167,,,2,,MJD,
54411.14373,V,,,0.019,,14.19,,,2,,MJD,
54411.14672,B,,,0.02,,14.305,,,2,,MJD,
54411.2873,UVW1,,,0.045,,14.275,Vega,Swift,8,,MJD,
54411.2883,U,,,0.040,,13.581,Vega,Swift,8,,MJD,
54411.2891,B,,,0.041,,14.334,Vega,Swift,8,,MJD,
54411.2910,UVW2,,,0.050,,14.896,Vega,Swift,8,,MJD,
54411.2926,V,,,0.045,,14.209,Vega,Swift,8,,MJD,
54411.2937,UVM2,,,0.065,,14.798,Vega,Swift,8,,MJD,
54412.17991,i',,,0.019,,14.277,,,2,,MJD,
54412.18221,r',,,0.017,,14.185,,,2,,MJD,
54412.18452,V,,,0.014,,14.22,,,2,,MJD,
54412.18755,B,,,0.018,,14.341,,,2,,MJD,
54412.19205,i',,,0.018,,14.28,,,2,,MJD,
54412.19437,r',,,0.019,,14.189,,,2,,MJD,
54412.19668,V,,,0.015,,14.225,,,2,,MJD,
54412.1997,B,,,0.019,,14.347,,,2,,MJD,
54412.27,B,,,0.01,,14.43,,kait4,21,,MJD,
54412.27,I,,,0.01,,13.92,,kait4,21,,MJD,
54412.27,R,,,0.01,,14.10,,kait4,21,,MJD,
54412.27,V,,,0.01,,14.28,,kait4,21,,MJD,
54412.71,B,,,0.028,,14.464,,,"11,19",,MJD,
54412.71,I,,,0.023,,13.873,,,"11,19",,MJD,
54412.71,R,,,0.021,,13.991,,,"11,19",,MJD,
54412.71,V,,,0.026,,14.263,,,"11,19",,MJD,
54413.07,V,Johnson-Cousins,,0.004,,14.228,Vega,,7,,MJD,
54413.12,I,,,0.028,,13.893,,,"11,19",,MJD,
54413.12,R,,,0.025,,14.095,,,"11,19",,MJD,
54413.12,V,,,0.027,,14.35,,,"11,19",,MJD,
54413.4489,UVW2,,,0.066,,15.318,Vega,Swift,8,,MJD,
54413.4499,UVM2,,,0.068,,15.223,Vega,Swift,8,,MJD,
54413.4678,UVW2,,,0.064,,15.339,Vega,Swift,8,,MJD,
54413.95,B,,,0.01,,14.50,,nickel1,21,,MJD,
54413.95,I,,,0.01,,13.92,,nickel1,21,,MJD,
54413.95,R,,,0.04,,14.14,,nickel1,21,,MJD,
54413.95,V,,,0.01,,14.29,,nickel1,21,,MJD,
54414.1098,r',,,0.026,,14.203,,,2,,MJD,
54414.20,B,,,0.01,,14.51,,kait4,21,,MJD,
54414.20,I,,,0.01,,13.94,,kait4,21,,MJD,
54414.20,R,,,0.01,,14.13,,kait4,21,,MJD,
54414.20,V,,,0.01,,14.33,,kait4,21,,MJD,
54415.13771,i',,,0.021,,14.314,,,2,,MJD,
54415.14003,r',,,0.018,,14.223,,,2,,MJD,
54415.14235,V,,,0.015,,14.29,,,2,,MJD,
54415.14536,B,,,0.019,,14.487,,,2,,MJD,
54415.3882,UVW1,,,0.053,,14.938,Vega,Swift,8,,MJD,
54415.3903,U,,,0.041,,14.031,Vega,Swift,8,,MJD,
54415.3917,B,,,0.041,,14.510,Vega,Swift,8,,MJD,
54415.3947,UVW2,,,0.065,,15.691,Vega,Swift,8,,MJD,
54415.3983,V,,,0.046,,14.312,Vega,Swift,8,,MJD,
54415.4007,UVM2,,,0.065,,15.587,Vega,Swift,8,,MJD,
54416.14,I,,,0.024,,13.846,,,"11,19",,MJD,
54416.14,R,,,0.028,,14.148,,,"11,19",,MJD,
54416.14,V,,,0.032,,14.392,,,"11,19",,MJD,
54416.14839,i',,,0.02,,14.324,,,2,,MJD,
54416.15071,r',,,0.019,,14.232,,,2,,MJD,
54416.15302,V,,,0.015,,14.3,,,2,,MJD,
54416.15605,B,,,0.02,,14.522,,,2,,MJD,
54416.22,B,,,0.01,,14.59,,kait4,21,,MJD,
54416.22,I,,,0.01,,13.98,,kait4,21,,MJD,
54416.22,R,,,0.01,,14.15,,kait4,21,,MJD,
54416.22,V,,,0.01,,14.36,,kait4,21,,MJD,
54416.92,B,,,0.029,,14.655,,,"11,19",,MJD,
54416.92,I,,,0.022,,14.009,,,"11,19",,MJD,
54416.92,R,,,0.021,,14.084,,,"11,19",,MJD,
54416.92,V,,,0.025,,14.329,,,"11,19",,MJD,
54417.07,V,Johnson-Cousins,,0.005,,14.327,Vega,,7,,MJD,
54417.3954,UVW1,,,0.063,,15.352,Vega,Swift,8,,MJD,
54417.3970,U,,,0.042,,14.255,Vega,Swift,8,,MJD,
54417.3981,B,,,0.042,,14.626,Vega,Swift,8,,MJD,
54417.4007,UVW2,,,0.075,,16.153,Vega,Swift,8,,MJD,
54417.4035,V,,,0.046,,14.357,Vega,Swift,8,,MJD,
54417.4054,UVM2,,,0.067,,16.054,Vega,Swift,8,,MJD,
54418.09,V,Johnson-Cousins,,0.006,,14.357,Vega,,7,,MJD,
54418.22,B,,,0.01,,14.67,,kait4,21,,MJD,
54418.22,I,,,0.01,,13.99,,kait4,21,,MJD,
54418.22,R,,,0.01,,14.18,,kait4,21,,MJD,
54418.22,V,,,0.01,,14.42,,kait4,21,,MJD,
54419.10792,i',,,0.022,,14.353,,,2,,MJD,
54419.11023,r',,,0.019,,14.267,,,2,,MJD,
54419.11254,V,,,0.014,,14.369,,,2,,MJD,
54419.11556,B,,,0.018,,14.702,,,2,,MJD,
54420.1326,i',,,0.018,,14.38,,,2,,MJD,
54420.13491,r',,,0.018,,14.283,,,2,,MJD,
54420.13722,V,,,0.015,,14.394,,,2,,MJD,
54420.14024,B,,,0.019,,14.765,,,2,,MJD,
54420.93,B,,,0.027,,14.902,,,"11,19",,MJD,
54420.93,I,,,0.023,,13.913,,,"11,19",,MJD,
54420.93,R,,,0.028,,14.069,,,"11,19",,MJD,
