time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54422.5,,,,,,16.9,,,"11,13",,MJD,
54465.06740,i',Standard,,0.0361,,17.5225,,,3,,MJD,
54465.06970,r',Standard,,0.0179,,16.8945,,,3,,MJD,
54465.07200,V,Standard,,0.0202,,16.9703,,,3,,MJD,
54465.07685,B,Standard,,0.0374,,17.3862,,,3,,MJD,
54468.06551,i',Standard,,0.0434,,17.6286,,,3,,MJD,
54468.06782,r',Standard,,0.0188,,17.0011,,,3,,MJD,
54468.07015,V,Standard,,0.0221,,17.1050,,,3,,MJD,
54468.07500,B,Standard,,0.0599,,17.6230,,,3,,MJD,
54470.06632,i',Standard,,0.0513,,17.7967,,,3,,MJD,
54470.06863,r',Standard,,0.0222,,17.1447,,,3,,MJD,
54470.07095,V,Standard,,0.0205,,17.1779,,,3,,MJD,
54470.07582,B,Standard,,0.0481,,17.8047,,,3,,MJD,
54477.07535,i',Standard,,0.0711,,18.1281,,,3,,MJD,
54477.07766,r',Standard,,0.0311,,17.4943,,,3,,MJD,
54477.07998,V,Standard,,0.0281,,17.6239,,,3,,MJD,
54477.08484,B,Standard,,0.0845,,18.4653,,,3,,MJD,
54486.08583,i',Standard,,0.0473,,17.8932,,,3,,MJD,
54486.08815,r',Standard,,0.0367,,17.6628,,,3,,MJD,
54486.09045,V,Standard,,0.0504,,18.0822,,,3,,MJD,
