time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54732.5,,,,,,17.5,,,"6,8",,MJD,
54744.35,V,Johnson-Cousins,,0.020,,19.347,Vega,,3,,MJD,
54747.29,V,Johnson-Cousins,,0.022,,19.363,Vega,,3,,MJD,
54749.29,V,Johnson-Cousins,,0.031,,19.384,Vega,,3,,MJD,
54753.34,V,Johnson-Cousins,,0.066,,19.479,Vega,,3,,MJD,
54759.33,V,Johnson-Cousins,,0.030,,19.458,Vega,,3,,MJD,
54768.30,V,Johnson-Cousins,,0.023,,19.539,Vega,,3,,MJD,
54770.27,V,Johnson-Cousins,,0.025,,19.582,Vega,,3,,MJD,
54774.27,V,Johnson-Cousins,,0.016,,19.701,Vega,,3,,MJD,
54781.30,V,Johnson-Cousins,,0.052,,19.747,Vega,,3,,MJD,
54786.28,V,Johnson-Cousins,,0.136,,20.067,Vega,,3,,MJD,
54792.24,V,Johnson-Cousins,,0.026,,20.193,Vega,,3,,MJD,
54793.25,V,Johnson-Cousins,,0.035,,20.284,Vega,,3,,MJD,
54797.24,V,Johnson-Cousins,,0.038,,20.523,Vega,,3,,MJD,
54817.21,V,Johnson-Cousins,,0.186,,21.732,Vega,,3,,MJD,
54824.16,V,Johnson-Cousins,,0.111,,21.632,Vega,,3,,MJD,
