time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55013.5,,,,,,15.8,,,"6,9",,MJD,
55016.7796,U,,,,,18.292,Vega,Swift,2,,MJD,True
55016.7805,B,,,0.249,,18.024,Vega,Swift,2,,MJD,
55016.8029,UVW2,,,,,18.619,Vega,Swift,2,,MJD,True
55016.8053,V,,,0.187,,16.617,Vega,Swift,2,,MJD,
55016.8107,UVW1,,,,,18.435,Vega,Swift,2,,MJD,True
55016.8168,UVM2,,,0.499,,18.866,Vega,Swift,2,,MJD,
55018.98,B,,,0.05,,18.25,Vega,CTIO,4,,MJD,
55018.98,I,,,0.04,,14.66,Vega,CTIO,4,,MJD,
55018.98,R,,,0.05,,15.82,Vega,CTIO,4,,MJD,
55018.98,V,,,0.06,,16.73,Vega,CTIO,4,,MJD,
55019.4448,UVW1,,,,,18.463,Vega,Swift,2,,MJD,True
55019.4455,U,,,,,18.205,Vega,Swift,2,,MJD,True
55019.4459,B,,,0.259,,18.009,Vega,Swift,2,,MJD,
55019.4468,UVW2,,,,,18.828,Vega,Swift,2,,MJD,True
55019.4480,V,,,0.189,,16.758,Vega,Swift,2,,MJD,
55019.4489,UVM2,,,,,18.777,Vega,Swift,2,,MJD,True
55020.96,B,,,0.04,,18.43,Vega,CTIO,4,,MJD,
55020.96,I,,,0.04,,14.69,Vega,CTIO,4,,MJD,
55020.96,R,,,0.04,,15.83,Vega,CTIO,4,,MJD,
55020.96,V,,,0.03,,16.78,Vega,CTIO,4,,MJD,
55021.20,B,,,0.06,,18.44,Vega,P60,4,,MJD,
55021.20,R,,,0.04,,15.75,Vega,P60,4,,MJD,
55021.20,V,,,0.03,,16.75,Vega,P60,4,,MJD,
55022.20,B,,,0.05,,18.56,Vega,P60,4,,MJD,
55022.20,I,,,0.04,,14.68,Vega,P60,4,,MJD,
55022.20,R,,,0.02,,15.81,Vega,P60,4,,MJD,
55022.20,V,,,0.04,,16.78,Vega,P60,4,,MJD,
55022.95,B,,,0.07,,18.41,Vega,CTIO,4,,MJD,
55022.95,I,,,0.03,,14.71,Vega,CTIO,4,,MJD,
55022.95,R,,,0.03,,15.76,Vega,CTIO,4,,MJD,
55022.95,V,,,0.02,,16.75,Vega,CTIO,4,,MJD,
55024.96,B,,,0.08,,18.57,Vega,CTIO,4,,MJD,
55024.96,I,,,0.04,,14.69,Vega,CTIO,4,,MJD,
55024.96,R,,,0.06,,15.79,Vega,CTIO,4,,MJD,
55024.96,V,,,0.06,,16.83,Vega,CTIO,4,,MJD,
55026.19,B,,,0.03,,18.65,Vega,P60,4,,MJD,
55026.19,R,,,0.06,,15.82,Vega,P60,4,,MJD,
55028.96,B,,,0.07,,18.73,Vega,CTIO,4,,MJD,
55028.96,I,,,0.03,,14.83,Vega,CTIO,4,,MJD,
55028.96,R,,,0.05,,15.83,Vega,CTIO,4,,MJD,
55028.96,V,,,0.02,,16.84,Vega,CTIO,4,,MJD,
55030.96,B,,,0.06,,18.98,Vega,CTIO,4,,MJD,
55030.96,I,,,0.03,,14.81,Vega,CTIO,4,,MJD,
55030.96,R,,,0.05,,15.94,Vega,CTIO,4,,MJD,
55030.96,V,,,0.02,,16.94,Vega,CTIO,4,,MJD,
55160.21,I,,,0.02,,18.75,Vega,LT,4,,MJD,
55160.21,R,,,0.02,,19.63,Vega,LT,4,,MJD,
55160.21,V,,,0.05,,20.64,Vega,LT,4,,MJD,
55179.08,I,,,0.01,,18.95,Vega,HST,4,,MJD,
55179.08,V,,,0.01,,20.87,Vega,HST,4,,MJD,
55184.36,R,,,0.08,,20.11,Vega,Mag,4,,MJD,
55184.36,V,,,0.10,,21.09,Vega,Mag,4,,MJD,
55216.05,I,,,0.04,,19.54,Vega,LT,4,,MJD,
55216.05,R,,,0.05,,20.30,Vega,LT,4,,MJD,
55216.05,V,,,0.04,,20.85,Vega,LT,4,,MJD,
55242.43,I,,,0.07,,19.97,Vega,Keck,4,,MJD,
55242.43,R,,,0.05,,20.83,Vega,Keck,4,,MJD,
55274.04,I,,,0.13,,20.33,Vega,NOT,4,,MJD,
55274.04,R,,,0.08,,20.99,Vega,NOT,4,,MJD,
55274.04,V,,,0.09,,21.43,Vega,NOT,4,,MJD,
56597.3610,UVM2,,,,,17.297,Vega,Swift,2,,MJD,True
56597.3615,UVW1,,,,,17.218,Vega,Swift,2,,MJD,True
56597.3618,U,,,,,17.204,Vega,Swift,2,,MJD,True
56597.3622,UVW2,,,,,17.584,Vega,Swift,2,,MJD,True
