time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55100.5,,,,,,15.2,,,"11,14",,MJD,
55103.671,B,,,0.020,,17.622,,HCT,8,,MJD,
55103.671,I,,,0.027,,16.578,,HCT,8,,MJD,
55103.671,R,,,0.024,,16.733,,HCT,8,,MJD,
55103.671,U,,,0.030,,17.557,,HCT,8,,MJD,
55103.671,V,,,0.019,,17.047,,HCT,8,,MJD,
55104.673,B,,,0.026,,17.275,,HCT,8,,MJD,
55104.673,I,,,0.016,,16.317,,HCT,8,,MJD,
55104.673,R,,,0.016,,16.443,,HCT,8,,MJD,
55104.673,U,,,0.067,,17.168,,HCT,8,,MJD,
55104.673,V,,,0.023,,16.739,,HCT,8,,MJD,
55105.604,B,,,0.037,,16.990,,HCT,8,,MJD,
55105.604,I,,,0.019,,16.077,,HCT,8,,MJD,
55105.604,R,,,0.026,,16.219,,HCT,8,,MJD,
55105.604,U,,,0.033,,16.945,,HCT,8,,MJD,
55105.604,V,,,0.025,,16.508,,HCT,8,,MJD,
55107.761,B,,,0.032,,16.441,,HCT,8,,MJD,
55107.761,I,,,0.032,,15.594,,HCT,8,,MJD,
55107.761,R,,,0.031,,15.774,,HCT,8,,MJD,
55107.761,V,,,0.038,,16.001,,HCT,8,,MJD,
55108.694,B,,,0.035,,16.275,,HCT,8,,MJD,
55108.694,I,,,0.028,,15.458,,HCT,8,,MJD,
55108.694,R,,,0.032,,15.611,,HCT,8,,MJD,
55108.694,U,,,0.040,,16.078,,HCT,8,,MJD,
55108.694,V,,,0.034,,15.842,,HCT,8,,MJD,
55112.619,B,,,0.032,,15.752,,HCT,8,,MJD,
55112.619,I,,,0.026,,14.980,,HCT,8,,MJD,
55112.619,R,,,0.013,,15.159,,HCT,8,,MJD,
55112.619,U,,,0.043,,15.572,,HCT,8,,MJD,
55112.619,V,,,0.012,,15.365,,HCT,8,,MJD,
55113.161,H,Standard,,0.047,,14.899,,PAIRITEL,5,,MJD,
55113.161,J,Standard,,0.041,,14.852,,PAIRITEL,5,,MJD,
55113.161,Ks,Standard,,0.073,,14.856,,PAIRITEL,5,,MJD,
55118.808,B,,,0.021,,15.594,,HCT,8,,MJD,
55118.808,I,,,0.010,,14.643,,HCT,8,,MJD,
55118.808,R,,,0.015,,14.857,,HCT,8,,MJD,
55118.808,U,,,0.042,,15.582,,HCT,8,,MJD,
55118.808,V,,,0.011,,15.092,,HCT,8,,MJD,
55119.189,H,Standard,,0.017,,14.457,,PAIRITEL,5,,MJD,
55119.189,J,Standard,,0.021,,14.482,,PAIRITEL,5,,MJD,
55119.189,Ks,Standard,,0.040,,14.349,,PAIRITEL,5,,MJD,
55119.20280,i',Standard,,0.018,,15.080,,CfA4_KEP2,5,,MJD,
55119.20581,r',Standard,,0.016,,15.050,,CfA4_KEP2,5,,MJD,
55119.20881,V,Standard,,0.015,,15.102,,CfA4_KEP2,5,,MJD,
55119.21251,B,Standard,,0.015,,15.651,,CfA4_KEP2,5,,MJD,
55119.21624,u',Standard,,0.032,,16.780,,CfA4_KEP2,5,,MJD,
55119.620,B,,,0.025,,15.575,,HCT,8,,MJD,
55119.620,I,,,0.020,,14.638,,HCT,8,,MJD,
55119.620,R,,,0.024,,14.826,,HCT,8,,MJD,
55119.620,U,,,0.028,,15.517,,HCT,8,,MJD,
55119.620,V,,,0.019,,15.078,,HCT,8,,MJD,
55120.11082,i',Standard,,0.021,,15.055,,CfA4_KEP2,5,,MJD,
55120.11383,r',Standard,,0.015,,15.034,,CfA4_KEP2,5,,MJD,
55120.11683,V,Standard,,0.015,,15.094,,CfA4_KEP2,5,,MJD,
55120.12053,B,Standard,,0.014,,15.667,,CfA4_KEP2,5,,MJD,
55120.12426,u',Standard,,0.032,,16.826,,CfA4_KEP2,5,,MJD,
55120.162,H,Standard,,0.019,,14.439,,PAIRITEL,5,,MJD,
55120.162,J,Standard,,0.019,,14.466,,PAIRITEL,5,,MJD,
55120.162,Ks,Standard,,0.044,,14.295,,PAIRITEL,5,,MJD,
55120.813,B,,,0.027,,15.618,,HCT,8,,MJD,
55120.813,I,,,0.037,,14.600,,HCT,8,,MJD,
55120.813,R,,,0.015,,14.816,,HCT,8,,MJD,
55120.813,U,,,0.044,,15.580,,HCT,8,,MJD,
55120.813,V,,,0.014,,15.082,,HCT,8,,MJD,
