time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55350.5,,,,,,17.5,,,"5,7",,MJD,
55356.2558,UVW1,,,,,18.619,Vega,Swift,2,,MJD,True
55356.2568,U,,,,,18.196,Vega,Swift,2,,MJD,True
55356.2574,B,,,,,18.448,Vega,Swift,2,,MJD,True
55356.2592,UVW2,,,,,18.933,Vega,Swift,2,,MJD,True
55356.2606,V,,,,,17.563,Vega,Swift,2,,MJD,True
55356.2632,UVM2,,,,,18.974,Vega,Swift,2,,MJD,True
55358.3386,UVW1,,,,,18.647,Vega,Swift,2,,MJD,True
55358.3394,U,,,,,18.218,Vega,Swift,2,,MJD,True
55358.3400,B,,,,,18.467,Vega,Swift,2,,MJD,True
55358.3425,UVW2,,,,,18.960,Vega,Swift,2,,MJD,True
55358.3435,V,,,,,17.592,Vega,Swift,2,,MJD,True
55358.3470,UVM2,,,,,19.028,Vega,Swift,2,,MJD,True
55360.5751,UVW1,,,,,18.638,Vega,Swift,2,,MJD,True
55360.5768,U,,,,,18.216,Vega,Swift,2,,MJD,True
55360.5777,B,,,,,18.468,Vega,Swift,2,,MJD,True
55360.5799,UVW2,,,,,18.948,Vega,Swift,2,,MJD,True
55360.5826,V,,,,,17.577,Vega,Swift,2,,MJD,True
55360.5855,UVM2,,,,,19.018,Vega,Swift,2,,MJD,True
55362.0429,UVW1,,,,,18.479,Vega,Swift,2,,MJD,True
55362.0438,U,,,,,18.050,Vega,Swift,2,,MJD,True
55362.0443,B,,,,,18.334,Vega,Swift,2,,MJD,True
55362.0462,UVW2,,,,,18.809,Vega,Swift,2,,MJD,True
55362.0473,V,,,,,17.443,Vega,Swift,2,,MJD,True
55362.0493,UVM2,,,,,18.775,Vega,Swift,2,,MJD,True
