time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54940.6,i,,,,,23.0120,,PS1,1,,MJD,True
54941.6,i,,,,,23.0678,,PS1,1,,MJD,True
54941.6,r,,,,,23.6819,,PS1,1,,MJD,True
54950.6,r,,,,,22.6022,,PS1,1,,MJD,True
54951.6,r,,,,,23.2878,,PS1,1,,MJD,True
54952.6,i,,,,,23.05779,,PS1,1,,MJD,True
54953.6,i,,,,,22.3940,,PS1,1,,MJD,True
54953.6,r,,,,,23.2630,,PS1,1,,MJD,True
54956.5,z,,,,,22.61102,,PS1,1,,MJD,True
54957.6,z,,,,,22.3767,,PS1,1,,MJD,True
54973.5,r,,,,,23.7143,,PS1,1,,MJD,True
54979.5,g,,,,,23.4950,,PS1,1,,MJD,True
54982.4,g,,,,,23.438,,PS1,1,,MJD,True
54984.4,i,,,,,22.73842,,PS1,1,,MJD,True
54985.5,i,,,,,22.8710,,PS1,1,,MJD,True
54986.5,z,,,,,21.34446,,PS1,1,,MJD,True
54993.4,g,,,,,22.7557,,PS1,1,,MJD,True
54993.5,r,,,,,23.0238,,PS1,1,,MJD,True
54995.4,z,,,,,22.2363,,PS1,1,,MJD,True
54996.4,g,,,,,22.8076,,PS1,1,,MJD,True
54996.5,r,,,,,22.0632,,PS1,1,,MJD,True
54997.4,i,,,,,23.570,,PS1,1,,MJD,True
54998.4,z,,,,,22.5391,,PS1,1,,MJD,True
54999.4,g,,,,,23.309,,PS1,1,,MJD,True
54999.5,r,,,,,22.4592,,PS1,1,,MJD,True
55000.4,i,,,,,22.7212,,PS1,1,,MJD,True
55002.4,g,,,,,23.1691,,PS1,1,,MJD,True
55002.4,r,,,,,23.01204,,PS1,1,,MJD,True
55004.4,z,,,,,21.46104,,PS1,1,,MJD,True
55007.4,z,,,,,22.1655,,PS1,1,,MJD,True
55009.4,i,,,,,22.12707,,PS1,1,,MJD,True
55010.4,z,,,,,22.44703,,PS1,1,,MJD,True
55011.4,g,,,,,23.3147,,PS1,1,,MJD,True
55011.4,r,,,,,23.6740,,PS1,1,,MJD,True
55012.4,i,,,,,23.11518,,PS1,1,,MJD,True
55013.4,z,,,,,22.7018,,PS1,1,,MJD,True
55014.3,g,,,,,22.7606,,PS1,1,,MJD,True
55014.3,r,,,,,23.0414,,PS1,1,,MJD,True
55015.3,i,,,,,22.17320,,PS1,1,,MJD,True
55016.3,z,,,,,22.3169,,PS1,1,,MJD,True
55029.3,g,,,,,22.5203,,PS1,1,,MJD,True
55075.3,i,,,,,22.38332,,PS1,1,,MJD,True
55089.2,g,,,,,23.494,,PS1,1,,MJD,True
55089.3,r,,,,,23.320,,PS1,1,,MJD,True
55093.2,i,,,,,22.61174,,PS1,1,,MJD,True
55094.2,z,,,,,21.37678,,PS1,1,,MJD,True
55103.2,z,,,,,22.56068,,PS1,1,,MJD,True
