time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,20.0,,Catalina Schmidt,6,,,
53644.440002,C,,,0.062757,,19.822912,,Catalina Schmidt,6,,MJD,
53644.480011,C,,,0.104097,,20.954861,,Catalina Schmidt,6,,MJD,
53644.519989,C,,,0.06976,,20.101088,,Catalina Schmidt,6,,MJD,
53644.559998,C,,,0.07588,,20.217367,,Catalina Schmidt,6,,MJD,
53668.440002,C,,,0.060851,,19.819263,,Catalina Schmidt,6,,MJD,
53668.480011,C,,,0.074201,,20.199591,,Catalina Schmidt,6,,MJD,
53668.519989,C,,,0.078658,,20.381937,,Catalina Schmidt,6,,MJD,
53668.559998,C,,,0.065846,,20.005369,,Catalina Schmidt,6,,MJD,
53705.440002,C,,,0.079534,,20.363262,,Catalina Schmidt,6,,MJD,
53705.480011,C,,,0.079711,,20.35417,,Catalina Schmidt,6,,MJD,
53705.519989,C,,,0.069248,,20.06694,,Catalina Schmidt,6,,MJD,
53705.559998,C,,,0.061398,,19.824091,,Catalina Schmidt,6,,MJD,
54004.440002,C,,,0.08708,,20.124311,,Catalina Schmidt,6,,MJD,
54004.47998,C,,,0.085004,,20.135923,,Catalina Schmidt,6,,MJD,
54004.52002,C,,,0.072833,,19.731745,,Catalina Schmidt,6,,MJD,
54004.559998,C,,,0.080672,,19.989561,,Catalina Schmidt,6,,MJD,
54028.440002,C,,,0.102169,,20.512304,,Catalina Schmidt,6,,MJD,
54028.47998,C,,,0.081113,,20.089691,,Catalina Schmidt,6,,MJD,
54028.52002,C,,,0.088938,,20.215034,,Catalina Schmidt,6,,MJD,
54028.559998,C,,,,,21.548704,,Catalina Schmidt,6,,MJD,True
54054.440002,C,,,,,21.365438,,Catalina Schmidt,6,,MJD,True
54054.47998,C,,,0.080203,,19.967234,,Catalina Schmidt,6,,MJD,
54054.52002,C,,,0.097096,,20.337652,,Catalina Schmidt,6,,MJD,
54054.559998,C,,,0.085988,,20.139334,,Catalina Schmidt,6,,MJD,
54353.439941,C,,,0.079322,,20.075144,,Catalina Schmidt,6,,MJD,
54353.47998,C,,,0.07572,,19.99572,,Catalina Schmidt,6,,MJD,
54353.52002,C,,,0.078009,,20.023592,,Catalina Schmidt,6,,MJD,
54353.560059,C,,,0.092073,,20.330961,,Catalina Schmidt,6,,MJD,
54362.439941,C,,,0.079419,,20.096365,,Catalina Schmidt,6,,MJD,
54362.47998,C,,,0.088736,,20.368319,,Catalina Schmidt,6,,MJD,
54362.52002,C,,,0.081812,,20.210211,,Catalina Schmidt,6,,MJD,
54409.439941,C,,,0.086061,,20.286922,,Catalina Schmidt,6,,MJD,
54409.47998,C,,,0.070876,,19.837049,,Catalina Schmidt,6,,MJD,
54409.52002,C,,,0.082932,,20.188017,,Catalina Schmidt,6,,MJD,
54409.560059,C,,,0.084808,,20.23588,,Catalina Schmidt,6,,MJD,
54477.439941,C,,,0.090341,,20.514769,,Catalina Schmidt,6,,MJD,
54477.47998,C,,,0.135335,,21.362383,,Catalina Schmidt,6,,MJD,
