time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55510.5,,,,,,17.2,,,"7,9",,MJD,
55517.7109,UVW1,,,0.163,,18.509,Vega,Swift,2,,MJD,
55517.7125,U,,,0.179,,18.304,Vega,Swift,2,,MJD,
55517.7134,B,,,0.167,,18.770,Vega,Swift,2,,MJD,
55517.7158,UVW2,,,0.219,,19.351,Vega,Swift,2,,MJD,
55517.7182,V,,,0.306,,18.672,Vega,Swift,2,,MJD,
55517.7215,UVM2,,,0.212,,19.277,Vega,Swift,2,,MJD,
55519.1568,UVW1,,,0.143,,18.745,Vega,Swift,2,,MJD,
55519.1580,U,,,0.129,,18.110,Vega,Swift,2,,MJD,
55519.1586,B,,,0.133,,18.770,Vega,Swift,2,,MJD,
55519.1599,UVW2,,,0.219,,19.704,Vega,Swift,2,,MJD,
55519.1619,V,,,0.245,,18.641,Vega,Swift,2,,MJD,
55519.1634,UVM2,,,0.188,,19.472,Vega,Swift,2,,MJD,
55521.8679,UVW1,,,0.239,,19.617,Vega,Swift,2,,MJD,
55521.8694,U,,,0.167,,18.571,Vega,Swift,2,,MJD,
55521.8701,B,,,0.171,,19.166,Vega,Swift,2,,MJD,
55521.8719,UVW2,,,,,20.457,Vega,Swift,2,,MJD,True
55521.8741,V,,,0.254,,18.665,Vega,Swift,2,,MJD,
55521.8764,UVM2,,,0.251,,19.865,Vega,Swift,2,,MJD,
55523.5444,UVW1,,,0.247,,19.798,Vega,Swift,2,,MJD,
55523.5453,U,,,0.200,,19.013,Vega,Swift,2,,MJD,
55523.5458,B,,,0.164,,19.216,Vega,Swift,2,,MJD,
55523.5467,UVW2,,,0.307,,20.293,Vega,Swift,2,,MJD,
55523.5481,V,,,0.206,,18.543,Vega,Swift,2,,MJD,
55523.5493,UVM2,,,,,20.525,Vega,Swift,2,,MJD,True
55525.0884,UVW1,,,0.305,,20.112,Vega,Swift,2,,MJD,
55525.0896,U,,,0.318,,19.695,Vega,Swift,2,,MJD,
55525.0902,B,,,0.157,,19.140,Vega,Swift,2,,MJD,
55525.0915,UVW2,,,,,20.531,Vega,Swift,2,,MJD,True
55525.0935,V,,,,,19.270,Vega,Swift,2,,MJD,True
55525.0951,UVM2,,,,,20.547,Vega,Swift,2,,MJD,True
55527.9292,UVW1,,,0.331,,20.187,Vega,Swift,2,,MJD,
55527.9305,U,,,0.209,,19.033,Vega,Swift,2,,MJD,
55527.9313,B,,,0.205,,19.515,Vega,Swift,2,,MJD,
55527.9338,UVW2,,,,,20.513,Vega,Swift,2,,MJD,True
55527.9358,V,,,,,19.288,Vega,Swift,2,,MJD,True
55527.9396,UVM2,,,,,20.523,Vega,Swift,2,,MJD,True
55529.8592,UVW1,,,0.339,,20.147,Vega,Swift,2,,MJD,
55529.8606,U,,,0.193,,18.820,Vega,Swift,2,,MJD,
55529.8613,B,,,0.192,,19.358,Vega,Swift,2,,MJD,
55529.8633,UVW2,,,,,20.458,Vega,Swift,2,,MJD,True
55529.8653,V,,,,,19.227,Vega,Swift,2,,MJD,True
55529.8683,UVM2,,,,,20.502,Vega,Swift,2,,MJD,True
55531.6952,UVW1,,,,,20.010,Vega,Swift,2,,MJD,True
55531.6970,U,,,0.327,,19.389,Vega,Swift,2,,MJD,
55531.6980,B,,,0.257,,19.537,Vega,Swift,2,,MJD,
55531.7007,UVW2,,,,,20.263,Vega,Swift,2,,MJD,True
55531.7034,V,,,,,18.987,Vega,Swift,2,,MJD,True
55531.7072,UVM2,,,,,20.244,Vega,Swift,2,,MJD,True
55533.8095,UVW1,,,,,20.359,Vega,Swift,2,,MJD,True
55533.8112,U,,,0.336,,19.775,Vega,Swift,2,,MJD,
55533.8120,B,,,0.311,,20.127,Vega,Swift,2,,MJD,
55533.8141,UVW2,,,,,20.548,Vega,Swift,2,,MJD,True
55533.8167,V,,,,,19.322,Vega,Swift,2,,MJD,True
55533.8195,UVM2,,,,,20.571,Vega,Swift,2,,MJD,True
55535.8136,UVW1,,,0.298,,20.135,Vega,Swift,2,,MJD,
55535.8147,U,,,0.264,,19.492,Vega,Swift,2,,MJD,
55535.8153,B,,,0.222,,19.711,Vega,Swift,2,,MJD,
55535.8176,UVW2,,,,,20.593,Vega,Swift,2,,MJD,True
55535.8190,V,,,0.336,,19.283,Vega,Swift,2,,MJD,
55535.8224,UVM2,,,,,20.606,Vega,Swift,2,,MJD,True
55537.7873,U,,,,,19.432,Vega,Swift,2,,MJD,True
55537.7881,B,,,0.311,,19.698,Vega,Swift,2,,MJD,
55537.7904,UVW2,,,,,20.148,Vega,Swift,2,,MJD,True
55537.7927,V,,,,,18.864,Vega,Swift,2,,MJD,True
55537.7959,UVM2,,,,,20.145,Vega,Swift,2,,MJD,True
55537.8200,UVW1,,,0.361,,20.066,Vega,Swift,2,,MJD,
55539.0351,UVW1,,,,,20.341,Vega,Swift,2,,MJD,True
55539.0366,U,,,,,19.865,Vega,Swift,2,,MJD,True
55539.0374,B,,,0.317,,20.128,Vega,Swift,2,,MJD,
55539.0397,UVW2,,,,,20.532,Vega,Swift,2,,MJD,True
55539.0419,V,,,,,19.281,Vega,Swift,2,,MJD,True
55539.0451,UVM2,,,,,20.553,Vega,Swift,2,,MJD,True
