time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55826.5,,,,,,15.8,,,"5,8",,MJD,
55832.73,B,,,0.02,,17.68,,,"4,9",,MJD,
55832.73,I,,,0.02,,16.74,,,"4,9",,MJD,
55832.73,R,,,0.02,,16.99,,,"4,9",,MJD,
55832.73,U,,,0.03,,17.36,,,"4,9",,MJD,
55832.73,V,,,0.01,,17.35,,,"4,9",,MJD,
55833.99,B,,,0.02,,17.87,,,"4,9",,MJD,
55833.99,I,,,0.02,,16.86,,,"4,9",,MJD,
55833.99,R,,,0.02,,17.11,,,"4,9",,MJD,
55833.99,U,,,0.03,,17.66,,,"4,9",,MJD,
55833.99,V,,,0.01,,17.48,,,"4,9",,MJD,
55835.65,B,,,0.03,,17.92,,,"4,9",,MJD,
55835.65,I,,,0.02,,16.88,,,"4,9",,MJD,
55835.65,R,,,0.02,,17.08,,,"4,9",,MJD,
55835.65,V,,,0.01,,17.46,,,"4,9",,MJD,
55836.76,B,,,0.02,,17.89,,,"4,9",,MJD,
55836.76,I,,,0.02,,16.83,,,"4,9",,MJD,
55836.76,R,,,0.02,,17.02,,,"4,9",,MJD,
55836.76,U,,,0.03,,17.73,,,"4,9",,MJD,
55836.76,V,,,0.01,,17.42,,,"4,9",,MJD,
55840.73,B,,,0.02,,17.65,,,"4,9",,MJD,
55840.73,I,,,0.02,,16.59,,,"4,9",,MJD,
55840.73,R,,,0.02,,16.77,,,"4,9",,MJD,
55840.73,U,,,0.03,,17.65,,,"4,9",,MJD,
55840.73,V,,,0.01,,17.15,,,"4,9",,MJD,
55841.8,B,,,0.03,,17.63,,,"4,9",,MJD,
55841.8,I,,,0.03,,16.56,,,"4,9",,MJD,
55841.8,R,,,0.02,,16.7,,,"4,9",,MJD,
55841.8,U,,,0.05,,17.69,,,"4,9",,MJD,
55841.8,V,,,0.01,,17.07,,,"4,9",,MJD,
55842.77,B,,,0.05,,17.51,,,"4,9",,MJD,
55842.77,I,,,0.04,,16.57,,,"4,9",,MJD,
55842.77,R,,,0.02,,16.67,,,"4,9",,MJD,
55842.77,U,,,0.09,,17.62,,,"4,9",,MJD,
55842.77,V,,,0.02,,17.05,,,"4,9",,MJD,
55843.71,B,,,0.03,,17.49,,,"4,9",,MJD,
55843.71,I,,,0.03,,16.48,,,"4,9",,MJD,
