time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55955.17,B,,,0.088,,18.193,,kait4,13,,MJD,
55955.17,CLEAR,,,0.029,,18.147,,kait4,13,,MJD,
55955.17,V,,,0.069,,18.363,,kait4,13,,MJD,
55957.15,B,,,0.069,,16.314,,kait4,13,,MJD,
55957.15,CLEAR,,,0.032,,16.181,,kait4,13,,MJD,
55957.15,V,,,0.037,,16.443,,kait4,13,,MJD,
55959.00,,,6.0,,-15.0,,,,1,µJy,MJD,
55959.07,B,,,.008,,15.591,,Swope 1.0m,3,,MJD,
55959.07,V,,,.007,,15.676,,Swope 1.0m,3,,MJD,
55959.07,g,,,.004,,15.533,,Swope 1.0m,3,,MJD,
55959.07,i,,,.008,,15.753,,Swope 1.0m,3,,MJD,
55959.07,r,,,.005,,15.582,,Swope 1.0m,3,,MJD,
55959.07,u,,,.011,,15.631,,Swope 1.0m,3,,MJD,
55959.12,B,,,0.032,,15.606,,kait4,13,,MJD,
55959.12,I,,,0.036,,15.443,,kait4,13,,MJD,
55959.12,R,,,0.030,,15.452,,kait4,13,,MJD,
55959.12,V,,,0.026,,15.728,,kait4,13,,MJD,
55959.2400,V,,,0.060,,15.632,Vega,Swift,7,,MJD,
55959.2588,UVW1,,,0.064,,15.949,Vega,Swift,7,,MJD,
55959.2616,U,,,0.046,,14.600,Vega,Swift,7,,MJD,
55959.2635,B,,,0.051,,15.508,Vega,Swift,7,,MJD,
55959.2660,UVW2,,,0.087,,17.217,Vega,Swift,7,,MJD,
55959.2806,UVM2,,,0.080,,17.001,Vega,Swift,7,,MJD,
55960.07,B,,,.009,,15.368,,Swope 1.0m,3,,MJD,
55960.07,V,,,.009,,15.416,,Swope 1.0m,3,,MJD,
55960.07,i,,,.009,,15.488,,Swope 1.0m,3,,MJD,
55960.07,r,,,.009,,15.322,,Swope 1.0m,3,,MJD,
55960.07,u,,,.008,,15.448,,Swope 1.0m,3,,MJD,
55961.07,B,,,.008,,15.171,,Swope 1.0m,3,,MJD,
55961.07,V,,,.008,,15.214,,Swope 1.0m,3,,MJD,
55961.07,g,,,.004,,15.106,,Swope 1.0m,3,,MJD,
55961.07,i,,,.005,,15.282,,Swope 1.0m,3,,MJD,
55961.07,r,,,.005,,15.124,,Swope 1.0m,3,,MJD,
55961.07,u,,,.006,,15.323,,Swope 1.0m,3,,MJD,
55961.12,B,,,0.032,,15.198,,kait4,13,,MJD,
55961.12,I,,,0.051,,14.877,,kait4,13,,MJD,
55961.12,R,,,0.037,,15.055,,kait4,13,,MJD,
55961.12,V,,,0.029,,15.244,,kait4,13,,MJD,
55961.3853,V,,,0.064,,15.236,Vega,Swift,7,,MJD,
55961.3878,UVM2,,,0.084,,17.191,Vega,Swift,7,,MJD,
55961.4411,UVW1,,,0.064,,15.864,Vega,Swift,7,,MJD,
55961.4431,U,,,0.044,,14.376,Vega,Swift,7,,MJD,
55961.4442,B,,,0.046,,15.064,Vega,Swift,7,,MJD,
55961.4460,UVW2,,,0.091,,17.257,Vega,Swift,7,,MJD,
