time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55955.36,R,,,,,18.3,,ROTSE,1,,MJD,True
55956.36,R,,,,,18.7,,ROTSE,1,,MJD,True
55957.37,R,,,,,17.4,,ROTSE,1,,MJD,True
55958.36,R,,,0.05,,16.13,,ROTSE,1,,MJD,
55959.36,R,,,0.03,,15.57,,ROTSE,1,,MJD,
55960.34,R,,,0.05,,15.39,,ROTSE,1,,MJD,
55971.41,R,,,0.03,,15.44,,ROTSE,1,,MJD,
55972.35,R,,,0.03,,15.73,,ROTSE,1,,MJD,
55973.31,R,,,0.05,,15.53,,ROTSE,1,,MJD,
55976.31,R,,,0.03,,15.53,,ROTSE,1,,MJD,
55978.3,R,,,0.03,,15.38,,ROTSE,1,,MJD,
55979.3,R,,,0.02,,15.53,,ROTSE,1,,MJD,
55982.29,R,,,0.03,,15.52,,ROTSE,1,,MJD,
55984.28,R,,,0.03,,15.32,,ROTSE,1,,MJD,
55986.35,R,,,0.06,,15.4,,ROTSE,1,,MJD,
55987.27,R,,,0.04,,15.49,,ROTSE,1,,MJD,
55988.29,R,,,0.05,,15.53,,ROTSE,1,,MJD,
55990.26,R,,,0.05,,15.71,,ROTSE,1,,MJD,
55992.25,R,,,0.12,,15.36,,ROTSE,1,,MJD,
55993.25,R,,,0.1,,15.54,,ROTSE,1,,MJD,
55997.29,R,,,0.06,,15.94,,ROTSE,1,,MJD,
55998.24,R,,,0.04,,15.33,,ROTSE,1,,MJD,
56002.24,R,,,0.04,,15.82,,ROTSE,1,,MJD,
56009.22,R,,,0.05,,15.39,,ROTSE,1,,MJD,
56010.22,R,,,0.03,,15.78,,ROTSE,1,,MJD,
56012.28,R,,,0.18,,15.63,,ROTSE,1,,MJD,
56014.2,R,,,0.04,,16.06,,ROTSE,1,,MJD,
56016.2,R,,,0.07,,15.92,,ROTSE,1,,MJD,
56017.2,R,,,0.08,,16.29,,ROTSE,1,,MJD,
56019.19,R,,,0.12,,15.76,,ROTSE,1,,MJD,
56021.18,R,,,0.08,,16.02,,ROTSE,1,,MJD,
56028.26,R,,,0.13,,16.4,,ROTSE,1,,MJD,
56034.23,R,,,0.11,,16.54,,ROTSE,1,,MJD,
56035.26,R,,,0.12,,17.03,,ROTSE,1,,MJD,
56041.16,R,,,,,16.4,,ROTSE,1,,MJD,True
56047.14,R,,,,,16.5,,ROTSE,1,,MJD,True
56048.22,R,,,,,16.7,,ROTSE,1,,MJD,True
56064.17,R,,,,,16.5,,ROTSE,1,,MJD,True
